attr_type	equip_color	有效标志位	ratio_value	parm1	parm2	parm3	parm4	备注
68	4	1	100	0	0	0	0	物防
70	4	1	100	0	0	0	0	真攻
71	4	1	100	0	0	0	0	真防
72	4	1	15	0	0	0	0	生命
74	4	1	40	0	0	0	0	破招
75	4	1	40	0	0	0	0	专注
76	4	1	40	0	0	0	0	伤害加深
77	4	1	40	0	0	0	0	伤害减免
78	4	1	40	0	0	0	0	物理伤害减免
79	4	1	40	0	0	0	0	真元伤害减免
5	5	1	40	0	0	0	0	命中
6	5	1	40	0	0	0	0	闪避
7	5	1	40	0	0	0	0	暴击
8	5	1	40	0	0	0	0	韧性
9	5	1	40	0	0	0	0	暴击倍率
10	5	1	40	0	0	0	0	格挡
11	5	1	40	0	0	0	0	穿透
15	5	1	40	0	0	0	0	暴击伤害缩小
16	5	1	40	0	0	0	0	暴击伤害放大
65	5	1	200	0	0	0	0	攻击基数
66	5	1	200	0	0	0	0	防御基数
67	5	1	100	0	0	0	0	物攻
68	5	1	100	0	0	0	0	物防
70	5	1	100	0	0	0	0	真攻
71	5	1	100	0	0	0	0	真防
72	5	1	15	0	0	0	0	生命
74	5	1	40	0	0	0	0	破招
75	5	1	40	0	0	0	0	专注
76	5	1	40	0	0	0	0	伤害加深
77	5	1	40	0	0	0	0	伤害减免
78	5	1	40	0	0	0	0	物理伤害减免
79	5	1	40	0	0	0	0	真元伤害减免
5	6	1	40	0	0	0	0	命中
6	6	1	40	0	0	0	0	闪避
7	6	1	40	0	0	0	0	暴击
8	6	1	40	0	0	0	0	韧性
9	6	1	40	0	0	0	0	暴击倍率
10	6	1	40	0	0	0	0	格挡
11	6	1	40	0	0	0	0	穿透
15	6	1	40	0	0	0	0	暴击伤害缩小
16	6	1	40	0	0	0	0	暴击伤害放大
65	6	1	200	0	0	0	0	攻击基数
66	6	1	200	0	0	0	0	防御基数
67	6	1	100	0	0	0	0	物攻
68	6	1	100	0	0	0	0	物防
70	6	1	100	0	0	0	0	真攻
71	6	1	100	0	0	0	0	真防
72	6	1	15	0	0	0	0	生命
74	6	1	40	0	0	0	0	破招
75	6	1	40	0	0	0	0	专注
76	6	1	40	0	0	0	0	伤害加深
77	6	1	40	0	0	0	0	伤害减免
78	6	1	40	0	0	0	0	物理伤害减免
79	6	1	40	0	0	0	0	真元伤害减免
5	7	1	40	0	0	0	0	命中
6	7	1	40	0	0	0	0	闪避
7	7	1	40	0	0	0	0	暴击
8	7	1	40	0	0	0	0	韧性
9	7	1	40	0	0	0	0	暴击倍率
10	7	1	40	0	0	0	0	格挡
11	7	1	40	0	0	0	0	穿透
15	7	1	40	0	0	0	0	暴击伤害缩小
16	7	1	40	0	0	0	0	暴击伤害放大
65	7	1	200	0	0	0	0	攻击基数
66	7	1	200	0	0	0	0	防御基数
67	7	1	100	0	0	0	0	物攻
68	7	1	100	0	0	0	0	物防
70	7	1	100	0	0	0	0	真攻
71	7	1	100	0	0	0	0	真防
72	7	1	15	0	0	0	0	生命
74	7	1	40	0	0	0	0	破招
75	7	1	40	0	0	0	0	专注
76	7	1	40	0	0	0	0	伤害加深
77	7	1	40	0	0	0	0	伤害减免
78	7	1	40	0	0	0	0	物理伤害减免
79	7	1	40	0	0	0	0	真元伤害减免
5	8	1	40	0	0	0	0	命中
6	8	1	40	0	0	0	0	闪避
7	8	1	40	0	0	0	0	暴击
8	8	1	40	0	0	0	0	韧性
9	8	1	40	0	0	0	0	暴击倍率
10	8	1	40	0	0	0	0	格挡
11	8	1	40	0	0	0	0	穿透
15	8	1	40	0	0	0	0	暴击伤害缩小
16	8	1	40	0	0	0	0	暴击伤害放大
65	8	1	200	0	0	0	0	攻击基数
66	8	1	200	0	0	0	0	防御基数
67	8	1	100	0	0	0	0	物攻
68	8	1	100	0	0	0	0	物防
70	8	1	100	0	0	0	0	真攻
71	8	1	100	0	0	0	0	真防
72	8	1	15	0	0	0	0	生命
74	8	1	40	0	0	0	0	破招
75	8	1	40	0	0	0	0	专注
76	8	1	40	0	0	0	0	伤害加深
77	8	1	40	0	0	0	0	伤害减免
78	8	1	40	0	0	0	0	物理伤害减免
79	8	1	40	0	0	0	0	真元伤害减免
5	9	1	40	0	0	0	0	命中
6	9	1	40	0	0	0	0	闪避
7	9	1	40	0	0	0	0	暴击
8	9	1	40	0	0	0	0	韧性
9	9	1	40	0	0	0	0	暴击倍率
10	9	1	40	0	0	0	0	格挡
11	9	1	40	0	0	0	0	穿透
15	9	1	40	0	0	0	0	暴击伤害缩小
16	9	1	40	0	0	0	0	暴击伤害放大
65	9	1	200	0	0	0	0	攻击基数
66	9	1	200	0	0	0	0	防御基数
67	9	1	100	0	0	0	0	物攻
68	9	1	100	0	0	0	0	物防
70	9	1	100	0	0	0	0	真攻
71	9	1	100	0	0	0	0	真防
72	9	1	15	0	0	0	0	生命
74	9	1	40	0	0	0	0	破招
75	9	1	40	0	0	0	0	专注
76	9	1	40	0	0	0	0	伤害加深
77	9	1	40	0	0	0	0	伤害减免
78	9	1	40	0	0	0	0	物理伤害减免
79	9	1	40	0	0	0	0	真元伤害减免
1005	1	1	40	0	0	0	0	命中
1006	1	1	40	0	0	0	0	闪避
1007	1	1	40	0	0	0	0	暴击
1008	1	1	40	0	0	0	0	韧性
1009	1	1	40	0	0	0	0	暴击倍率
1010	1	1	40	0	0	0	0	格挡
1011	1	1	40	0	0	0	0	穿透
1015	1	1	40	0	0	0	0	暴击伤害缩小
1016	1	1	40	0	0	0	0	暴击伤害放大
1065	1	1	200	0	0	0	0	攻击基数
1066	1	1	200	0	0	0	0	防御基数
1067	1	1	100	0	0	0	0	物攻
1068	1	1	100	0	0	0	0	物防
1070	1	1	100	0	0	0	0	真攻
1071	1	1	100	0	0	0	0	真防
1072	1	1	15	0	0	0	0	生命
1074	1	1	40	0	0	0	0	破招
1075	1	1	40	0	0	0	0	专注
1076	1	1	40	0	0	0	0	伤害加深
1077	1	1	40	0	0	0	0	伤害减免
1078	1	1	40	0	0	0	0	物理伤害减免
1079	1	1	40	0	0	0	0	真元伤害减免
1005	2	1	40	0	0	0	0	命中
1006	2	1	40	0	0	0	0	闪避
1007	2	1	40	0	0	0	0	暴击
1008	2	1	40	0	0	0	0	韧性
1009	2	1	40	0	0	0	0	暴击倍率
1010	2	1	40	0	0	0	0	格挡
1011	2	1	40	0	0	0	0	穿透
1015	2	1	40	0	0	0	0	暴击伤害缩小
1016	2	1	40	0	0	0	0	暴击伤害放大
1065	2	1	200	0	0	0	0	攻击基数
1066	2	1	200	0	0	0	0	防御基数
1067	2	1	100	0	0	0	0	物攻
1068	2	1	100	0	0	0	0	物防
1070	2	1	100	0	0	0	0	真攻
1071	2	1	100	0	0	0	0	真防
1072	2	1	15	0	0	0	0	生命
1074	2	1	40	0	0	0	0	破招
1075	2	1	40	0	0	0	0	专注
1076	2	1	40	0	0	0	0	伤害加深
1077	2	1	40	0	0	0	0	伤害减免
1078	2	1	40	0	0	0	0	物理伤害减免
1079	2	1	40	0	0	0	0	真元伤害减免
1005	3	1	40	0	0	0	0	命中
1006	3	1	40	0	0	0	0	闪避
1007	3	1	40	0	0	0	0	暴击
1008	3	1	40	0	0	0	0	韧性
1009	3	1	40	0	0	0	0	暴击倍率
1010	3	1	40	0	0	0	0	格挡
1011	3	1	40	0	0	0	0	穿透
1015	3	1	40	0	0	0	0	暴击伤害缩小
1016	3	1	40	0	0	0	0	暴击伤害放大
1065	3	1	200	0	0	0	0	攻击基数
1066	3	1	200	0	0	0	0	防御基数
1067	3	1	100	0	0	0	0	物攻
1068	3	1	100	0	0	0	0	物防
1070	3	1	100	0	0	0	0	真攻
1071	3	1	100	0	0	0	0	真防
1072	3	1	15	0	0	0	0	生命
1074	3	1	40	0	0	0	0	破招
1075	3	1	40	0	0	0	0	专注
1076	3	1	40	0	0	0	0	伤害加深
1077	3	1	40	0	0	0	0	伤害减免
1078	3	1	40	0	0	0	0	物理伤害减免
1079	3	1	40	0	0	0	0	真元伤害减免
1005	4	1	40	0	0	0	0	命中
1006	4	1	40	0	0	0	0	闪避
1007	4	1	40	0	0	0	0	暴击
1008	4	1	40	0	0	0	0	韧性
1009	4	1	40	0	0	0	0	暴击倍率
1010	4	1	40	0	0	0	0	格挡
1011	4	1	40	0	0	0	0	穿透
1015	4	1	40	0	0	0	0	暴击伤害缩小
1016	4	1	40	0	0	0	0	暴击伤害放大
1065	4	1	200	0	0	0	0	攻击基数
1066	4	1	200	0	0	0	0	防御基数
1067	4	1	100	0	0	0	0	物攻
1068	4	1	100	0	0	0	0	物防
1070	4	1	100	0	0	0	0	真攻
1071	4	1	100	0	0	0	0	真防
1072	4	1	15	0	0	0	0	生命
1074	4	1	40	0	0	0	0	破招
1075	4	1	40	0	0	0	0	专注
1076	4	1	40	0	0	0	0	伤害加深
1077	4	1	40	0	0	0	0	伤害减免
1078	4	1	40	0	0	0	0	物理伤害减免
1079	4	1	40	0	0	0	0	真元伤害减免
1005	5	1	40	0	0	0	0	命中
1006	5	1	40	0	0	0	0	闪避
1007	5	1	40	0	0	0	0	暴击
1008	5	1	40	0	0	0	0	韧性
1009	5	1	40	0	0	0	0	暴击倍率
1010	5	1	40	0	0	0	0	格挡
1011	5	1	40	0	0	0	0	穿透
1015	5	1	40	0	0	0	0	暴击伤害缩小
1016	5	1	40	0	0	0	0	暴击伤害放大
1065	5	1	200	0	0	0	0	攻击基数
1066	5	1	200	0	0	0	0	防御基数
1067	5	1	100	0	0	0	0	物攻
1068	5	1	100	0	0	0	0	物防
1070	5	1	100	0	0	0	0	真攻
1071	5	1	100	0	0	0	0	真防
1072	5	1	15	0	0	0	0	生命
1074	5	1	40	0	0	0	0	破招
1075	5	1	40	0	0	0	0	专注
1076	5	1	40	0	0	0	0	伤害加深
1077	5	1	40	0	0	0	0	伤害减免
1078	5	1	40	0	0	0	0	物理伤害减免
1079	5	1	40	0	0	0	0	真元伤害减免
1005	6	1	40	0	0	0	0	命中
1006	6	1	40	0	0	0	0	闪避
1007	6	1	40	0	0	0	0	暴击
1008	6	1	40	0	0	0	0	韧性
1009	6	1	40	0	0	0	0	暴击倍率
1010	6	1	40	0	0	0	0	格挡
1011	6	1	40	0	0	0	0	穿透
1015	6	1	40	0	0	0	0	暴击伤害缩小
1016	6	1	40	0	0	0	0	暴击伤害放大
1065	6	1	200	0	0	0	0	攻击基数
1066	6	1	200	0	0	0	0	防御基数
1067	6	1	100	0	0	0	0	物攻
1068	6	1	100	0	0	0	0	物防
1070	6	1	100	0	0	0	0	真攻
1071	6	1	100	0	0	0	0	真防
1072	6	1	15	0	0	0	0	生命
1074	6	1	40	0	0	0	0	破招
1075	6	1	40	0	0	0	0	专注
1076	6	1	40	0	0	0	0	伤害加深
1077	6	1	40	0	0	0	0	伤害减免
1078	6	1	40	0	0	0	0	物理伤害减免
1079	6	1	40	0	0	0	0	真元伤害减免
1005	7	1	40	0	0	0	0	命中
1006	7	1	40	0	0	0	0	闪避
1007	7	1	40	0	0	0	0	暴击
1008	7	1	40	0	0	0	0	韧性
1009	7	1	40	0	0	0	0	暴击倍率
1010	7	1	40	0	0	0	0	格挡
1011	7	1	40	0	0	0	0	穿透
1015	7	1	40	0	0	0	0	暴击伤害缩小
1016	7	1	40	0	0	0	0	暴击伤害放大
1065	7	1	200	0	0	0	0	攻击基数
1066	7	1	200	0	0	0	0	防御基数
1067	7	1	100	0	0	0	0	物攻
1068	7	1	100	0	0	0	0	物防
1070	7	1	100	0	0	0	0	真攻
1071	7	1	100	0	0	0	0	真防
1072	7	1	15	0	0	0	0	生命
1074	7	1	40	0	0	0	0	破招
1075	7	1	40	0	0	0	0	专注
1076	7	1	40	0	0	0	0	伤害加深
1077	7	1	40	0	0	0	0	伤害减免
1078	7	1	40	0	0	0	0	物理伤害减免
1079	7	1	40	0	0	0	0	真元伤害减免
1005	8	1	40	0	0	0	0	命中
1006	8	1	40	0	0	0	0	闪避
1007	8	1	40	0	0	0	0	暴击
1008	8	1	40	0	0	0	0	韧性
1009	8	1	40	0	0	0	0	暴击倍率
1010	8	1	40	0	0	0	0	格挡
1011	8	1	40	0	0	0	0	穿透
1015	8	1	40	0	0	0	0	暴击伤害缩小
1016	8	1	40	0	0	0	0	暴击伤害放大
1065	8	1	200	0	0	0	0	攻击基数
1066	8	1	200	0	0	0	0	防御基数
1067	8	1	100	0	0	0	0	物攻
1068	8	1	100	0	0	0	0	物防
1070	8	1	100	0	0	0	0	真攻
1071	8	1	100	0	0	0	0	真防
1072	8	1	15	0	0	0	0	生命
1074	8	1	40	0	0	0	0	破招
1075	8	1	40	0	0	0	0	专注
1076	8	1	40	0	0	0	0	伤害加深
1077	8	1	40	0	0	0	0	伤害减免
1078	8	1	40	0	0	0	0	物理伤害减免
1079	8	1	40	0	0	0	0	真元伤害减免
1005	9	1	40	0	0	0	0	命中
1006	9	1	40	0	0	0	0	闪避
1007	9	1	40	0	0	0	0	暴击
1008	9	1	40	0	0	0	0	韧性
1009	9	1	40	0	0	0	0	暴击倍率
1010	9	1	40	0	0	0	0	格挡
1011	9	1	40	0	0	0	0	穿透
1015	9	1	40	0	0	0	0	暴击伤害缩小
1016	9	1	40	0	0	0	0	暴击伤害放大
1065	9	1	200	0	0	0	0	攻击基数
1066	9	1	200	0	0	0	0	防御基数
1067	9	1	100	0	0	0	0	物攻
1068	9	1	100	0	0	0	0	物防
1070	9	1	100	0	0	0	0	真攻
1071	9	1	100	0	0	0	0	真防
1072	9	1	15	0	0	0	0	生命
1074	9	1	40	0	0	0	0	破招
1075	9	1	40	0	0	0	0	专注
1076	9	1	40	0	0	0	0	伤害加深
1077	9	1	40	0	0	0	0	伤害减免
1078	9	1	40	0	0	0	0	物理伤害减免
1079	9	1	40	0	0	0	0	真元伤害减免
2005	1	1	40	0	0	0	0	命中
2006	1	1	40	0	0	0	0	闪避
2007	1	1	40	0	0	0	0	暴击
2008	1	1	40	0	0	0	0	韧性
2009	1	1	40	0	0	0	0	暴击倍率
2010	1	1	40	0	0	0	0	格挡
2011	1	1	40	0	0	0	0	穿透
2015	1	1	40	0	0	0	0	暴击伤害缩小
2016	1	1	40	0	0	0	0	暴击伤害放大
2065	1	1	200	0	0	0	0	攻击基数
2066	1	1	200	0	0	0	0	防御基数
2067	1	1	100	0	0	0	0	物攻
2068	1	1	100	0	0	0	0	物防
2070	1	1	100	0	0	0	0	真攻
2071	1	1	100	0	0	0	0	真防
2072	1	1	15	0	0	0	0	生命
2074	1	1	40	0	0	0	0	破招
2075	1	1	40	0	0	0	0	专注
2076	1	1	40	0	0	0	0	伤害加深
2077	1	1	40	0	0	0	0	伤害减免
2078	1	1	40	0	0	0	0	物理伤害减免
2079	1	1	40	0	0	0	0	真元伤害减免
2005	2	1	40	0	0	0	0	命中
2006	2	1	40	0	0	0	0	闪避
2007	2	1	40	0	0	0	0	暴击
2008	2	1	40	0	0	0	0	韧性
2009	2	1	40	0	0	0	0	暴击倍率
2010	2	1	40	0	0	0	0	格挡
2011	2	1	40	0	0	0	0	穿透
2015	2	1	40	0	0	0	0	暴击伤害缩小
2016	2	1	40	0	0	0	0	暴击伤害放大
2065	2	1	200	0	0	0	0	攻击基数
2066	2	1	200	0	0	0	0	防御基数
2067	2	1	100	0	0	0	0	物攻
2068	2	1	100	0	0	0	0	物防
2070	2	1	100	0	0	0	0	真攻
2071	2	1	100	0	0	0	0	真防
2072	2	1	15	0	0	0	0	生命
2074	2	1	40	0	0	0	0	破招
2075	2	1	40	0	0	0	0	专注
2076	2	1	40	0	0	0	0	伤害加深
2077	2	1	40	0	0	0	0	伤害减免
2078	2	1	40	0	0	0	0	物理伤害减免
2079	2	1	40	0	0	0	0	真元伤害减免
2005	3	1	40	0	0	0	0	命中
2006	3	1	40	0	0	0	0	闪避
2007	3	1	40	0	0	0	0	暴击
2008	3	1	40	0	0	0	0	韧性
2009	3	1	40	0	0	0	0	暴击倍率
2010	3	1	40	0	0	0	0	格挡
2011	3	1	40	0	0	0	0	穿透
2015	3	1	40	0	0	0	0	暴击伤害缩小
2016	3	1	40	0	0	0	0	暴击伤害放大
2065	3	1	200	0	0	0	0	攻击基数
2066	3	1	200	0	0	0	0	防御基数
2067	3	1	100	0	0	0	0	物攻
2068	3	1	100	0	0	0	0	物防
2070	3	1	100	0	0	0	0	真攻
2071	3	1	100	0	0	0	0	真防
2072	3	1	15	0	0	0	0	生命
2074	3	1	40	0	0	0	0	破招
2075	3	1	40	0	0	0	0	专注
2076	3	1	40	0	0	0	0	伤害加深
2077	3	1	40	0	0	0	0	伤害减免
2078	3	1	40	0	0	0	0	物理伤害减免
2079	3	1	40	0	0	0	0	真元伤害减免
2005	4	1	40	0	0	0	0	命中
2006	4	1	40	0	0	0	0	闪避
2007	4	1	40	0	0	0	0	暴击
2008	4	1	40	0	0	0	0	韧性
2009	4	1	40	0	0	0	0	暴击倍率
2010	4	1	40	0	0	0	0	格挡
2011	4	1	40	0	0	0	0	穿透
2015	4	1	40	0	0	0	0	暴击伤害缩小
2016	4	1	40	0	0	0	0	暴击伤害放大
2065	4	1	200	0	0	0	0	攻击基数
2066	4	1	200	0	0	0	0	防御基数
2067	4	1	100	0	0	0	0	物攻
2068	4	1	100	0	0	0	0	物防
2070	4	1	100	0	0	0	0	真攻
2071	4	1	100	0	0	0	0	真防
2072	4	1	15	0	0	0	0	生命
2074	4	1	40	0	0	0	0	破招
2075	4	1	40	0	0	0	0	专注
2076	4	1	40	0	0	0	0	伤害加深
2077	4	1	40	0	0	0	0	伤害减免
2078	4	1	40	0	0	0	0	物理伤害减免
2079	4	1	40	0	0	0	0	真元伤害减免
2005	5	1	40	0	0	0	0	命中
2006	5	1	40	0	0	0	0	闪避
2007	5	1	40	0	0	0	0	暴击
2008	5	1	40	0	0	0	0	韧性
2009	5	1	40	0	0	0	0	暴击倍率
2010	5	1	40	0	0	0	0	格挡
2011	5	1	40	0	0	0	0	穿透
2015	5	1	40	0	0	0	0	暴击伤害缩小
2016	5	1	40	0	0	0	0	暴击伤害放大
2065	5	1	200	0	0	0	0	攻击基数
2066	5	1	200	0	0	0	0	防御基数
2067	5	1	100	0	0	0	0	物攻
2068	5	1	100	0	0	0	0	物防
2070	5	1	100	0	0	0	0	真攻
2071	5	1	100	0	0	0	0	真防
2072	5	1	15	0	0	0	0	生命
2074	5	1	40	0	0	0	0	破招
2075	5	1	40	0	0	0	0	专注
2076	5	1	40	0	0	0	0	伤害加深
2077	5	1	40	0	0	0	0	伤害减免
2078	5	1	40	0	0	0	0	物理伤害减免
2079	5	1	40	0	0	0	0	真元伤害减免
2005	6	1	40	0	0	0	0	命中
2006	6	1	40	0	0	0	0	闪避
2007	6	1	40	0	0	0	0	暴击
2008	6	1	40	0	0	0	0	韧性
2009	6	1	40	0	0	0	0	暴击倍率
2010	6	1	40	0	0	0	0	格挡
2011	6	1	40	0	0	0	0	穿透
2015	6	1	40	0	0	0	0	暴击伤害缩小
2016	6	1	40	0	0	0	0	暴击伤害放大
2065	6	1	200	0	0	0	0	攻击基数
2066	6	1	200	0	0	0	0	防御基数
2067	6	1	100	0	0	0	0	物攻
2068	6	1	100	0	0	0	0	物防
2070	6	1	100	0	0	0	0	真攻
2071	6	1	100	0	0	0	0	真防
2072	6	1	15	0	0	0	0	生命
2074	6	1	40	0	0	0	0	破招
2075	6	1	40	0	0	0	0	专注
2076	6	1	40	0	0	0	0	伤害加深
2077	6	1	40	0	0	0	0	伤害减免
2078	6	1	40	0	0	0	0	物理伤害减免
2079	6	1	40	0	0	0	0	真元伤害减免
2005	7	1	40	0	0	0	0	命中
2006	7	1	40	0	0	0	0	闪避
2007	7	1	40	0	0	0	0	暴击
2008	7	1	40	0	0	0	0	韧性
2009	7	1	40	0	0	0	0	暴击倍率
2010	7	1	40	0	0	0	0	格挡
2011	7	1	40	0	0	0	0	穿透
2015	7	1	40	0	0	0	0	暴击伤害缩小
2016	7	1	40	0	0	0	0	暴击伤害放大
2065	7	1	200	0	0	0	0	攻击基数
2066	7	1	200	0	0	0	0	防御基数
2067	7	1	100	0	0	0	0	物攻
2068	7	1	100	0	0	0	0	物防
2070	7	1	100	0	0	0	0	真攻
2071	7	1	100	0	0	0	0	真防
2072	7	1	15	0	0	0	0	生命
2074	7	1	40	0	0	0	0	破招
2075	7	1	40	0	0	0	0	专注
2076	7	1	40	0	0	0	0	伤害加深
2077	7	1	40	0	0	0	0	伤害减免
2078	7	1	40	0	0	0	0	物理伤害减免
2079	7	1	40	0	0	0	0	真元伤害减免
2005	8	1	40	0	0	0	0	命中
2006	8	1	40	0	0	0	0	闪避
2007	8	1	40	0	0	0	0	暴击
2008	8	1	40	0	0	0	0	韧性
2009	8	1	40	0	0	0	0	暴击倍率
2010	8	1	40	0	0	0	0	格挡
2011	8	1	40	0	0	0	0	穿透
2015	8	1	40	0	0	0	0	暴击伤害缩小
2016	8	1	40	0	0	0	0	暴击伤害放大
2065	8	1	200	0	0	0	0	攻击基数
2066	8	1	200	0	0	0	0	防御基数
2067	8	1	100	0	0	0	0	物攻
2068	8	1	100	0	0	0	0	物防
2070	8	1	100	0	0	0	0	真攻
2071	8	1	100	0	0	0	0	真防
2072	8	1	15	0	0	0	0	生命
2074	8	1	40	0	0	0	0	破招
2075	8	1	40	0	0	0	0	专注
2076	8	1	40	0	0	0	0	伤害加深
2077	8	1	40	0	0	0	0	伤害减免
2078	8	1	40	0	0	0	0	物理伤害减免
2079	8	1	40	0	0	0	0	真元伤害减免
2005	9	1	40	0	0	0	0	命中
2006	9	1	40	0	0	0	0	闪避
2007	9	1	40	0	0	0	0	暴击
2008	9	1	40	0	0	0	0	韧性
2009	9	1	40	0	0	0	0	暴击倍率
2010	9	1	40	0	0	0	0	格挡
2011	9	1	40	0	0	0	0	穿透
2015	9	1	40	0	0	0	0	暴击伤害缩小
2016	9	1	40	0	0	0	0	暴击伤害放大
2065	9	1	200	0	0	0	0	攻击基数
2066	9	1	200	0	0	0	0	防御基数
2067	9	1	100	0	0	0	0	物攻
2068	9	1	100	0	0	0	0	物防
2070	9	1	100	0	0	0	0	真攻
2071	9	1	100	0	0	0	0	真防
2072	9	1	15	0	0	0	0	生命
2074	9	1	40	0	0	0	0	破招
2075	9	1	40	0	0	0	0	专注
2076	9	1	40	0	0	0	0	伤害加深
2077	9	1	40	0	0	0	0	伤害减免
2078	9	1	40	0	0	0	0	物理伤害减免
2079	9	1	40	0	0	0	0	真元伤害减免
6005	1	1	40	0	0	0	0	命中
6006	1	1	40	0	0	0	0	闪避
6007	1	1	40	0	0	0	0	暴击
6008	1	1	40	0	0	0	0	韧性
6009	1	1	40	0	0	0	0	暴击倍率
6010	1	1	40	0	0	0	0	格挡
6011	1	1	40	0	0	0	0	穿透
6015	1	1	40	0	0	0	0	暴击伤害缩小
6016	1	1	40	0	0	0	0	暴击伤害放大
6065	1	1	200	0	0	0	0	攻击基数
6066	1	1	200	0	0	0	0	防御基数
6067	1	1	100	0	0	0	0	物攻
6068	1	1	100	0	0	0	0	物防
6070	1	1	100	0	0	0	0	真攻
6071	1	1	100	0	0	0	0	真防
6072	1	1	15	0	0	0	0	生命
6074	1	1	40	0	0	0	0	破招
6075	1	1	40	0	0	0	0	专注
6076	1	1	40	0	0	0	0	伤害加深
6077	1	1	40	0	0	0	0	伤害减免
6078	1	1	40	0	0	0	0	物理伤害减免
6079	1	1	40	0	0	0	0	真元伤害减免
6005	2	1	40	0	0	0	0	命中
6006	2	1	40	0	0	0	0	闪避
6007	2	1	40	0	0	0	0	暴击
6008	2	1	40	0	0	0	0	韧性
6009	2	1	40	0	0	0	0	暴击倍率
6010	2	1	40	0	0	0	0	格挡
6011	2	1	40	0	0	0	0	穿透
6015	2	1	40	0	0	0	0	暴击伤害缩小
6016	2	1	40	0	0	0	0	暴击伤害放大
6065	2	1	200	0	0	0	0	攻击基数
6066	2	1	200	0	0	0	0	防御基数
6067	2	1	100	0	0	0	0	物攻
6068	2	1	100	0	0	0	0	物防
6070	2	1	100	0	0	0	0	真攻
6071	2	1	100	0	0	0	0	真防
6072	2	1	15	0	0	0	0	生命
6074	2	1	40	0	0	0	0	破招
6075	2	1	40	0	0	0	0	专注
6076	2	1	40	0	0	0	0	伤害加深
6077	2	1	40	0	0	0	0	伤害减免
6078	2	1	40	0	0	0	0	物理伤害减免
