套装	职业	颜色	valid	部位ID1	部位ID2	部位ID3	部位ID4	装备ID1	装备ID2	装备ID3	装备ID4	属性类型1	属性数值1	属性类型2	属性数值2	属性类型3	属性数值3	属性类型4	属性数值4	神装套装属性1	神装属性数值1	神装套装属性2	神装属性数值2	神装套装属性3	神装属性数值3	神装套装属性4	神装属性数值4	装备法球属性池ID	魂装激活增加战力值	神装激活增加战力值	推荐等级（根据这个字段判断打开页面时选中哪个颜色）	背景图	外观描述	外观数组1	外观数组2	外观数组3	外观数组4	外观数组5
1	41	3	1	0	1	3	2	4101130	14101130	34101130	24101130	68	523	71	523	0	0	0	0	68	784	71	784	0	0	0	0	0	1922	2883	51	soulEquip_Back_2	暂无	0	0	0	0	0
1	41	4	1	0	1	3	2	4101140	14101140	34101140	24101140	68	793	71	793	0	0	0	0	68	1189	71	1189	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
1	41	5	1	0	1	3	2	4101150	14101150	34101150	24101150	68	1111	71	1111	0	0	0	0	68	1666	71	1666	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
1	41	6	1	0	1	3	2	4101160	14101160	34101160	24101160	68	1486	71	1486	0	0	0	0	68	2229	71	2229	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
1	41	7	1	0	1	3	2	4101170	14101170	34101170	24101170	68	1923	71	1923	0	0	0	0	68	2884	71	2884	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
1	41	8	1	0	1	3	2	4101180	14101180	34101180	24101180	68	2433	71	2433	0	0	0	0	68	3649	71	3649	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
1	41	9	1	0	1	3	2	4101190	14101190	34101190	24101190	68	3164	71	3164	0	0	0	0	68	4746	71	4746	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
2	11	3	1	8	7	4	9	81101130	71101130	41101130	91101130	67	1309	0	0	0	0	0	0	67	1963	0	0	0	0	0	0	0	1922	2883	61	soulEquip_Back_2	暂无	0	0	0	0	0
2	11	4	1	8	7	4	9	81101140	71101140	41101140	91101140	67	1983	0	0	0	0	0	0	67	2974	0	0	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
2	11	5	1	8	7	4	9	81101150	71101150	41101150	91101150	67	2779	0	0	0	0	0	0	67	4168	0	0	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
2	11	6	1	8	7	4	9	81101160	71101160	41101160	91101160	67	3714	0	0	0	0	0	0	67	5571	0	0	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
2	11	7	1	8	7	4	9	81101170	71101170	41101170	91101170	67	4807	0	0	0	0	0	0	67	7210	0	0	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
2	11	8	1	8	7	4	9	81101180	71101180	41101180	91101180	67	6083	0	0	0	0	0	0	67	9124	0	0	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
2	11	9	1	8	7	4	9	81101190	71101190	41101190	91101190	67	7910	0	0	0	0	0	0	67	11865	0	0	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
2	21	3	1	8	7	4	9	82101130	72101130	42101130	92101130	70	1178	0	0	0	0	0	0	70	1767	0	0	0	0	0	0	0	1922	2883	61	soulEquip_Back_2	暂无	0	0	0	0	0
2	21	4	1	8	7	4	9	82101140	72101140	42101140	92101140	70	1785	0	0	0	0	0	0	70	2677	0	0	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
2	21	5	1	8	7	4	9	82101150	72101150	42101150	92101150	70	2501	0	0	0	0	0	0	70	3751	0	0	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
2	21	6	1	8	7	4	9	82101160	72101160	42101160	92101160	70	3343	0	0	0	0	0	0	70	5014	0	0	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
2	21	7	1	8	7	4	9	82101170	72101170	42101170	92101170	70	4326	0	0	0	0	0	0	70	6489	0	0	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
2	21	8	1	8	7	4	9	82101180	72101180	42101180	92101180	70	5475	0	0	0	0	0	0	70	8212	0	0	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
2	21	9	1	8	7	4	9	82101190	72101190	42101190	92101190	70	7119	0	0	0	0	0	0	70	10678	0	0	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
2	31	3	1	8	7	4	9	83101130	73101130	43101130	93101130	67	982	0	0	0	0	0	0	67	1473	0	0	0	0	0	0	0	1922	2883	61	soulEquip_Back_2	暂无	0	0	0	0	0
2	31	4	1	8	7	4	9	83101140	73101140	43101140	93101140	67	1487	0	0	0	0	0	0	67	2230	0	0	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
2	31	5	1	8	7	4	9	83101150	73101150	43101150	93101150	67	2084	0	0	0	0	0	0	67	3126	0	0	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
2	31	6	1	8	7	4	9	83101160	73101160	43101160	93101160	67	2786	0	0	0	0	0	0	67	4179	0	0	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
2	31	7	1	8	7	4	9	83101170	73101170	43101170	93101170	67	3605	0	0	0	0	0	0	67	5407	0	0	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
2	31	8	1	8	7	4	9	83101180	73101180	43101180	93101180	67	4562	0	0	0	0	0	0	67	6843	0	0	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
2	31	9	1	8	7	4	9	83101190	73101190	43101190	93101190	67	5933	0	0	0	0	0	0	67	8899	0	0	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
2	41	3	1	8	7	4	9	84101130	74101130	44101130	94101130	70	1636	0	0	0	0	0	0	70	2454	0	0	0	0	0	0	0	1922	2883	61	soulEquip_Back_2	暂无	0	0	0	0	0
2	41	4	1	8	7	4	9	84101140	74101140	44101140	94101140	70	2479	0	0	0	0	0	0	70	3718	0	0	0	0	0	0	0	3527	5290	1081	soulEquip_Back_3	暂无	0	0	0	0	0
2	41	5	1	8	7	4	9	84101150	74101150	44101150	94101150	70	3474	0	0	0	0	0	0	70	5211	0	0	0	0	0	0	0	6611	9916	2101	soulEquip_Back_4	暂无	0	0	0	0	0
2	41	6	1	8	7	4	9	84101160	74101160	44101160	94101160	70	4643	0	0	0	0	0	0	70	6964	0	0	0	0	0	0	0	11810	17715	3121	soulEquip_Back_5	暂无	0	0	0	0	0
2	41	7	1	8	7	4	9	84101170	74101170	44101170	94101170	70	6009	0	0	0	0	0	0	70	9013	0	0	0	0	0	0	0	20385	30577	4141	soulEquip_Back_5	暂无	0	0	0	0	0
2	41	8	1	8	7	4	9	84101180	74101180	44101180	94101180	70	7604	0	0	0	0	0	0	70	11406	0	0	0	0	0	0	0	34424	51636	5161	soulEquip_Back_5	暂无	0	0	0	0	0
2	41	9	1	8	7	4	9	84101190	74101190	44101190	94101190	70	9888	0	0	0	0	0	0	70	14832	0	0	0	0	0	0	0	59799	89698	6181	soulEquip_Back_5	暂无	0	0	0	0	0
3	11	3	1	5	6	0	0	51101130	61101130	0	0	72	51753	0	0	0	0	0	0	72	77629	0	0	0	0	0	0	0	3777	5665	61	soulEquip_Back_2	暂无	0	0	0	0	0
3	11	4	1	5	6	0	0	51101140	61101140	0	0	72	89753	0	0	0	0	0	0	72	134629	0	0	0	0	0	0	0	6887	10330	1081	soulEquip_Back_3	暂无	0	0	0	0	0
3	11	5	1	5	6	0	0	51101150	61101150	0	0	72	143784	0	0	0	0	0	0	72	215676	0	0	0	0	0	0	0	12061	18091	2101	soulEquip_Back_4	暂无	0	0	0	0	0
3	11	6	1	5	6	0	0	51101160	61101160	0	0	72	227138	0	0	0	0	0	0	72	340707	0	0	0	0	0	0	0	22062	33093	3121	soulEquip_Back_5	暂无	0	0	0	0	0
3	11	7	1	5	6	0	0	51101170	61101170	0	0	72	316492	0	0	0	0	0	0	72	474738	0	0	0	0	0	0	0	41460	62190	4141	soulEquip_Back_5	暂无	0	0	0	0	0
3	11	8	1	5	6	0	0	51101180	61101180	0	0	72	411446	0	0	0	0	0	0	72	617169	0	0	0	0	0	0	0	74060	111090	5161	soulEquip_Back_5	暂无	0	0	0	0	0
3	11	9	1	5	6	0	0	51101190	61101190	0	0	72	539476	0	0	0	0	0	0	72	809214	0	0	0	0	0	0	0	133790	200685	6181	soulEquip_Back_5	暂无	0	0	0	0	0
3	21	3	1	5	6	0	0	52101130	62101130	0	0	72	56928	0	0	0	0	0	0	72	85392	0	0	0	0	0	0	0	3777	5665	61	soulEquip_Back_2	暂无	0	0	0	0	0
3	21	4	1	5	6	0	0	52101140	62101140	0	0	72	98728	0	0	0	0	0	0	72	148092	0	0	0	0	0	0	0	6887	10330	1081	soulEquip_Back_3	暂无	0	0	0	0	0
3	21	5	1	5	6	0	0	52101150	62101150	0	0	72	158162	0	0	0	0	0	0	72	237243	0	0	0	0	0	0	0	12061	18091	2101	soulEquip_Back_4	暂无	0	0	0	0	0
3	21	6	1	5	6	0	0	52101160	62101160	0	0	72	249852	0	0	0	0	0	0	72	374778	0	0	0	0	0	0	0	22062	33093	3121	soulEquip_Back_5	暂无	0	0	0	0	0
3	21	7	1	5	6	0	0	52101170	62101170	0	0	72	348141	0	0	0	0	0	0	72	522211	0	0	0	0	0	0	0	41460	62190	4141	soulEquip_Back_5	暂无	0	0	0	0	0
3	21	8	1	5	6	0	0	52101180	62101180	0	0	72	452591	0	0	0	0	0	0	72	678886	0	0	0	0	0	0	0	74060	111090	5161	soulEquip_Back_5	暂无	0	0	0	0	0
3	21	9	1	5	6	0	0	52101190	62101190	0	0	72	593424	0	0	0	0	0	0	72	890136	0	0	0	0	0	0	0	133790	200685	6181	soulEquip_Back_5	暂无	0	0	0	0	0
3	31	3	1	5	6	0	0	53101130	63101130	0	0	72	62104	0	0	0	0	0	0	72	93156	0	0	0	0	0	0	0	3777	5665	61	soulEquip_Back_2	暂无	0	0	0	0	0
3	31	4	1	5	6	0	0	53101140	63101140	0	0	72	107704	0	0	0	0	0	0	72	161556	0	0	0	0	0	0	0	6887	10330	1081	soulEquip_Back_3	暂无	0	0	0	0	0
3	31	5	1	5	6	0	0	53101150	63101150	0	0	72	172541	0	0	0	0	0	0	72	258811	0	0	0	0	0	0	0	12061	18091	2101	soulEquip_Back_4	暂无	0	0	0	0	0
3	31	6	1	5	6	0	0	53101160	63101160	0	0	72	272566	0	0	0	0	0	0	72	408849	0	0	0	0	0	0	0	22062	33093	3121	soulEquip_Back_5	暂无	0	0	0	0	0
3	31	7	1	5	6	0	0	53101170	63101170	0	0	72	379790	0	0	0	0	0	0	72	569685	0	0	0	0	0	0	0	41460	62190	4141	soulEquip_Back_5	暂无	0	0	0	0	0
3	31	8	1	5	6	0	0	53101180	63101180	0	0	72	493735	0	0	0	0	0	0	72	740602	0	0	0	0	0	0	0	74060	111090	5161	soulEquip_Back_5	暂无	0	0	0	0	0
3	31	9	1	5	6	0	0	53101190	63101190	0	0	72	647371	0	0	0	0	0	0	72	971056	0	0	0	0	0	0	0	133790	200685	6181	soulEquip_Back_5	暂无	0	0	0	0	0
3	41	3	1	5	6	0	0	54101130	64101130	0	0	72	51753	0	0	0	0	0	0	72	77629	0	0	0	0	0	0	0	3777	5665	61	soulEquip_Back_2	暂无	0	0	0	0	0
3	41	4	1	5	6	0	0	54101140	64101140	0	0	72	89753	0	0	0	0	0	0	72	134629	0	0	0	0	0	0	0	6887	10330	1081	soulEquip_Back_3	暂无	0	0	0	0	0
3	41	5	1	5	6	0	0	54101150	64101150	0	0	72	143784	0	0	0	0	0	0	72	215676	0	0	0	0	0	0	0	12061	18091	2101	soulEquip_Back_4	暂无	0	0	0	0	0
3	41	6	1	5	6	0	0	54101160	64101160	0	0	72	227138	0	0	0	0	0	0	72	340707	0	0	0	0	0	0	0	22062	33093	3121	soulEquip_Back_5	暂无	0	0	0	0	0
3	41	7	1	5	6	0	0	54101170	64101170	0	0	72	316492	0	0	0	0	0	0	72	474738	0	0	0	0	0	0	0	41460	62190	4141	soulEquip_Back_5	暂无	0	0	0	0	0
3	41	8	1	5	6	0	0	54101180	64101180	0	0	72	411446	0	0	0	0	0	0	72	617169	0	0	0	0	0	0	0	74060	111090	5161	soulEquip_Back_5	暂无	0	0	0	0	0
3	41	9	1	5	6	0	0	54101190	64101190	0	0	72	539476	0	0	0	0	0	0	72	809214	0	0	0	0	0	0	0	133790	200685	6181	soulEquip_Back_5	暂无	0	0	0	0	0
