"系数ID(小于1000的为npc等级系数,1001-2000之间是帮派建筑升级控制系数）"	世界科技等级	有效标志位	后进等级上限	后进万分比加成	后进固定加成	正常等级上限	正常万分比加成	正常固定加成	最高等级上限	高等级衰减万分比	高等级固定衰减
1018	2	1	1	0	0	1	10000	0	1	0	0
1018	3	1	1	0	0	1	10000	0	1	0	0
1018	4	1	1	0	0	1	10000	0	1	0	0
1018	5	1	1	0	0	1	10000	0	1	0	0
1018	6	1	1	0	0	1	10000	0	1	0	0
1018	7	1	1	0	0	1	10000	0	1	0	0
1018	8	1	1	0	0	1	10000	0	1	0	0
1019	1	1	1	0	0	1	10000	0	1	0	0
1019	2	1	1	0	0	1	10000	0	1	0	0
1019	3	1	1	0	0	1	10000	0	1	0	0
1019	4	1	1	0	0	1	10000	0	1	0	0
1019	5	1	1	0	0	1	10000	0	1	0	0
1019	6	1	1	0	0	1	10000	0	1	0	0
1019	7	1	1	0	0	1	10000	0	1	0	0
1019	8	1	1	0	0	1	10000	0	1	0	0
1020	1	1	1	0	0	1	10000	0	1	0	0
1020	2	1	1	0	0	1	10000	0	1	0	0
1020	3	1	1	0	0	1	10000	0	1	0	0
1020	4	1	1	0	0	1	10000	0	1	0	0
1020	5	1	1	0	0	1	10000	0	1	0	0
1020	6	1	1	0	0	1	10000	0	1	0	0
1020	7	1	1	0	0	1	10000	0	1	0	0
1020	8	1	1	0	0	1	10000	0	1	0	0
1200001	1	1	41	10000	0	60	10000	0	7201	5000	0
1200001	2	1	61	30000	0	1080	20000	0	7201	10000	0
1200001	3	1	1081	60000	0	2100	40000	0	7201	20000	0
1200001	4	1	2101	120000	0	3120	80000	0	7201	40000	0
1200001	5	1	3121	240000	0	4140	160000	0	7201	80000	0
1200001	6	1	4141	480000	0	5160	320000	0	7201	160000	0
1200001	7	1	5161	672000	0	6180	448000	0	7201	224000	0
1200001	8	1	6181	940800	0	7200	627200	0	7201	313600	0
1200002	1	1	41	15000	0	60	10000	0	7201	5000	0
1200002	2	1	61	15000	0	1080	10000	0	7201	5000	0
1200002	3	1	1081	15000	0	2100	10000	0	7201	5000	0
1200002	4	1	2101	15000	0	3120	10000	0	7201	5000	0
1200002	5	1	3121	15000	0	4140	10000	0	7201	5000	0
1200002	6	1	4141	15000	0	5160	10000	0	7201	5000	0
1200002	7	1	5161	15000	0	6180	10000	0	7201	5000	0
1200002	8	1	6181	15000	0	7200	10000	0	7201	5000	0
1203001	1	1	41	10000	0	60	10000	0	7201	10000	0
1203001	2	1	61	12000	0	1080	12000	0	7201	12000	0
1203001	3	1	1081	14400	0	2100	14400	0	7201	14400	0
1203001	4	1	2101	17300	0	3120	17300	0	7201	17300	0
1203001	5	1	3121	20800	0	4140	20800	0	7201	20800	0
1203001	6	1	4141	25000	0	5160	25000	0	7201	25000	0
1203001	7	1	5161	30000	0	6180	30000	0	7201	30000	0
1203001	8	1	6181	36000	0	7200	36000	0	7201	36000	0
1007001	1	1	41	10000	0	60	10000	0	7201	10000	0
1007001	2	1	61	20000	0	1080	20000	0	7201	20000	0
1007001	3	1	1081	40000	0	2100	40000	0	7201	40000	0
1007001	4	1	2101	80000	0	3120	80000	0	7201	80000	0
1007001	5	1	3121	160000	0	4140	160000	0	7201	160000	0
1007001	6	1	4141	320000	0	5160	320000	0	7201	320000	0
1007001	7	1	5161	640000	0	6180	640000	0	7201	640000	0
1007001	8	1	6181	1280000	0	7200	1280000	0	7201	1280000	0
1005001	1	1	41	10000	0	60	10000	0	7201	10000	0
1005001	2	1	61	10000	0	1080	10000	0	7201	10000	0
1005001	3	1	1081	10000	0	2100	10000	0	7201	10000	0
1005001	4	1	2101	10000	0	3120	10000	0	7201	10000	0
1005001	5	1	3121	10000	0	4140	10000	0	7201	10000	0
1005001	6	1	4141	10000	0	5160	10000	0	7201	10000	0
1005001	7	1	5161	10000	0	6180	10000	0	7201	10000	0
1005001	8	1	6181	10000	0	7200	10000	0	7201	10000	0
2000001	1	1	41	10000	0	60	10000	0	7201	10000	0
2000001	2	1	61	20000	0	1080	20000	0	7201	20000	0
2000001	3	1	1081	40000	0	2100	40000	0	7201	40000	0
2000001	4	1	2101	80000	0	3120	80000	0	7201	80000	0
2000001	5	1	3121	160000	0	4140	160000	0	7201	160000	0
2000001	6	1	4141	320000	0	5160	320000	0	7201	320000	0
2000001	7	1	5161	640000	0	6180	640000	0	7201	640000	0
2000001	8	1	6181	1280000	0	7200	1280000	0	7201	1280000	0
2000003	1	1	1	10000	0	61	10000	0	7201	10000	0
2000003	2	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	3	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	4	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	5	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	6	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	7	1	61	10000	0	1081	15714	0	7201	22857	0
2000003	8	1	61	10000	0	1081	15714	0	7201	22857	0
