备注	行为ID	有效标志	警戒范围（已*10)	战斗范围（已*10)	待机行走方式（0呆站，9个体巡逻，10群组巡逻）	走路速度（未*10）	奔跑速度（未*10）	camp1阵营1，2阵营2兼敌对，3阵营3和12敌对，21友好(学院攻防：防1攻2)	普攻类型1	普攻1概率(万分比)	普攻类型2	普攻2概率(万分比)	普攻类型3	普攻2概率(万分比)	普通攻击间隔(毫秒)	普通攻击对象(0普通，8炮塔，16固定朝向)	是否回位补给	回位是否重置	尸体存在时间	免疫的debuff类型	"免疫被击硬直和击退(1免疫普攻，2免疫普攻、技能带来的,3免疫一切被击硬直和击退)"	采集读条cmd	读条时间（毫秒）	单位类型，位域：0是普通单位，1是机械单位(不能被加血)、2是免疫XP技能、4是免疫宠物攻击单位	出生范围	攻击范围（已*10）	游荡范围（游荡的距离，已*10，单位M）	采集消耗主键	采集消耗副键
20警戒20出生-推图弓兵类小怪	1112	1	20	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
10警戒20出生-推图弓兵类小怪	1113	1	10	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
10警戒10出生-推图弓兵类小怪	1114	1	10	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	10	7	0	0	0
推图弓兵类小怪-伏兵	1115	1	100	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	4	7	0	0	0
推图普通近战小怪-8出生	1116	1	100	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	2.5	0	0	0
推图普通远程小怪-蝙蝠-8出生	1117	1	100	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	7	0	0	0
推图脆皮快速近战小怪-8出生	1118	1	100	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	2	0	0	0
推图弓兵类小怪-8出生	1119	1	100	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	7	0	0	0
推图普通近战小怪-5警戒20出生	1120	1	5	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	1	0	0	0	20	2.5	0	0	0
推图普通远程小怪-5警戒20出生-蝙蝠类	1121	1	5	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
推图脆皮快速近战小怪-5警戒20出生	1122	1	5	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2	0	0	0
推图弓兵类小怪-5警戒20出生	1123	1	5	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
推图普通近战小怪-5米出生5米警戒	1124	1	100	20	0	14	38	2	10001	3334	10002	3333	10003	3333	2000	0	0	0	3	0	0	0	0	0	5	2.5	0	0	0
推图普通远程小怪-5米出生5米警戒-蝙蝠类	1125	1	100	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	7	0	0	0
推图脆皮快速近战小怪-5米出生5米警戒	1126	1	100	20	0	14	53	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	2	0	0	0
推图弓兵类小怪-5米出生5米警戒	1127	1	100	20	0	14	38	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	7	0	0	0
推图普通远程小怪-近警戒远出生-刺牙	1128	1	10	20	0	14	38	2	10006	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	7	0	0	0
10警戒50出生-推图普通近战小怪	1129	1	10	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	50	2.5	0	0	0
推图普通近战小怪-8出生	1150	1	100	20	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	2.5	0	0	0
推图弓兵类小怪-8出生	1151	1	100	20	0	14	28	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	8	7	0	0	0
推图普通近战小怪-5米出生5米警戒	1152	1	100	20	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	2.5	0	0	0
推图弓兵类小怪-5米出生5米警戒	1153	1	100	20	0	14	28	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	7	0	0	0
血族刀兵（逗逼）-守护类地图	1154	1	100	20	0	14	28	2	10001	5000	10007	5000	0	0	2000	0	0	0	3	0	0	0	0	0	20	2.5	0	0	0
血族刀兵（逗逼）-前推类地图	1155	1	10	100	0	14	28	2	10001	5000	10007	5000	0	0	2000	0	0	0	3	0	0	0	0	0	10	2.5	0	0	0
妖族士兵-守护类地图	1156	1	100	20	0	14	28	2	10003	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	20	2.5	0	0	0
血族刀兵（逗逼）-前推类地图(20出生)	1157	1	8	20	0	14	28	2	10001	5000	10007	5000	0	0	2000	0	0	0	3	0	0	0	0	0	20	2.5	0	0	0
推图弓兵类小怪	1158	1	5	20	0	14	28	2	10005	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	7	0	0	0
推图骷髅近战小怪	1159	1	5	20	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	3	0	0	0	0	0	5	2.5	0	0	0
推图普通近战小怪-8出生	1160	1	8	20	0	14	28	2	10001	3334	10002	3333	10003	3333	2000	0	0	0	3	0	1	0	0	0	8	2.5	0	0	0
陆家村野猪-0警戒100出生	1161	1	0	20	2	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	100	2.5	2	0	0
云村蓝胖-5警戒100范围	1162	1	5	20	0	14	38	2	22005	10000	0	0	0	0	2000	0	0	0	3	0	1	0	0	0	100	2.5	0	0	0
桃源村魔族奸细-0警戒100范围	1163	1	0	20	0	14	38	2	21259	10000	0	0	0	0	2000	0	0	0	3	0	3	0	0	0	100	2.5	0	0	0
云村蓝胖-5警戒100范围	1164	1	5	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	100	2.5	0	0	0
推图精英进战怪-20米出生-10米警戒	2100	1	10	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	2.5	0	0	0
推图精英蝙蝠怪-20米出生-10米警戒	2101	1	10	20	0	14	38	2	10004	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	7	0	0	0
推图精英骷髅怪-20米出生-10米警戒	2102	1	10	20	0	14	28	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	2.5	0	0	0
推图精英法系-20米出生-10米警戒	2103	1	10	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	6	0	0	0
推图精英法系-20米出生-4米警戒	2104	1	4	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	6	0	0	0
推图精英进战怪-20米出生-4米警戒	2105	1	4	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	2.5	0	0	0
推图精英进战怪-6米出生-6米警戒	2106	1	6	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	6	2.5	0	0	0
推图精英法系-20米出生-10米警戒	2107	1	10	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	0	0	0	0	20	6	0	0	0
推图通用近战BOSS-100出生-6米警戒	3100	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	2	0	0	0
推图通用法系远程BOSS-100出生-6米警戒	3101	1	6	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	7	0	0	0
特殊小怪-豺狼长弓手-30警戒-箭雨	4100	1	30	30	0	14	38	2	21055	10000	0	0	0	0	5000	0	0	0	1	0	0	0	0	0	100	30	0	0	0
特殊小怪-塔类型	4101	1	7	8	0	0	0	2	10202	10000	0	0	0	0	2000	8	0	0	1	0	3	0	0	1	10	7	0	0	0
观灵阁近战小怪-慢速-低攻速	8000	1	10	100	0	14	20	2	10001	3334	10001	3333	10001	3333	3000	0	1	1	1	0	0	0	0	0	20	2.5	0	0	0
观灵阁近战小怪-中速-中攻速	8001	1	10	100	0	14	35	2	10001	3334	10001	3333	10001	3333	2000	0	1	1	1	0	0	0	0	0	20	2.5	0	0	0
观灵阁近战小怪-中速-中攻速-弓手	8002	1	10	100	0	14	35	2	10005	10000	0	0	0	0	2000	0	1	1	1	0	0	0	0	0	20	7	0	0	0
观灵阁近战小怪-中速-中攻速-蝙蝠	8003	1	10	100	0	14	35	2	10004	10000	0	0	0	0	2000	0	1	1	1	0	0	0	0	0	20	7	0	0	0
观灵阁近战小怪-快速-高攻速	8005	1	10	100	0	14	50	2	10001	3334	10001	3333	10001	3333	1000	0	1	1	1	0	0	0	0	0	20	2.5	0	0	0
观灵阁近战小怪-中速-中攻速-小鱼人	8006	1	10	100	0	14	35	2	21070	5000	0	5000	0	0	2000	0	1	1	1	0	0	0	0	0	20	7	0	0	0
观灵阁近战小怪-中速-中攻速-野猪	8007	1	10	100	0	14	35	2	21023	10000	0	0	0	0	4000	0	1	1	1	0	0	0	0	0	20	4	0	0	0
观灵阁近战精英-慢速-低攻速	8100	1	10	100	0	14	20	2	10001	3334	10001	3333	10001	3333	3000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁近战精英-中速-中攻速	8101	1	10	100	0	14	35	2	10001	3334	10001	3333	10001	3333	2000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁近战精英-快速-高攻速	8102	1	10	100	0	14	50	2	10001	3334	10001	3333	10001	3333	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁法系精英-小黑球	8103	1	10	100	0	14	35	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
观灵阁弓手精英-射箭	8104	1	10	100	0	14	35	2	10005	10000	0	0	0	0	2000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
观灵阁法系精英-冰球	8105	1	10	100	0	14	35	2	20008	10000	0	0	0	0	2000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
观灵阁法系精英-火球	8106	1	10	100	0	14	35	2	20013	10000	0	0	0	0	4000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
观灵阁法系精英-剑气	8107	1	10	100	0	14	35	2	20006	10000	0	0	0	0	2000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
观灵阁近战精英-慢速-熊妖	8108	1	10	100	0	14	20	2	10009	3334	10009	3333	10009	3333	3000	0	1	1	1	0	1	0	0	0	20	5	0	0	0
观灵阁近战精英-慢速-血族盾兵	8109	1	10	100	0	14	20	2	10010	3334	10010	3333	10010	3333	3000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁近战精英-快速-狼妖	8110	1	10	100	0	14	50	2	10011	3334	10011	3333	10011	3333	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁近战精英-快速-血族暗刺	8111	1	10	100	0	14	50	2	10012	3334	10012	3333	10012	3333	1000	0	1	1	1	0	1	0	0	0	20	4.5	0	0	0
法系精英-火球	8112	1	10	100	0	14	35	2	20013	10000	0	0	0	0	4000	0	0	0	1	0	1	0	0	0	20	7	0	0	0
自爆型	8113	1	10	20	0	14	35	2	21253	10000	0	0	0	0	2000	0	1	1	1	0	1	0	0	0	20	2	0	0	0
观灵阁近战BOSS-慢速-低攻速-铜血将	8200	1	10	100	0	14	20	2	22056	3334	22056	3333	22056	3333	3000	0	1	1	1	0	2	0	0	0	20	2.5	0	0	0
观灵阁近战BOSS-中速-中攻速	8201	1	10	100	0	14	35	2	10001	3334	10001	3333	10001	3333	2000	0	1	1	1	0	2	0	0	0	20	2.5	0	0	0
观灵阁法系BOSS-小黑球	8202	1	10	100	0	14	35	2	20005	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
观灵阁法系BOSS-冰系魔将	8203	1	10	100	0	14	35	2	20008	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
观灵阁法系BOSS-火系炎魔	8204	1	10	100	0	14	35	2	20009	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
观灵阁法系BOSS-雷系魔将	8205	1	10	100	0	14	35	2	21151	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	7	0	0	0
观灵阁BOSS-火血将	8206	1	10	100	0	14	35	2	25071	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
观灵阁BOSS-魔童	8207	1	10	100	0	14	50	2	22013	5000	220131	5000	0	0	1000	0	1	1	1	0	2	0	0	0	20	9	0	0	0
观灵阁BOSS-腾小明	8208	1	10	100	0	14	35	2	22030	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	6	0	0	0
观灵阁BOSS-血将·圣魔	8209	1	10	100	0	0	0	2	22017	10000	0	0	0	0	3000	0	1	1	1	0	2	0	0	0	20	18	0	0	0
观灵阁BOSS-画翠	8210	1	10	100	0	14	35	2	22038	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	9	0	0	0
观灵阁-血将·海笛	8211	1	10	100	0	14	30	2	22044	10000	0	0	0	0	2000	0	1	1	1	0	3	0	0	0	20	6	0	0	0
观灵阁-刺血将	8212	1	20	100	0	18	50	2	22005	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	4	0	0	0
观灵阁-风魔	8219	1	10	100	0	18	55	2	10027	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	8	0	0	0
观灵阁-剑客	8301	1	10	100	0	14	40	2	41001	3333	41002	3333	41004	3334	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-御灵	8302	1	10	100	0	14	40	2	42001	3333	42002	3333	42004	3334	1000	0	1	1	1	0	1	0	0	0	20	5	0	0	0
观灵阁-刀客	8303	1	10	100	0	14	40	2	43001	3333	43002	3333	43004	3334	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-弓手	8304	1	10	100	0	14	40	2	44001	3333	44002	3333	44004	3334	1000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
观灵阁-剑客-百分比伤害	8311	1	10	100	0	14	40	2	21315	3333	21316	3333	21318	3334	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-御灵-百分比伤害	8312	1	10	100	0	14	40	2	21322	3333	21323	3333	21325	3334	1000	0	1	1	1	0	1	0	0	0	20	5	0	0	0
观灵阁-刀客-百分比伤害	8313	1	10	100	0	14	40	2	21327	3333	21328	3333	21330	3334	1000	0	1	1	1	0	1	0	0	0	20	2.5	0	0	0
观灵阁-弓手-百分比伤害	8314	1	10	100	0	14	40	2	21332	3333	21333	3333	21335	3334	1000	0	1	1	1	0	1	0	0	0	20	7	0	0	0
特殊BOSS玩法-驱散图腾	8401	1	10	20	0	0	0	21	0	0	0	0	0	0	1000	0	0	0	1	0	2	0	0	0	20	0	0	0	0
特殊BOSS玩法-守护法阵	8402	1	10	20	0	0	0	2	0	0	0	0	0	0	1000	0	0	0	1	0	2	0	0	0	20	0	0	0	0
净灵第一章特殊-腾小明	8501	1	10	100	0	14	35	2	25001	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	5	0	0	0
净灵第一章特殊-火灵	8502	1	10	100	0	14	35	2	25021	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
净灵第一章特殊-斩月	8503	1	10	100	0	18	40	2	25031	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	4	0	0	0
净灵第一章特殊-水灵	8504	1	10	100	0	14	35	2	25051	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
净灵第一章特殊-女巫	8505	1	10	100	0	14	35	2	25011	10000	0	0	0	0	2000	0	1	1	1	0	2	0	0	0	20	7	0	0	0
净灵第一章特殊-黑虎	8506	1	10	100	0	14	40	2	25061	3333	25062	3333	25063	3334	1500	0	1	1	1	0	2	0	0	0	20	4.5	0	0	0
净灵第一章特殊-刺客	8507	1	10	100	0	14	40	2	25041	5000	25042	5000	0	0	1500	0	1	1	1	0	2	0	0	0	20	4.5	0	0	0
普通友好NPC	10000	1	10	20	0	14	38	21	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	20	2	0	0	0
普通友好NPC(木桩型)	10001	1	10	20	0	14	0	21	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	20	2	0	0	0
普通敌对NPC	10010	1	10	20	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	20	2	4	0	0
星月阁神兽	11202	1	0	20	0	0	0	2	0	0	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	1.5	0	0	0
三合殿采集书	11401	1	0	0	0	0	0	21	0	0	0	0	0	0	2000	0	0	0	0	0	3	107	3000	0	0	0	0	0	0
领地小怪	21201	1	0	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	1	0	0	0	20	1.5	4	0	0
领地封印小妖	21213	1	5	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	1.5	4	0	0
领地封印妖王	21216	1	5	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	3	4	0	0
领地、帮派封印妖王	21217	1	0	20	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	1	0	3	0	0	0	20	3	4	0	0
夺旗-中立令旗	30101	1	10	10	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0
夺旗-天策令旗	30111	1	10	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0
夺旗-圣王令旗	30121	1	10	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0
夺旗-修罗令旗	30131	1	10	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0
地宫-外殿小怪	304101	1	5	12	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	20	2.5	1	0	0
地宫-外殿精英	304104	1	5	12	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	20	2.5	1	0	0
地宫-大BOSS	304301	1	5	12	0	0	0	2	22017	10000	0	0	0	0	5000	0	0	0	15	0	3	0	0	0	20	18	0	0	0
地宫-小BOSS1	304302	1	5	12	0	14	38	2	22056	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6	0	0	0
地宫-小BOSS2	304303	1	5	12	0	14	38	2	10001	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6.5	0	0	0
地宫-小BOSS3	304304	1	5	12	0	14	38	2	22001	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6	0	0	0
地宫-小BOSS4	304305	1	5	12	0	14	38	2	22064	10000	0	0	0	0	2000	0	0	0	15	0	3	0	0	0	20	6	0	0	0
尊灵宫惨案-士兵	1001001	1	20	20	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	0	0	0	0	20	1.5	0	0	0
尊灵宫惨案-精英	1001005	1	20	20	0	14	38	2	10001	3333	10002	3333	10003	3334	2000	0	0	0	1	0	2	0	0	0	20	2	0	0	0
尊灵宫惨案-神将	1001010	1	20	20	0	14	38	2	10001	5000	10003	5000	0	0	2000	0	0	0	1	0	2	0	0	0	20	2	0	0	0
BOSS-黄金巨龙	2011010	1	6	20	0	0	0	2	20007	10000	0	0	0	0	2000	24	0	0	1	0	2	0	0	0	100	5	0	0	0
BOSS-狼妖	2011020	1	8	20	0	14	38	2	10011	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	5	0	0	0
BOSS-血族盾兵	2011030	1	6	20	0	14	28	2	10010	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-护院头目	2011040	1	6	20	0	14	38	2	10009	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	4.5	0	0	0
BOSS-刺客副首领	2011050	1	6	20	0	14	38	2	10012	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-国子监将领	2021010	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	2.5	0	0	0
BOSS-巫师	2021020	1	6	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	7	0	0	0
BOSS-黑虎	2021030	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-巫马锦川	2021040	1	6	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	7	0	0	0
BOSS-灵教训导	2021050	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-混世魔将	2031010	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-灵教训导	2031020	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-巫马锦川	2031030	1	6	20	0	14	38	2	20005	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	7	0	0	0
BOSS-阵灵	2031040	1	6	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	100	3	0	0	0
BOSS-吱吱	2031050	1	10	20	0	0	0	2	20002	10000	0	0	0	0	2000	24	0	0	1	0	2	0	0	0	30	3.5	0	0	0
BOSS-余嬷嬷	2022010	1	10	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
BOSS-刺手副首领	2023010	1	10	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3	0	0	0
BOSS-封印魔灵	2032010	1	10	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
BOSS-巫马锦川	2033010	1	10	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
BOSS-灵教训导	2034010	1	10	20	0	14	38	2	20001	10000	0	0	0	0	2000	0	0	0	1	0	2	0	0	0	20	3.5	0	0	0
