地图ID	地图类型(PVE为1，PVP为2，3离线竞技场-死了不黑屏）	"扩展功能（0不可用轻功，1是可用轻功，2可以上坐骑，4坐骑可以飞,8有经验衰减，16官员buff不生效，32是否可上交通坐骑,64是否根据固定的阵营关系计算PK关系，128灵兽是否出战，256是否允许队伍操作，512地图是否禁止祝福，1024是可用双人交互动作,2048原地复活是否无敌（可不配，客户端不处理，占用）"	是否为战场	世界地图位置	任务追踪切页类型（1有切页，0无切页）	切页初始页数(1任务、2组队、3玩法)	地图HUD类型;0未初始化状态，1多人和平地图，2多人对战地图，3单人地图，4MOBA地图	地图类型（0和平地图，1PK地图，2活动地图（需要处理强制阵营等），现在只有0有特殊处理，1和2都未处理，但是要配置）	左上角显示按钮规则(就是那三个按钮和灵兽头像的互斥规则了)	副本评分ID	该副本是否刷出篝火（0否，1是）	是否屏蔽自动战斗	"右下角默认显示-位域（单位：0显示技能按钮群,1显示主按钮群；二位：0显示?号，1屏蔽加号）"	进入副本是否默认自动战斗	副本次数限制ID	是否公共地图(1是，0不是)（处理1：若为0则进入打断挖宝状态）	同屏人数少	同屏人数中	同屏人数多	进入副本默认自动战斗延迟	"头顶显示(0不显示任何头衔,1帮派,2情侣,4称号,8阵营职位,16同帮派玩家血条特殊颜色显示)"	助战礼包奖励	助战礼包次数限制	是否为助战地图（0是不可助战地图、1是可助战地图）	血条显示(个位-0不显示，1怪物持续显示，2怪物进战显示；十位-0不显示，1角色持续显示，2角色进战显示)	客户端专用扩展字段（位域：0啥也没有，1显示修炼小提示，2待加……………………）	名字
1031	1	128	0	10	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	国子监
1032	1	128	0	11	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	藏书馆
1033	1	128	0	11	1	1	1	1	1	0	0	0	0	0	0	0	5	10	20	0	15	0	0	0	22	1	尊灵城
1034	1	128	0	11	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	藏经阁
1035	1	128	0	11	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	藏经阁
1041	1	128	0	10	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	西宫
1042	1	128	0	11	1	1	1	1	1	0	0	0	1	0	0	0	5	10	15	0	15	0	0	0	22	1	星月阁
1044	1	128	0	10	1	1	1	1	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	1	锁龙潭
1051	1	128	0	13	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	幻幽林
1052	1	128	0	13	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	绝尘阁
1062	1	128	0	1062	1	1	1	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	夜谷
1063	1	128	0	1062	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	夜谷
1064	1	128	0	1062	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	夜谷
3011	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3012	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3013	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3014	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3015	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3016	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3017	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3018	1	128	0	3011	1	2	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	1	22	0	归墟
3019	1	128	0	3011	0	0	2	2	1	0	1	0	10	1	86	0	5	10	15	2	15	30301110	139	0	22	0	归墟
3101	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3102	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3103	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3104	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3105	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3106	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3107	1	128	0	3101	1	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3108	1	128	0	3101	0	2	2	2	1	0	1	0	10	1	84	0	5	10	15	2	15	30311110	140	1	22	0	[秘境]魔踪
3151	1	0	0	3101	0	0	2	2	1	0	0	0	10	0	84	0	5	10	15	0	15	30311110	140	0	22	0	[破境]星域
3201	1	128	0	3201	1	2	2	2	1	0	0	0	10	1	0	0	5	10	15	2	15	0	0	0	22	0	经验秘室
3202	1	128	0	3201	1	2	2	2	1	0	0	0	10	1	0	0	5	10	15	2	15	0	0	0	22	0	财富秘室
3203	1	128	0	3201	0	0	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	灵元秘室
3204	1	128	0	3201	0	0	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	神识秘室
3301	1	2	0	3301	0	0	1	1	1	0	0	1	10	0	0	0	5	10	15	0	15	0	0	0	22	0	观灵大会迷宫
3401	1	128	0	3401	1	2	2	2	1	3401	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3402	1	128	0	3402	1	2	2	2	1	3402	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3403	1	128	0	3403	1	2	2	2	1	3403	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3404	1	128	0	3404	1	2	2	2	1	3404	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3405	1	128	0	3405	1	2	2	2	1	3405	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3406	1	128	0	3406	1	2	2	2	1	3406	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3407	1	128	0	3407	1	2	2	2	1	3407	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3408	1	128	0	3408	1	2	2	2	1	3408	1	0	0	1	85	0	5	10	15	2	15	30341110	141	1	22	0	九层妖塔
3501	1	128	0	3501	1	2	2	2	1	0	0	0	10	1	0	0	5	10	15	2	15	0	0	0	22	0	世界材料
3601	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3602	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3603	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3604	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3605	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3606	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3607	1	128	0	3601	1	2	2	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	渡劫
3901	1	1026	0	10	0	0	1	1	1	0	0	0	0	0	0	0	5	15	25	0	15	0	0	0	22	0	礼堂
3910	1	1	0	10	0	0	1	1	1	0	0	1	10	0	0	0	5	15	25	0	15	0	0	0	22	0	双修
3911	1	0	0	10	0	0	1	1	1	0	0	1	10	0	0	0	5	15	25	0	15	0	0	0	22	0	双修
3920	1	0	0	10	0	0	1	1	1	0	0	0	10	1	0	0	5	15	25	0	15	0	0	0	22	0	醒狮
4100	2	16	1	4100	0	0	4	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	[战场]星空古道
4101	2	16	1	4100	0	0	4	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	[战场]星空古道
4102	2	16	1	4100	0	0	4	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	[战场]熔岩遗址
4103	2	16	1	4100	0	0	4	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	[战场]夜幕古迹
4104	2	16	1	4100	0	0	4	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	[战场]死斗场
4200	2	16	0	4100	0	0	4	2	1	0	0	0	10	0	0	0	5	10	15	0	0	0	0	0	12	0	夺宝奇兵
4201	2	16	0	4100	0	0	4	2	1	0	0	0	10	1	0	0	5	10	15	5	0	0	0	0	12	0	夺宝奇兵
4203	2	16	0	4100	0	0	4	2	1	0	0	0	10	0	0	0	5	10	15	0	0	0	0	0	12	0	夺宝奇兵
4301	2	144	0	4301	0	0	2	2	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	绝尘阁
4302	3	144	0	4302	0	0	2	2	0	0	0	0	10	1	0	0	5	10	15	5	15	0	0	0	12	0	离线竞技场
4303	2	146	0	4301	0	0	1	1	0	0	0	0	1	0	0	0	5	15	25	0	15	0	0	0	12	0	武试准备场
4401	2	2	0	10	6	3	2	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	11	0	[争夺]盟主战
4402	2	2	0	10	7	3	2	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	11	0	[争夺]攻城战
4501	2	80	0	10	10	3	2	2	1	0	0	0	0	0	0	0	5	10	15	0	25	0	0	0	12	0	神魔古墓
5011	1	0	0	10	1	1	1	2	1	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	0	误闯魔境
6001	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	20	0	15	0	0	0	22	1	尊灵城
6002	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	大闹士林宴
6003	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	神国七律
6005	1	128	0	10	0	0	1	1	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	1	天海袭来
6007	1	128	0	10	0	0	1	1	0	0	0	0	1	1	0	0	5	15	25	2	15	0	0	0	22	1	三合殿
6008	1	128	0	10	0	0	1	1	0	0	0	0	1	1	0	0	5	15	25	2	15	0	0	0	22	1	三合殿
6009	1	128	0	10	0	0	1	1	0	0	0	0	10	1	0	0	5	10	15	2	15	0	0	0	22	1	龙潭
6010	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	第一战
6011	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	笨拙向前
6012	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	百剑生
6013	1	128	0	10	1	1	3	1	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	1	陨石的结界
6014	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	迷幻森林
6015	1	128	0	10	0	0	1	1	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	1	血族夺宝
6016	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	保镖来袭
6017	1	128	0	10	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	位置之争
6018	1	128	0	10	0	0	3	1	0	0	0	0	10	0	0	0	5	10	15	2	15	0	0	0	22	1	陨石的结界
6019	1	128	0	10	0	0	3	1	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	1	陨石的结界
6020	1	128	0	10	1	1	1	1	0	0	0	0	10	0	0	0	5	10	15	0	15	0	0	0	22	1	巾帼奇女子
6021	1	129	0	10	0	0	3	1	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	1	金龙
6022	1	129	0	10	0	0	3	1	0	0	0	0	10	1	0	0	5	10	15	5	15	0	0	0	22	1	桃源秘境
6101	1	128	0	14	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	发病
6102	1	128	0	14	0	0	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	下山
6103	1	128	0	10	1	1	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	国子监
6104	1	128	0	10	1	1	3	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	星月阁·夜晚
6105	1	128	0	10	0	0	1	1	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	1	教院血案
6106	1	128	0	10	1	1	1	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	禁宫迷阵
6107	1	131	0	10	1	1	3	1	0	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	1	星月阁·夜晚
7001	2	1026	0	7001	1	1	2	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	12	0	教院驻地
7002	1	0	0	7001	0	0	2	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	扰乱的流氓
7003	1	128	0	7001	0	0	2	1	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	切磋之战
7010	1	130	0	7001	0	0	2	2	1	0	0	0	0	0	0	0	5	10	15	0	15	0	0	0	22	0	[帮派]宝库
7100	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-筑基境
7101	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-金丹境
7102	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-元婴境
7103	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-化神境
7104	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-合体境
7105	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-大乘境
7106	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-渡劫境
7107	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-大罗境
7108	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	剑池-入灭境
7110	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-筑基境
7111	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-金丹境
7112	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-元婴境
7113	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-化神境
7114	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-合体境
7115	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-大乘境
7116	2	2	0	7110	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	巨兽-渡劫境
7200	2	2	0	7100	1	1	2	1	1	0	0	0	0	0	0	1	5	10	15	0	15	0	0	0	12	0	仙踪剑池
8001	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑一
8002	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑二
8003	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑三
8004	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑四
8005	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑五
8006	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑六
8007	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑七
8008	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑八
8009	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑九
8010	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	赤日碑十
8011	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑一
8012	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑二
8013	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑三
8014	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑四
8015	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑五
8016	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑六
8017	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑七
8018	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑八
8019	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑九
8020	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	卷云碑十
8021	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑一
8022	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑二
8023	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑三
8024	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑四
8025	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑五
8026	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑六
8027	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑七
8028	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑八
8029	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑九
8030	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	南枝碑十
8031	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑一
8032	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑二
8033	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑三
8034	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑四
8035	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑五
8036	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑六
8037	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑七
8038	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑八
8039	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑九
8040	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	2	15	0	0	0	22	0	跃林碑十
8041	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑一
8042	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑二
8043	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑三
8044	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑四
8045	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑五
8046	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑六
8047	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑七
8048	1	128	0	8001	0	0	3	2	0	0	0	0	0	1	0	0	5	10	15	0	15	0	0	0	22	0	闻言碑八
