任务环ID	任务环副键（表示第几环）	有效标志位	状态限制ID	任务类型（0单个任务，1池任务）	任务类型参数（任务ID，池iD）	奖励ID	次数限制	是否自动下发下一环	额外奖励ID	自动完成消耗	环任务名字	点击组队时触发的函数
5250	2	1	10525001	0	5253	10525301	49	1	0	0	伏魔任务	LogicScriptManager.TriggerScript(525001)
5250	3	1	10525001	0	5254	10525401	49	1	0	0	伏魔任务	LogicScriptManager.TriggerScript(525001)
5250	4	1	10525001	0	5255	10525501	49	0	10525002	0	伏魔任务	LogicScriptManager.TriggerScript(525001)
5600	0	1	10560001	0	5601	10560001	52	1	0	0	人参果任务	0
5600	1	1	10560001	0	5602	10560001	52	1	0	0	人参果任务	0
5600	2	1	10560001	0	5603	10560001	52	1	0	0	人参果任务	0
5600	3	1	10560001	0	5604	10560001	52	1	0	0	人参果任务	0
5600	4	1	10560001	0	5605	10560002	52	0	0	0	人参果任务	0
5507	0	1	10550701	1	5582	0	48	1	0	0	出国任务	0
5507	1	1	10550701	1	5581	0	48	1	0	0	出国任务	0
5507	2	1	10550701	1	5583	0	48	0	0	0	出国任务	0
5508	0	1	10550701	1	5585	0	53	1	0	0	出国任务	0
5508	1	1	10550701	1	5584	0	53	1	0	0	出国任务	0
5508	2	1	10550701	1	5586	0	53	0	0	0	出国任务	0
5901	0	1	10590001	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5902	0	1	10590101	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5903	0	1	10590201	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5904	0	1	10590301	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5905	0	1	10590401	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5906	0	1	10590501	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5907	0	1	10590601	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5908	0	1	10590701	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5909	0	1	10590801	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5910	0	1	10590901	1	5961	10500201	0	0	0	0	帮派-打探情报	0
5911	0	1	10591001	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5912	0	1	10591101	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5913	0	1	10591201	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5914	0	1	10591301	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5915	0	1	10591401	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5916	0	1	10591501	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5917	0	1	10591601	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5918	0	1	10591701	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5919	0	1	10591801	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5920	0	1	10591901	1	5962	10500202	0	0	0	0	帮派-清除野怪	0
5921	0	1	10592001	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5922	0	1	10592101	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5923	0	1	10592201	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5924	0	1	10592301	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5925	0	1	10592401	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5926	0	1	10592501	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5927	0	1	10592601	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5928	0	1	10592701	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5929	0	1	10592801	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5930	0	1	10592901	1	5583	10500203	0	0	0	0	帮派-收集材料	0
5931	0	1	10593101	1	5964	10500204	0	0	0	0	帮派-兽材提交	0
5932	0	1	10593201	1	5964	10500204	0	0	0	0	帮派-兽材提交	0
5933	0	1	10593301	1	5964	10500204	0	0	0	0	帮派-兽材提交	0
5934	0	1	10593401	1	5964	10500204	0	0	0	0	帮派-兽材提交	0
5941	0	1	10594101	1	5965	10500205	0	0	0	0	帮派-天材地宝	0
5942	0	1	10594201	1	5965	10500205	0	0	0	0	帮派-天材地宝	0
5943	0	1	10594301	1	5965	10500205	0	0	0	0	帮派-天材地宝	0
5944	0	1	10594401	1	5965	10500205	0	0	0	0	帮派-天材地宝	0
