备注	BUFF的ID(ID规则：弹道ID+2位流水号；如果是场景系统等没相关弹道的buff地图ID+2流水号，任务相关1000-1999)	一级分类（只在免疫、叠加计算使用了，其他时候都没用了，1属性改变，2生命恢复，4治疗加成，8无敌，16变身，32特殊，64减速、128沉默、256变羊、512定身、1024眩晕、2048昏睡、4096击退）	二级分类（如果两个buff一级分类相同，但是需要区分为不同类的buff，则使用二级分类）	BUFF类型（1、buff|2、debuff|3、场景buff(3类型buff，先不要用，应该无效））	BUFF等级（副主键，buff等级）	优先级（buff的优先级，优先级低的同类型buff会被高优先级替换）	叠加上限（buff的最大叠加层数，最大99）	触发方式（1时间触发(一般用在dot和hot等有触发间隔的)，2获得触发（关联属性计算改变），3被击触发，4攻击触发，5被击触发另外BUFF，6攻击触发另外BUFF，7移动触发）	CD类型ID（加上BUFF时检测的CD，仅是BUFF的CD，与技能无关）	CD时间(毫秒，具体的CD时间)	时间持续类型（1、墙上时间|2、在线时间|3、永久(NPC出生自带BUFF需要配成永久的)|4、时间叠加类buff墙上时间|5、时间叠加类buff在线时间|6、在某个时间前一直存在）	删除方式（0、不可删除|1、时间到删除|2、死亡删除|4、可以驱散删除|8、跳地图删除|16、使用技能删除|32、跳副本删除|64、被击删除|128、主动攻击删除|256、移动删除）	被击删除次数（被击删除时，才有效）	效果个数（效果个数，需要与后面的个数保持一致|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	持续时间1（此效果的存在时间，单位毫秒，与buff时间一样则填写-1，如果时间比buff时间短，则此效果要填在后面）	触发间隔1（此效果的触发间隔，单位毫秒，加BUFF瞬间就生效则填写0(之后不再重复生效)，伤害类的DOT一定要填生效间隔的；当一级分类里为位移型hpdot（4194305），则触发间隔为移动距离）	生效条件1（关联至condition（跟程序确认一下））	关联效果id1（关联至skill_effect_cfg中的ID）	百分比参数1（关联的百分比）	数值参数1（关联的数值|当debuff类型为“受伤转化为施术者回血”时，占用第一个效果的“数值参数”填写转化百分比）	暴击率1（效果的单独暴击率）	暴击系数1（效果的单独暴击系数）	持续时间2	触发间隔2	生效条件2	关联效果id2	百分比参数2	数值参数2	暴击率2	暴击系数2	持续时间3	触发间隔3	生效条件3	关联效果id3	百分比参数3	数值参数3	暴击率3	暴击系数3	持续时间4	触发间隔4	生效条件4	关联效果id4	百分比参数4	数值参数4	暴击率4	暴击系数4	客户端表现ID	BUFF广播级别(0不广播，1广播)	BUFF的状态限制ID(关联状态限制表)
击退免疫	10	32	4006	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
免疫所有	11	32	4007	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
免疫指定	12	32	4008	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
减速免疫	13	32	4009	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	4009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：无敌	14	32	9006	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：隐身	15	32	9007	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：薄葬	16	32	9008	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：伤害加深	17	32	9009	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9009	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：无敌保护	18	32	9010	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：吸血	19	32	9011	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9011	50	100	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：反弹	20	32	9012	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9012	100	5000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：治疗缩放	21	32	9013	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：霸体	22	32	9014	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：伤害吸收盾	23	32	9015	1	1	1	1	2	0	0	2	13	0	1	-1	0	0	9015	40	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：变身测试	100	16	100	1	1	1	1	2	0	0	2	1	0	1	-1	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
特殊：NPC回位buff（加速和无敌）	101	9	101	1	1	1	1	2	0	0	1	2	0	2	-1	0	0	2007	100	0	0	0	-1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
称号：首榜首名	1001	32	1001	1	1	1	1	2	0	0	1	1	0	1	-1	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
称号：新人王	1002	32	1002	1	1	1	1	2	0	0	1	1	0	1	-1	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
称号：猎魂使	1003	32	1003	1	1	1	1	2	0	0	1	1	0	1	-1	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
称号：天之骄子	1004	32	1004	1	1	1	1	2	0	0	1	1	0	1	-1	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
称号：星空宠儿	1005	32	1005	1	1	1	1	2	0	0	1	1	0	1	-1	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
帮派任务：变身镖车（只客户端表现）	1010	16	1010	1	1	1	1	2	0	0	2	41	0	1	-1	0	0	2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
帮派任务：删除镖车变身	1011	16	1010	1	1	10	1	2	0	0	2	1	0	1	-1	0	0	2007	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
剧情副本-巾帼奇女子:变身buff	1012	16	1012	1	1	1	1	2	0	0	2	41	0	1	-1	0	0	6009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
剧情副本-巾帼奇女子:删除变身buff	1013	16	1013	1	1	1	1	2	0	0	2	1	0	1	-1	0	0	7004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
临时增加解决服务器崩溃问题	1014	16	1013	1	1	1	1	2	0	0	2	1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
原地复活无敌BUFF	1015	32	1015	1	1	1	1	2	0	0	2	441	0	1	-1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
吃鸡复活无敌buff，主动攻击删除	1016	32	1015	1	1	1	1	2	0	0	2	171	0	1	-1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
国王加成	1020	32	1020	1	1	10	1	2	0	0	1	40	0	4	-1	0	0	3001	16	0	0	0	-1	0	0	3002	16	0	0	0	-1	0	0	3003	16	0	0	0	-1	0	0	3004	16	0	0	0	0	1	0
官员加成	1021	32	1021	1	1	9	1	2	0	0	1	40	0	4	-1	0	0	3001	12	0	0	0	-1	0	0	3002	12	0	0	0	-1	0	0	3003	12	0	0	0	-1	0	0	3004	12	0	0	0	0	1	0
小官加成	1022	32	1022	1	1	8	1	2	0	0	1	40	0	4	-1	0	0	3001	8	0	0	0	-1	0	0	3002	8	0	0	0	-1	0	0	3003	8	0	0	0	-1	0	0	3004	8	0	0	0	0	1	0
卫队加成	1023	32	1023	1	1	7	1	2	0	0	1	40	0	4	-1	0	0	3001	4	0	0	0	-1	0	0	3002	4	0	0	0	-1	0	0	3003	4	0	0	0	-1	0	0	3004	4	0	0	0	0	1	0
长生碑天地异变压制BUFF-4%压制	1030	1	1030	2	1	1	1	2	0	0	2	40	0	2	-1	0	0	3013	-4	0	0	0	-1	0	0	3014	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-8%压制	1031	1	1030	2	1	2	1	2	0	0	2	40	0	2	-1	0	0	3013	-8	0	0	0	-1	0	0	3014	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-12%压制	1032	1	1030	2	1	3	1	2	0	0	2	40	0	2	-1	0	0	3013	-12	0	0	0	-1	0	0	3014	-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-16%压制	1033	1	1030	2	1	4	1	2	0	0	2	40	0	2	-1	0	0	3013	-16	0	0	0	-1	0	0	3014	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-20%压制	1034	1	1030	2	1	5	1	2	0	0	2	40	0	2	-1	0	0	3013	-20	0	0	0	-1	0	0	3014	-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-24%压制	1035	1	1030	2	1	6	1	2	0	0	2	40	0	2	-1	0	0	3013	-24	0	0	0	-1	0	0	3014	-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-28%压制	1036	1	1030	2	1	7	1	2	0	0	2	40	0	2	-1	0	0	3013	-28	0	0	0	-1	0	0	3014	-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-32%压制	1037	1	1030	2	1	8	1	2	0	0	2	40	0	2	-1	0	0	3013	-32	0	0	0	-1	0	0	3014	-32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-36%压制	1038	1	1030	2	1	9	1	2	0	0	2	40	0	3	-1	0	0	3013	-36	0	0	0	-1	0	0	3014	-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-40%压制	1039	1	1030	2	1	10	1	2	0	0	2	40	0	3	-1	0	0	3013	-40	0	0	0	-1	0	0	3014	-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-44%压制	1040	1	1030	2	1	11	1	2	0	0	2	40	0	3	-1	0	0	3013	-44	0	0	0	-1	0	0	3014	-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-48%压制	1041	1	1030	2	1	12	1	2	0	0	2	40	0	3	-1	0	0	3013	-48	0	0	0	-1	0	0	3014	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-52%压制	1042	1	1030	2	1	13	1	2	0	0	2	40	0	3	-1	0	0	3013	-52	0	0	0	-1	0	0	3014	-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-56%压制	1043	1	1030	2	1	14	1	2	0	0	2	40	0	3	-1	0	0	3013	-56	0	0	0	-1	0	0	3014	-56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-60%压制	1044	1	1030	2	1	15	1	2	0	0	2	40	0	3	-1	0	0	3013	-60	0	0	0	-1	0	0	3014	-60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-64%压制	1045	1	1030	2	1	16	1	2	0	0	2	40	0	3	-1	0	0	3013	-64	0	0	0	-1	0	0	3014	-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-68%压制	1046	1	1030	2	1	17	1	2	0	0	2	40	0	3	-1	0	0	3013	-68	0	0	0	-1	0	0	3014	-68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-72%压制	1047	1	1030	2	1	18	1	2	0	0	2	40	0	3	-1	0	0	3013	-72	0	0	0	-1	0	0	3014	-72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-76%压制	1048	1	1030	2	1	19	1	2	0	0	2	40	0	3	-1	0	0	3013	-76	0	0	0	-1	0	0	3014	-76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF-80%压制	1049	1	1030	2	1	20	1	2	0	0	2	40	0	3	-1	0	0	3013	-80	0	0	0	-1	0	0	3014	-80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
天地异变后进补助-客户端表现专用，服务器加成配置在修为表和属性表里	1050	1	1050	1	1	1	1	2	0	0	2	40	0	2	-1	0	0	3013	0	0	0	0	-1	0	0	3014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变后进20%角色增强	1051	1	1051	1	1	1	1	2	0	0	2	40	0	2	-1	0	0	3013	7	0	0	0	-1	0	0	3014	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变后进30%角色增强	1052	1	1052	1	1	1	1	2	0	0	2	40	0	2	-1	0	0	3013	14	0	0	0	-1	0	0	3014	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变后进50%角色增强	1053	1	1053	1	1	1	1	2	0	0	2	40	0	2	-1	0	0	3013	21	0	0	0	-1	0	0	3014	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
转生副本后进BUFF-50%伤害减免	1060	1	1060	1	1	1	1	2	0	0	2	40	0	1	-1	0	0	3011	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
转生副本后进怪物难度下降BUFF-血量下降75%+攻击下降50%	1061	1	1061	2	1	1	1	2	0	0	2	40	0	2	-1	0	0	3016	-75	0	0	0	-1	0	0	3001	-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF5%增强	1070	1	1070	1	1	1	1	2	0	0	2	40	0	3	-1	0	0	3013	5	0	0	0	-1	0	0	3014	5	0	0	0	-1	0	0	3016	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF10%增强	1071	1	1070	1	1	2	1	2	0	0	2	40	0	3	-1	0	0	3013	10	0	0	0	-1	0	0	3014	10	0	0	0	-1	0	0	3016	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF15%增强	1072	1	1070	1	1	3	1	2	0	0	2	40	0	3	-1	0	0	3013	15	0	0	0	-1	0	0	3014	15	0	0	0	-1	0	0	3016	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF20%增强	1073	1	1070	1	1	4	1	2	0	0	2	40	0	3	-1	0	0	3013	20	0	0	0	-1	0	0	3014	20	0	0	0	-1	0	0	3016	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF25%增强	1074	1	1070	1	1	5	1	2	0	0	2	40	0	3	-1	0	0	3013	25	0	0	0	-1	0	0	3014	25	0	0	0	-1	0	0	3016	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF35%增强	1075	1	1070	1	1	6	1	2	0	0	2	40	0	3	-1	0	0	3013	35	0	0	0	-1	0	0	3014	35	0	0	0	-1	0	0	3016	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF45%增强	1076	1	1070	1	1	7	1	2	0	0	2	40	0	3	-1	0	0	3013	45	0	0	0	-1	0	0	3014	45	0	0	0	-1	0	0	3016	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF55%增强	1077	1	1070	1	1	8	1	2	0	0	2	40	0	3	-1	0	0	3013	55	0	0	0	-1	0	0	3014	55	0	0	0	-1	0	0	3016	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF65%增强	1078	1	1070	1	1	9	1	2	0	0	2	40	0	3	-1	0	0	3013	65	0	0	0	-1	0	0	3014	65	0	0	0	-1	0	0	3016	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF75%增强	1079	1	1070	1	1	10	1	2	0	0	2	40	0	3	-1	0	0	3013	75	0	0	0	-1	0	0	3014	75	0	0	0	-1	0	0	3016	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF90%增强	1080	1	1070	1	1	11	1	2	0	0	2	40	0	3	-1	0	0	3013	90	0	0	0	-1	0	0	3014	90	0	0	0	-1	0	0	3016	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF105%增强	1081	1	1070	1	1	12	1	2	0	0	2	40	0	3	-1	0	0	3013	105	0	0	0	-1	0	0	3014	105	0	0	0	-1	0	0	3016	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF120%增强	1082	1	1070	1	1	13	1	2	0	0	2	40	0	3	-1	0	0	3013	120	0	0	0	-1	0	0	3014	120	0	0	0	-1	0	0	3016	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF135%增强	1083	1	1070	1	1	14	1	2	0	0	2	40	0	3	-1	0	0	3013	135	0	0	0	-1	0	0	3014	135	0	0	0	-1	0	0	3016	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF150%增强	1084	1	1070	1	1	15	1	2	0	0	2	40	0	3	-1	0	0	3013	150	0	0	0	-1	0	0	3014	150	0	0	0	-1	0	0	3016	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF170%增强	1085	1	1070	1	1	16	1	2	0	0	2	40	0	3	-1	0	0	3013	170	0	0	0	-1	0	0	3014	170	0	0	0	-1	0	0	3016	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF190%增强	1086	1	1070	1	1	17	1	2	0	0	2	40	0	3	-1	0	0	3013	190	0	0	0	-1	0	0	3014	190	0	0	0	-1	0	0	3016	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF210%增强	1087	1	1070	1	1	18	1	2	0	0	2	40	0	3	-1	0	0	3013	210	0	0	0	-1	0	0	3014	210	0	0	0	-1	0	0	3016	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF230%增强	1088	1	1070	1	1	19	1	2	0	0	2	40	0	3	-1	0	0	3013	230	0	0	0	-1	0	0	3014	230	0	0	0	-1	0	0	3016	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
长生碑天地异变压制BUFF250%增强	1089	1	1070	1	1	20	1	2	0	0	2	40	0	3	-1	0	0	3013	250	0	0	0	-1	0	0	3014	250	0	0	0	-1	0	0	3016	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
经验BUFF-1	1101	32	1101	1	1	1	99	1	0	0	5	1	0	1	-1	5000	0	9081	0	10560009	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0
经验BUFF-2	1102	32	1102	1	1	1	99	1	0	0	5	1	0	1	-1	5000	0	9081	0	10560009	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0
经验BUFF-3	1103	32	1103	1	1	1	99	1	0	0	5	1	0	1	-1	5000	0	9081	0	10560009	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0
经验BUFF-4	1104	32	1104	1	1	1	99	1	0	0	5	1	0	1	-1	5000	0	9081	0	10560009	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0
