资质ID	有效标志位	满时不降几率（单条，2条时，为该几率的一半）	区间1下限	区间1上限	区间1几率	区间1付费几率	步数	区间2下限	区间2上限	区间2几率	区间2付费几率	步数	区间3下限	区间3上限	区间3几率	区间3付费几率	步数	区间4下限	区间4上限	区间4几率	区间4付费几率	步数	区间5下限	区间5上限	区间5几率	区间5付费几率	步数	区间6下限	区间6上限	区间6几率	区间6付费几率	步数	区间7下限	区间7上限	区间7几率	区间7付费几率	步数	区间8下限	区间8上限	区间8几率	区间8付费几率	步数	区间9下限	区间9上限	区间9几率	区间9付费几率	步数	区间10下限	区间10上限	区间10几率	区间10付费几率	步数
100041	1	10000	550	550	0	0	1	550	550	0	0	1	550	550	0	0	1	550	550	0	0	3	550	550	10000	10000	4	550	550	0	0	6	550	550	0	0	6	550	550	0	0	8	550	550	0	0	8	550	550	0	0	10
100042	1	10000	673	673	0	0	1	673	673	0	0	1	673	673	0	0	1	673	673	0	0	3	673	673	10000	10000	4	673	673	0	0	6	673	673	0	0	6	673	673	0	0	8	673	673	0	0	8	673	673	0	0	10
100043	1	10000	550	550	0	0	1	550	550	0	0	1	550	550	0	0	1	550	550	0	0	3	550	550	10000	10000	4	550	550	0	0	6	550	550	0	0	6	550	550	0	0	8	550	550	0	0	8	550	550	0	0	10
200011	1	10000	916	916	0	0	1	916	916	0	0	1	916	916	0	0	1	916	916	0	0	3	916	916	10000	10000	4	916	916	0	0	6	916	916	0	0	6	916	916	0	0	8	916	916	0	0	8	916	916	0	0	10
200012	1	10000	841	841	0	0	1	841	841	0	0	1	841	841	0	0	1	841	841	0	0	3	841	841	10000	10000	4	841	841	0	0	6	841	841	0	0	6	841	841	0	0	8	841	841	0	0	8	841	841	0	0	10
200013	1	10000	807	807	0	0	1	807	807	0	0	1	807	807	0	0	1	807	807	0	0	3	807	807	10000	10000	4	807	807	0	0	6	807	807	0	0	6	807	807	0	0	8	807	807	0	0	8	807	807	0	0	10
200021	1	10000	935	935	0	0	1	935	935	0	0	1	935	935	0	0	1	935	935	0	0	3	935	935	10000	10000	4	935	935	0	0	6	935	935	0	0	6	935	935	0	0	8	935	935	0	0	8	935	935	0	0	10
200022	1	10000	765	765	0	0	1	765	765	0	0	1	765	765	0	0	1	765	765	0	0	3	765	765	10000	10000	4	765	765	0	0	6	765	765	0	0	6	765	765	0	0	8	765	765	0	0	8	765	765	0	0	10
200023	1	10000	850	850	0	0	1	850	850	0	0	1	850	850	0	0	1	850	850	0	0	3	850	850	10000	10000	4	850	850	0	0	6	850	850	0	0	6	850	850	0	0	8	850	850	0	0	8	850	850	0	0	10
200031	1	10000	765	765	0	0	1	765	765	0	0	1	765	765	0	0	1	765	765	0	0	3	765	765	10000	10000	4	765	765	0	0	6	765	765	0	0	6	765	765	0	0	8	765	765	0	0	8	765	765	0	0	10
200032	1	10000	935	935	0	0	1	935	935	0	0	1	935	935	0	0	1	935	935	0	0	3	935	935	10000	10000	4	935	935	0	0	6	935	935	0	0	6	935	935	0	0	8	935	935	0	0	8	935	935	0	0	10
200033	1	10000	765	765	0	0	1	765	765	0	0	1	765	765	0	0	1	765	765	0	0	3	765	765	10000	10000	4	765	765	0	0	6	765	765	0	0	6	765	765	0	0	8	765	765	0	0	8	765	765	0	0	10
200041	1	10000	841	841	0	0	1	841	841	0	0	1	841	841	0	0	1	841	841	0	0	3	841	841	10000	10000	4	841	841	0	0	6	841	841	0	0	6	841	841	0	0	8	841	841	0	0	8	841	841	0	0	10
200042	1	10000	935	935	0	0	1	935	935	0	0	1	935	935	0	0	1	935	935	0	0	3	935	935	10000	10000	4	935	935	0	0	6	935	935	0	0	6	935	935	0	0	8	935	935	0	0	8	935	935	0	0	10
200043	1	10000	688	688	0	0	1	688	688	0	0	1	688	688	0	0	1	688	688	0	0	3	688	688	10000	10000	4	688	688	0	0	6	688	688	0	0	6	688	688	0	0	8	688	688	0	0	8	688	688	0	0	10
200051	1	10000	850	850	0	0	1	850	850	0	0	1	850	850	0	0	1	850	850	0	0	3	850	850	10000	10000	4	850	850	0	0	6	850	850	0	0	6	850	850	0	0	8	850	850	0	0	8	850	850	0	0	10
200052	1	10000	850	850	0	0	1	850	850	0	0	1	850	850	0	0	1	850	850	0	0	3	850	850	10000	10000	4	850	850	0	0	6	850	850	0	0	6	850	850	0	0	8	850	850	0	0	8	850	850	0	0	10
200053	1	10000	935	935	0	0	1	935	935	0	0	1	935	935	0	0	1	935	935	0	0	3	935	935	10000	10000	4	935	935	0	0	6	935	935	0	0	6	935	935	0	0	8	935	935	0	0	8	935	935	0	0	10
300011	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
300012	1	10000	900	900	0	0	1	900	900	0	0	1	900	900	0	0	1	900	900	0	0	3	900	900	10000	10000	4	900	900	0	0	6	900	900	0	0	6	900	900	0	0	8	900	900	0	0	8	900	900	0	0	10
300013	1	10000	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	3	1000	1000	10000	10000	4	1000	1000	0	0	6	1000	1000	0	0	6	1000	1000	0	0	8	1000	1000	0	0	8	1000	1000	0	0	10
300021	1	10000	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	3	1155	1155	10000	10000	4	1155	1155	0	0	6	1155	1155	0	0	6	1155	1155	0	0	8	1155	1155	0	0	8	1155	1155	0	0	10
300022	1	10000	882	882	0	0	1	882	882	0	0	1	882	882	0	0	1	882	882	0	0	3	882	882	10000	10000	4	882	882	0	0	6	882	882	0	0	6	882	882	0	0	8	882	882	0	0	8	882	882	0	0	10
300023	1	10000	980	980	0	0	1	980	980	0	0	1	980	980	0	0	1	980	980	0	0	3	980	980	10000	10000	4	980	980	0	0	6	980	980	0	0	6	980	980	0	0	8	980	980	0	0	8	980	980	0	0	10
300031	1	10000	1133	1133	0	0	1	1133	1133	0	0	1	1133	1133	0	0	1	1133	1133	0	0	3	1133	1133	10000	10000	4	1133	1133	0	0	6	1133	1133	0	0	6	1133	1133	0	0	8	1133	1133	0	0	8	1133	1133	0	0	10
300032	1	10000	945	945	0	0	1	945	945	0	0	1	945	945	0	0	1	945	945	0	0	3	945	945	10000	10000	4	945	945	0	0	6	945	945	0	0	6	945	945	0	0	8	945	945	0	0	8	945	945	0	0	10
300033	1	10000	900	900	0	0	1	900	900	0	0	1	900	900	0	0	1	900	900	0	0	3	900	900	10000	10000	4	900	900	0	0	6	900	900	0	0	6	900	900	0	0	8	900	900	0	0	8	900	900	0	0	10
300041	1	10000	846	846	0	0	1	846	846	0	0	1	846	846	0	0	1	846	846	0	0	3	846	846	10000	10000	4	846	846	0	0	6	846	846	0	0	6	846	846	0	0	8	846	846	0	0	8	846	846	0	0	10
300042	1	10000	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	3	1155	1155	10000	10000	4	1155	1155	0	0	6	1155	1155	0	0	6	1155	1155	0	0	8	1155	1155	0	0	8	1155	1155	0	0	10
300043	1	10000	945	945	0	0	1	945	945	0	0	1	945	945	0	0	1	945	945	0	0	3	945	945	10000	10000	4	945	945	0	0	6	945	945	0	0	6	945	945	0	0	8	945	945	0	0	8	945	945	0	0	10
300051	1	10000	945	945	0	0	1	945	945	0	0	1	945	945	0	0	1	945	945	0	0	3	945	945	10000	10000	4	945	945	0	0	6	945	945	0	0	6	945	945	0	0	8	945	945	0	0	8	945	945	0	0	10
300052	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
300053	1	10000	855	855	0	0	1	855	855	0	0	1	855	855	0	0	1	855	855	0	0	3	855	855	10000	10000	4	855	855	0	0	6	855	855	0	0	6	855	855	0	0	8	855	855	0	0	8	855	855	0	0	10
300061	1	10000	900	900	0	0	1	900	900	0	0	1	900	900	0	0	1	900	900	0	0	3	900	900	10000	10000	4	900	900	0	0	6	900	900	0	0	6	900	900	0	0	8	900	900	0	0	8	900	900	0	0	10
300062	1	10000	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	3	1155	1155	10000	10000	4	1155	1155	0	0	6	1155	1155	0	0	6	1155	1155	0	0	8	1155	1155	0	0	8	1155	1155	0	0	10
300063	1	10000	855	855	0	0	1	855	855	0	0	1	855	855	0	0	1	855	855	0	0	3	855	855	10000	10000	4	855	855	0	0	6	855	855	0	0	6	855	855	0	0	8	855	855	0	0	8	855	855	0	0	10
300071	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
300072	1	10000	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	3	1000	1000	10000	10000	4	1000	1000	0	0	6	1000	1000	0	0	6	1000	1000	0	0	8	1000	1000	0	0	8	1000	1000	0	0	10
300073	1	10000	990	990	0	0	1	990	990	0	0	1	990	990	0	0	1	990	990	0	0	3	990	990	10000	10000	4	990	990	0	0	6	990	990	0	0	6	990	990	0	0	8	990	990	0	0	8	990	990	0	0	10
300081	1	10000	950	950	0	0	1	950	950	0	0	1	950	950	0	0	1	950	950	0	0	3	950	950	10000	10000	4	950	950	0	0	6	950	950	0	0	6	950	950	0	0	8	950	950	0	0	8	950	950	0	0	10
300082	1	10000	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	1	1000	1000	0	0	3	1000	1000	10000	10000	4	1000	1000	0	0	6	1000	1000	0	0	6	1000	1000	0	0	8	1000	1000	0	0	8	1000	1000	0	0	10
300083	1	10000	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	1	1155	1155	0	0	3	1155	1155	10000	10000	4	1155	1155	0	0	6	1155	1155	0	0	6	1155	1155	0	0	8	1155	1155	0	0	8	1155	1155	0	0	10
300091	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
300092	1	10000	900	900	0	0	1	900	900	0	0	1	900	900	0	0	1	900	900	0	0	3	900	900	10000	10000	4	900	900	0	0	6	900	900	0	0	6	900	900	0	0	8	900	900	0	0	8	900	900	0	0	10
300093	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
300101	1	10000	950	950	0	0	1	950	950	0	0	1	950	950	0	0	1	950	950	0	0	3	950	950	10000	10000	4	950	950	0	0	6	950	950	0	0	6	950	950	0	0	8	950	950	0	0	8	950	950	0	0	10
300102	1	10000	950	950	0	0	1	950	950	0	0	1	950	950	0	0	1	950	950	0	0	3	950	950	10000	10000	4	950	950	0	0	6	950	950	0	0	6	950	950	0	0	8	950	950	0	0	8	950	950	0	0	10
300103	1	10000	1045	1045	0	0	1	1045	1045	0	0	1	1045	1045	0	0	1	1045	1045	0	0	3	1045	1045	10000	10000	4	1045	1045	0	0	6	1045	1045	0	0	6	1045	1045	0	0	8	1045	1045	0	0	8	1045	1045	0	0	10
300111	1	10000	950	950	0	0	1	950	950	0	0	1	950	950	0	0	1	950	950	0	0	3	950	950	10000	10000	4	950	950	0	0	6	950	950	0	0	6	950	950	0	0	8	950	950	0	0	8	950	950	0	0	10
300112	1	10000	950	950	0	0	1	950	950	0	0	1	950	950	0	0	1	950	950	0	0	3	950	950	10000	10000	4	950	950	0	0	6	950	950	0	0	6	950	950	0	0	8	950	950	0	0	8	950	950	0	0	10
300113	1	10000	1045	1045	0	0	1	1045	1045	0	0	1	1045	1045	0	0	1	1045	1045	0	0	3	1045	1045	10000	10000	4	1045	1045	0	0	6	1045	1045	0	0	6	1045	1045	0	0	8	1045	1045	0	0	8	1045	1045	0	0	10
400011	1	10000	1518	1518	0	0	1	1518	1518	0	0	1	1518	1518	0	0	1	1518	1518	0	0	3	1518	1518	10000	10000	4	1518	1518	0	0	6	1518	1518	0	0	6	1518	1518	0	0	8	1518	1518	0	0	8	1518	1518	0	0	10
400012	1	10000	1242	1242	0	0	1	1242	1242	0	0	1	1242	1242	0	0	1	1242	1242	0	0	3	1242	1242	10000	10000	4	1242	1242	0	0	6	1242	1242	0	0	6	1242	1242	0	0	8	1242	1242	0	0	8	1242	1242	0	0	10
400013	1	10000	1380	1380	0	0	1	1380	1380	0	0	1	1380	1380	0	0	1	1380	1380	0	0	3	1380	1380	10000	10000	4	1380	1380	0	0	6	1380	1380	0	0	6	1380	1380	0	0	8	1380	1380	0	0	8	1380	1380	0	0	10
400021	1	10000	1386	1386	0	0	1	1386	1386	0	0	1	1386	1386	0	0	1	1386	1386	0	0	3	1386	1386	10000	10000	4	1386	1386	0	0	6	1386	1386	0	0	6	1386	1386	0	0	8	1386	1386	0	0	8	1386	1386	0	0	10
400022	1	10000	1058	1058	0	0	1	1058	1058	0	0	1	1058	1058	0	0	1	1058	1058	0	0	3	1058	1058	10000	10000	4	1058	1058	0	0	6	1058	1058	0	0	6	1058	1058	0	0	8	1058	1058	0	0	8	1058	1058	0	0	10
400023	1	10000	1176	1176	0	0	1	1176	1176	0	0	1	1176	1176	0	0	1	1176	1176	0	0	3	1176	1176	10000	10000	4	1176	1176	0	0	6	1176	1176	0	0	6	1176	1176	0	0	8	1176	1176	0	0	8	1176	1176	0	0	10
400031	1	10000	1366	1366	0	0	1	1366	1366	0	0	1	1366	1366	0	0	1	1366	1366	0	0	3	1366	1366	10000	10000	4	1366	1366	0	0	6	1366	1366	0	0	6	1366	1366	0	0	8	1366	1366	0	0	8	1366	1366	0	0	10
400032	1	10000	1352	1352	0	0	1	1352	1352	0	0	1	1352	1352	0	0	1	1352	1352	0	0	3	1352	1352	10000	10000	4	1352	1352	0	0	6	1352	1352	0	0	6	1352	1352	0	0	8	1352	1352	0	0	8	1352	1352	0	0	10
400033	1	10000	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	3	1593	1593	10000	10000	4	1593	1593	0	0	6	1593	1593	0	0	6	1593	1593	0	0	8	1593	1593	0	0	8	1593	1593	0	0	10
400041	1	10000	1167	1167	0	0	1	1167	1167	0	0	1	1167	1167	0	0	1	1167	1167	0	0	3	1167	1167	10000	10000	4	1167	1167	0	0	6	1167	1167	0	0	6	1167	1167	0	0	8	1167	1167	0	0	8	1167	1167	0	0	10
400042	1	10000	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	3	1593	1593	10000	10000	4	1593	1593	0	0	6	1593	1593	0	0	6	1593	1593	0	0	8	1593	1593	0	0	8	1593	1593	0	0	10
400043	1	10000	1304	1304	0	0	1	1304	1304	0	0	1	1304	1304	0	0	1	1304	1304	0	0	3	1304	1304	10000	10000	4	1304	1304	0	0	6	1304	1304	0	0	6	1304	1304	0	0	8	1304	1304	0	0	8	1304	1304	0	0	10
400051	1	10000	972	972	0	0	1	972	972	0	0	1	972	972	0	0	1	972	972	0	0	3	972	972	10000	10000	4	972	972	0	0	6	972	972	0	0	6	972	972	0	0	8	972	972	0	0	8	972	972	0	0	10
400052	1	10000	1386	1386	0	0	1	1386	1386	0	0	1	1386	1386	0	0	1	1386	1386	0	0	3	1386	1386	10000	10000	4	1386	1386	0	0	6	1386	1386	0	0	6	1386	1386	0	0	8	1386	1386	0	0	8	1386	1386	0	0	10
400053	1	10000	1112	1112	0	0	1	1112	1112	0	0	1	1112	1112	0	0	1	1112	1112	0	0	3	1112	1112	10000	10000	4	1112	1112	0	0	6	1112	1112	0	0	6	1112	1112	0	0	8	1112	1112	0	0	8	1112	1112	0	0	10
400061	1	10000	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	3	1080	1080	10000	10000	4	1080	1080	0	0	6	1080	1080	0	0	6	1080	1080	0	0	8	1080	1080	0	0	8	1080	1080	0	0	10
400062	1	10000	1372	1372	0	0	1	1372	1372	0	0	1	1372	1372	0	0	1	1372	1372	0	0	3	1372	1372	10000	10000	4	1372	1372	0	0	6	1372	1372	0	0	6	1372	1372	0	0	8	1372	1372	0	0	8	1372	1372	0	0	10
400063	1	10000	1026	1026	0	0	1	1026	1026	0	0	1	1026	1026	0	0	1	1026	1026	0	0	3	1026	1026	10000	10000	4	1026	1026	0	0	6	1026	1026	0	0	6	1026	1026	0	0	8	1026	1026	0	0	8	1026	1026	0	0	10
400071	1	10000	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	3	1080	1080	10000	10000	4	1080	1080	0	0	6	1080	1080	0	0	6	1080	1080	0	0	8	1080	1080	0	0	8	1080	1080	0	0	10
400072	1	10000	1320	1320	0	0	1	1320	1320	0	0	1	1320	1320	0	0	1	1320	1320	0	0	3	1320	1320	10000	10000	4	1320	1320	0	0	6	1320	1320	0	0	6	1320	1320	0	0	8	1320	1320	0	0	8	1320	1320	0	0	10
400073	1	10000	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	3	1080	1080	10000	10000	4	1080	1080	0	0	6	1080	1080	0	0	6	1080	1080	0	0	8	1080	1080	0	0	8	1080	1080	0	0	10
400081	1	10000	1140	1140	0	0	1	1140	1140	0	0	1	1140	1140	0	0	1	1140	1140	0	0	3	1140	1140	10000	10000	4	1140	1140	0	0	6	1140	1140	0	0	6	1140	1140	0	0	8	1140	1140	0	0	8	1140	1140	0	0	10
400082	1	10000	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	1	1080	1080	0	0	3	1080	1080	10000	10000	4	1080	1080	0	0	6	1080	1080	0	0	6	1080	1080	0	0	8	1080	1080	0	0	8	1080	1080	0	0	10
400083	1	10000	1452	1452	0	0	1	1452	1452	0	0	1	1452	1452	0	0	1	1452	1452	0	0	3	1452	1452	10000	10000	4	1452	1452	0	0	6	1452	1452	0	0	6	1452	1452	0	0	8	1452	1452	0	0	8	1452	1452	0	0	10
400091	1	10000	1311	1311	0	0	1	1311	1311	0	0	1	1311	1311	0	0	1	1311	1311	0	0	3	1311	1311	10000	10000	4	1311	1311	0	0	6	1311	1311	0	0	6	1311	1311	0	0	8	1311	1311	0	0	8	1311	1311	0	0	10
400092	1	10000	1380	1380	0	0	1	1380	1380	0	0	1	1380	1380	0	0	1	1380	1380	0	0	3	1380	1380	10000	10000	4	1380	1380	0	0	6	1380	1380	0	0	6	1380	1380	0	0	8	1380	1380	0	0	8	1380	1380	0	0	10
400093	1	10000	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	3	1593	1593	10000	10000	4	1593	1593	0	0	6	1593	1593	0	0	6	1593	1593	0	0	8	1593	1593	0	0	8	1593	1593	0	0	10
400101	1	10000	1452	1452	0	0	1	1452	1452	0	0	1	1452	1452	0	0	1	1452	1452	0	0	3	1452	1452	10000	10000	4	1452	1452	0	0	6	1452	1452	0	0	6	1452	1452	0	0	8	1452	1452	0	0	8	1452	1452	0	0	10
400102	1	10000	972	972	0	0	1	972	972	0	0	1	972	972	0	0	1	972	972	0	0	3	972	972	10000	10000	4	972	972	0	0	6	972	972	0	0	6	972	972	0	0	8	972	972	0	0	8	972	972	0	0	10
400103	1	10000	1200	1200	0	0	1	1200	1200	0	0	1	1200	1200	0	0	1	1200	1200	0	0	3	1200	1200	10000	10000	4	1200	1200	0	0	6	1200	1200	0	0	6	1200	1200	0	0	8	1200	1200	0	0	8	1200	1200	0	0	10
401011	1	10000	1441	1441	0	0	1	1441	1441	0	0	1	1441	1441	0	0	1	1441	1441	0	0	3	1441	1441	10000	10000	4	1441	1441	0	0	6	1441	1441	0	0	6	1441	1441	0	0	8	1441	1441	0	0	8	1441	1441	0	0	10
401012	1	10000	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	1	1100	1100	0	0	3	1100	1100	10000	10000	4	1100	1100	0	0	6	1100	1100	0	0	6	1100	1100	0	0	8	1100	1100	0	0	8	1100	1100	0	0	10
401013	1	10000	1223	1223	0	0	1	1223	1223	0	0	1	1223	1223	0	0	1	1223	1223	0	0	3	1223	1223	10000	10000	4	1223	1223	0	0	6	1223	1223	0	0	6	1223	1223	0	0	8	1223	1223	0	0	8	1223	1223	0	0	10
401021	1	10000	1517	1517	0	0	1	1517	1517	0	0	1	1517	1517	0	0	1	1517	1517	0	0	3	1517	1517	10000	10000	4	1517	1517	0	0	6	1517	1517	0	0	6	1517	1517	0	0	8	1517	1517	0	0	8	1517	1517	0	0	10
401022	1	10000	1168	1168	0	0	1	1168	1168	0	0	1	1168	1168	0	0	1	1168	1168	0	0	3	1168	1168	10000	10000	4	1168	1168	0	0	6	1168	1168	0	0	6	1168	1168	0	0	8	1168	1168	0	0	8	1168	1168	0	0	10
401023	1	10000	1298	1298	0	0	1	1298	1298	0	0	1	1298	1298	0	0	1	1298	1298	0	0	3	1298	1298	10000	10000	4	1298	1298	0	0	6	1298	1298	0	0	6	1298	1298	0	0	8	1298	1298	0	0	8	1298	1298	0	0	10
401031	1	10000	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	1	1593	1593	0	0	3	1593	1593	10000	10000	4	1593	1593	0	0	6	1593	1593	0	0	6	1593	1593	0	0	8	1593	1593	0	0	8	1593	1593	0	0	10
401032	1	10000	1236	1236	0	0	1	1236	1236	0	0	1	1236	1236	0	0	1	1236	1236	0	0	3	1236	1236	10000	10000	4	1236	1236	0	0	6	1236	1236	0	0	6	1236	1236	0	0	8	1236	1236	0	0	8	1236	1236	0	0	10
401033	1	10000	1373	1373	0	0	1	1373	1373	0	0	1	1373	1373	0	0	1	1373	1373	0	0	3	1373	1373	10000	10000	4	1373	1373	0	0	6	1373	1373	0	0	6	1373	1373	0	0	8	1373	1373	0	0	8	1373	1373	0	0	10
401041	1	10000	1669	1669	0	0	1	1669	1669	0	0	1	1669	1669	0	0	1	1669	1669	0	0	3	1669	1669	10000	10000	4	1669	1669	0	0	6	1669	1669	0	0	6	1669	1669	0	0	8	1669	1669	0	0	8	1669	1669	0	0	10
401042	1	10000	1304	1304	0	0	1	1304	1304	0	0	1	1304	1304	0	0	1	1304	1304	0	0	3	1304	1304	10000	10000	4	1304	1304	0	0	6	1304	1304	0	0	6	1304	1304	0	0	8	1304	1304	0	0	8	1304	1304	0	0	10
401043	1	10000	1449	1449	0	0	1	1449	1449	0	0	1	1449	1449	0	0	1	1449	1449	0	0	3	1449	1449	10000	10000	4	1449	1449	0	0	6	1449	1449	0	0	6	1449	1449	0	0	8	1449	1449	0	0	8	1449	1449	0	0	10
402011	1	10000	1123	1123	0	0	1	1123	1123	0	0	1	1123	1123	0	0	1	1123	1123	0	0	3	1123	1123	10000	10000	4	1123	1123	0	0	6	1123	1123	0	0	6	1123	1123	0	0	8	1123	1123	0	0	8	1123	1123	0	0	10
402012	1	10000	1426	1426	0	0	1	1426	1426	0	0	1	1426	1426	0	0	1	1426	1426	0	0	3	1426	1426	10000	10000	4	1426	1426	0	0	6	1426	1426	0	0	6	1426	1426	0	0	8	1426	1426	0	0	8	1426	1426	0	0	10
402013	1	10000	1067	1067	0	0	1	1067	1067	0	0	1	1067	1067	0	0	1	1067	1067	0	0	3	1067	1067	10000	10000	4	1067	1067	0	0	6	1067	1067	0	0	6	1067	1067	0	0	8	1067	1067	0	0	8	1067	1067	0	0	10
402021	1	10000	1183	1183	0	0	1	1183	1183	0	0	1	1183	1183	0	0	1	1183	1183	0	0	3	1183	1183	10000	10000	4	1183	1183	0	0	6	1183	1183	0	0	6	1183	1183	0	0	8	1183	1183	0	0	8	1183	1183	0	0	10
402022	1	10000	1532	1532	0	0	1	1532	1532	0	0	1	1532	1532	0	0	1	1532	1532	0	0	3	1532	1532	10000	10000	4	1532	1532	0	0	6	1532	1532	0	0	6	1532	1532	0	0	8	1532	1532	0	0	8	1532	1532	0	0	10
402023	1	10000	1125	1125	0	0	1	1125	1125	0	0	1	1125	1125	0	0	1	1125	1125	0	0	3	1125	1125	10000	10000	4	1125	1125	0	0	6	1125	1125	0	0	6	1125	1125	0	0	8	1125	1125	0	0	8	1125	1125	0	0	10
