步骤ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	VALID	行为优先级	行为类型（0放技能，2召黑户，3召白户，5跑到点，12删白户，14触发事件，15召群组，20删群组，22逃距离，23传送，24删黑户）	行为参数1	行为参数2	行为参数3	行为参数4	行为参数5	行为参数6	行为参数7	行为参数8	行为参数9	行为参数10	行为参数11	行为参数12	行为参数13	行为参数14	行为参数15	行为参数16	行为参数17	行为参数18	行为参数19	客户端脚本ID（其实是参数20）
301111401	1	0	0	0	21013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111501	1	0	0	0	21024	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111601	1	0	0	0	21017	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111611	1	0	0	0	21006	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111621	1	0	0	0	21034	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111701	1	0	0	0	21037	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111711	1	0	0	0	21024	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111721	1	0	0	0	21037	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301111801	1	0	0	0	21022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212001	1	0	0	0	21062	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212101	1	0	0	0	21027	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212401	1	0	0	0	21078	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212701	1	0	0	0	21037	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212801	1	0	0	0	21007	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301212901	1	0	0	0	21006	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301213001	1	0	0	0	21034	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301213401	1	0	0	0	21085	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301230201	1	0	15	301200065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301230101	1	0	14	30120016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310100111	1	0	0	0	21232	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310100211	1	0	0	0	21233	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310101111	1	0	0	0	21234	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310101211	1	0	0	0	21235	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310103011	1	0	0	0	21238	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310103021	1	0	0	0	21237	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310103031	1	0	0	0	21236	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310300511	1	0	0	0	21262	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310400411	1	0	0	0	21263	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310400511	1	0	0	0	21062	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310400521	1	0	0	0	21063	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310200411	1	0	0	0	21265	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320100101	1	0	0	0	21058	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93201001
320100111	1	0	22	1	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320101011	1	0	0	0	21082	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320101021	1	0	15	320100011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320101031	1	0	0	0	21013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320101041	1	0	0	0	21045	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320101051	1	0	0	0	21264	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214001	1	0	14	63020001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214101	1	0	14	63020002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214201	1	0	14	63020003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214301	1	0	14	63020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214401	1	0	14	63020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213101	1	0	0	0	4011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213102	1	0	0	0	4021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213103	1	0	0	0	4031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213201	1	0	0	0	21013	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213202	1	0	0	0	21003	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213301	1	0	0	0	21024	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213302	1	0	0	0	21098	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213401	1	0	0	0	21037	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213402	1	0	0	0	21007	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213501	1	0	0	0	21022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213502	1	0	0	0	21100	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213503	1	0	0	0	21001	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213601	1	0	0	0	21055	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213602	1	0	0	0	21068	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213603	1	0	0	0	21060	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212701	1	0	0	0	1031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212702	1	0	0	0	21043	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212801	1	0	0	0	3031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212802	1	0	0	0	3011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212901	1	0	0	0	3031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320212902	1	0	0	0	21097	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213001	1	0	0	0	2031	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320213002	1	0	0	0	2021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214601	1	0	0	0	21203	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214602	1	0	0	0	21204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214801	1	0	0	0	22055	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214802	1	0	0	0	21030	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214803	1	0	0	0	21108	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214901	1	0	0	0	21202	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320214902	1	0	0	0	22020	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320401401	1	0	14	32040011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320401501	1	0	14	32040012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320401601	1	0	14	32040013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320401701	1	0	14	32040014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320401801	1	0	14	32040015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100301	1	0	0	0	21047	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100311	1	0	0	0	21035	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100321	1	0	0	0	21045	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100331	1	0	15	420100037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100341	1	1	15	420000037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100901	1	0	0	0	21016	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420100911	1	0	0	0	21044	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420102601	1	0	0	0	21036	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025101	1	0	0	0	21001	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025111	1	0	0	0	21049	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025201	1	0	0	0	21076	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025301	1	0	0	0	21060	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025302	1	1	0	0	21061	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025401	1	0	0	0	21069	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025411	1	0	0	0	21064	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
701025412	1	1	0	0	21065	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110101	1	2	0	0	22002	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110111	1	1	0	0	22003	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110121	1	0	0	0	22004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110131	1	1	0	2	22022	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110151	1	2	0	0	22021	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110161	1	1	0	2	22502	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110171	1	0	2	9001102	1	10	1	2	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0
900110181	1	1	0	2	22501	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900120101	1	3	0	0	22006	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900120111	1	2	0	0	22007	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900120121	1	1	0	10	22008	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900120131	1	2	2	9001202	1	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160101	1	0	14	90010001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160201	1	0	14	90010002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160301	1	0	14	90010003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160401	1	0	14	90010004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160501	1	0	14	90010005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900110201	1	0	0	2	500205	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900130101	1	0	0	0	22010	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900130111	1	1	0	0	22012	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900130121	1	2	0	0	22011	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150101	1	1	0	0	22018	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150111	1	2	0	0	22020	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150121	1	0	0	0	22023	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150201	1	1	0	2	220201	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900140101	1	1	0	0	22014	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900150102	1	1	2	9001502	0	20	1	2	0	0	20	4	55	6	90	7	125	8	165	9	200	10	0
900150221	1	0	0	2	220202	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160601	1	0	14	90010011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160701	1	0	14	90010012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160801	1	0	14	90010013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900160901	1	0	14	90010014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900161001	1	0	14	90010015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260101	1	0	14	90020001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260201	1	0	14	90020002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260301	1	0	14	90020003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260401	1	0	14	90020004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260501	1	0	14	90020005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260601	1	0	14	90020011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260701	1	0	14	90020012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260801	1	0	14	90020013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900260901	1	0	14	90020014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900261001	1	0	14	90020015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360101	1	0	14	90030001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360201	1	0	14	90030002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360301	1	0	14	90030003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360401	1	0	14	90030004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360501	1	0	14	90030005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360601	1	0	14	90030011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360701	1	0	14	90030012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360801	1	0	14	90030013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900360901	1	0	14	90030014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900361001	1	0	14	90030015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460101	1	0	14	90040001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460201	1	0	14	90040002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460301	1	0	14	90040003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460401	1	0	14	90040004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460501	1	0	14	90040005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460601	1	0	14	90040011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460701	1	0	14	90040012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460801	1	0	14	90040013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900460901	1	0	14	90040014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900461001	1	0	14	90040015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560101	1	0	14	90050001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560201	1	0	14	90050002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560301	1	0	14	90050003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560401	1	0	14	90050004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560501	1	0	14	90050005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560601	1	0	14	90050011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560701	1	0	14	90050012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560801	1	0	14	90050013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900560901	1	0	14	90050014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900561001	1	0	14	90050015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660101	1	0	14	90060001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660201	1	0	14	90060002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660301	1	0	14	90060003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660401	1	0	14	90060004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660501	1	0	14	90060005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660601	1	0	14	90060011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660701	1	0	14	90060012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660801	1	0	14	90060013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900660901	1	0	14	90060014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900661001	1	0	14	90060015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760101	1	0	14	90070001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760201	1	0	14	90070002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760301	1	0	14	90070003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760401	1	0	14	90070004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760501	1	0	14	90070005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760601	1	0	14	90070011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760701	1	0	14	90070012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760801	1	0	14	90070013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900760901	1	0	14	90070014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900761001	1	0	14	90070015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860101	1	0	14	90080001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860201	1	0	14	90080002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860301	1	0	14	90080003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900860401	1	0	14	90080004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
