成就ID(普通历练通关：1~300，普通历练三星：301~600，历练章节通关：601~650，历练章节满星：651~700，主线及系统开放：701~770，境界突破：771~800，目标成就：801~1700，目标零散1701~2100，魂装配方：2101~2140，七日成就2141~2300，充值首购2301~2350,祝福2351~2450，坐骑2451~2500，引导页2501~2600，引导成就2601-2650，灵宠购买限制2701~2800，封魔塔boss击杀成就2801~2850，海外首充成就2851~2900，仙道秘法成就2901~3000)	有效标志位	最大进度	完成类型(0自动完成，1手动完成)	前置成就ID	奖励道具ID	奖励道具数	奖励货币类型	奖励货币数	特殊奖励ID（已经改成通过reward_id来做，而不是drop了）	广播类型	广播内容	广播限制	触发成就1	触发成就2	触发成就3	触发成就4	触发成就5	触发事件	成就类型（0是普通成就，1是经脉成就，2是战灵碑成就）	状态限制(仅领取时有效，自动完成的不会有效果)	成就点数	触发祝福ID	触发邮件ID	增加战力值	触发脚本	待领奖时触发脚本	描述
50	1	1	0	0	0	0	0	0	20010510	0	0	0	605	0	0	0	0	0	2	0	0	401005	0	0	0	0	[长生碑]闻言碑第10关
51	1	1	0	0	0	0	0	0	20010601	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第1关
52	1	1	0	0	0	0	0	0	20010602	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第2关
53	1	1	0	0	0	0	0	0	20010603	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第3关
54	1	1	0	0	0	0	0	0	20010604	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第4关
55	1	1	0	0	0	0	0	0	20010605	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第5关
56	1	1	0	0	0	0	0	0	20010606	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第6关
57	1	1	0	0	0	0	0	0	20010607	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第7关
58	1	1	0	0	0	0	0	0	20010608	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第8关
59	1	1	0	0	0	0	0	0	20010609	0	0	0	606	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]西辰碑第9关
60	1	1	0	0	0	0	0	0	20010610	0	0	0	606	0	0	0	0	0	2	0	0	401006	0	0	0	0	[长生碑]西辰碑第10关
61	1	1	0	0	0	0	0	0	20010701	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第1关
62	1	1	0	0	0	0	0	0	20010702	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第2关
63	1	1	0	0	0	0	0	0	20010703	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第3关
64	1	1	0	0	0	0	0	0	20010704	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第4关
65	1	1	0	0	0	0	0	0	20010705	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第5关
66	1	1	0	0	0	0	0	0	20010706	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第6关
67	1	1	0	0	0	0	0	0	20010707	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第7关
68	1	1	0	0	0	0	0	0	20010708	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第8关
69	1	1	0	0	0	0	0	0	20010709	0	0	0	607	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第七碑第9关
70	1	1	0	0	0	0	0	0	20010710	0	0	0	607	0	0	0	0	0	2	0	0	401007	0	0	0	0	[长生碑]第七碑第10关
71	1	1	0	0	0	0	0	0	20010801	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第1关
72	1	1	0	0	0	0	0	0	20010802	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第2关
73	1	1	0	0	0	0	0	0	20010803	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第3关
74	1	1	0	0	0	0	0	0	20010804	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第4关
75	1	1	0	0	0	0	0	0	20010805	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第5关
76	1	1	0	0	0	0	0	0	20010806	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第6关
77	1	1	0	0	0	0	0	0	20010807	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第7关
78	1	1	0	0	0	0	0	0	20010808	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第8关
79	1	1	0	0	0	0	0	0	20010809	0	0	0	608	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第八碑第9关
80	1	1	0	0	0	0	0	0	20010810	0	0	0	608	0	0	0	0	0	2	0	0	401008	0	0	0	0	[长生碑]第八碑第10关
81	1	1	0	0	0	0	0	0	20010901	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第1关
82	1	1	0	0	0	0	0	0	20010902	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第2关
83	1	1	0	0	0	0	0	0	20010903	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第3关
84	1	1	0	0	0	0	0	0	20010904	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第4关
85	1	1	0	0	0	0	0	0	20010905	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第5关
86	1	1	0	0	0	0	0	0	20010906	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第6关
87	1	1	0	0	0	0	0	0	20010907	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第7关
88	1	1	0	0	0	0	0	0	20010908	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第8关
89	1	1	0	0	0	0	0	0	20010909	0	0	0	609	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第九碑第9关
90	1	1	0	0	0	0	0	0	20010910	0	0	0	609	0	0	0	0	0	2	0	0	401009	0	0	0	0	[长生碑]第九碑第10关
91	1	1	0	0	0	0	0	0	20011001	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第1关
92	1	1	0	0	0	0	0	0	20011002	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第2关
93	1	1	0	0	0	0	0	0	20011003	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第3关
94	1	1	0	0	0	0	0	0	20011004	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第4关
95	1	1	0	0	0	0	0	0	20011005	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第5关
96	1	1	0	0	0	0	0	0	20011006	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第6关
97	1	1	0	0	0	0	0	0	20011007	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第7关
98	1	1	0	0	0	0	0	0	20011008	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第8关
99	1	1	0	0	0	0	0	0	20011009	0	0	0	610	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十碑第9关
100	1	1	0	0	0	0	0	0	20011010	0	0	0	610	0	0	0	0	0	2	0	0	401010	0	0	0	0	[长生碑]第十碑第10关
101	1	1	0	0	0	0	0	0	20011101	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第1关
102	1	1	0	0	0	0	0	0	20011102	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第2关
103	1	1	0	0	0	0	0	0	20011103	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第3关
104	1	1	0	0	0	0	0	0	20011104	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第4关
105	1	1	0	0	0	0	0	0	20011105	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第5关
106	1	1	0	0	0	0	0	0	20011106	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第6关
107	1	1	0	0	0	0	0	0	20011107	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第7关
108	1	1	0	0	0	0	0	0	20011108	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第8关
109	1	1	0	0	0	0	0	0	20011109	0	0	0	611	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十一碑第9关
110	1	1	0	0	0	0	0	0	20011110	0	0	0	611	0	0	0	0	0	2	0	0	401011	0	0	0	0	[长生碑]第十一碑第10关
111	1	1	0	0	0	0	0	0	20011201	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第1关
112	1	1	0	0	0	0	0	0	20011202	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第2关
113	1	1	0	0	0	0	0	0	20011203	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第3关
114	1	1	0	0	0	0	0	0	20011204	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第4关
115	1	1	0	0	0	0	0	0	20011205	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第5关
116	1	1	0	0	0	0	0	0	20011206	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第6关
117	1	1	0	0	0	0	0	0	20011207	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第7关
118	1	1	0	0	0	0	0	0	20011208	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第8关
119	1	1	0	0	0	0	0	0	20011209	0	0	0	612	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十二碑第9关
120	1	1	0	0	0	0	0	0	20011210	0	0	0	612	0	0	0	0	0	2	0	0	401012	0	0	0	0	[长生碑]第十二碑第10关
121	1	1	0	0	0	0	0	0	20011301	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第1关
122	1	1	0	0	0	0	0	0	20011302	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第2关
123	1	1	0	0	0	0	0	0	20011303	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第3关
124	1	1	0	0	0	0	0	0	20011304	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第4关
125	1	1	0	0	0	0	0	0	20011305	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第5关
126	1	1	0	0	0	0	0	0	20011306	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第6关
127	1	1	0	0	0	0	0	0	20011307	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第7关
128	1	1	0	0	0	0	0	0	20011308	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第8关
129	1	1	0	0	0	0	0	0	20011309	0	0	0	613	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十三碑第9关
130	1	1	0	0	0	0	0	0	20011310	0	0	0	613	0	0	0	0	0	2	0	0	401013	0	0	0	0	[长生碑]第十三碑第10关
131	1	1	0	0	0	0	0	0	20011401	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第1关
132	1	1	0	0	0	0	0	0	20011402	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第2关
133	1	1	0	0	0	0	0	0	20011403	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第3关
134	1	1	0	0	0	0	0	0	20011404	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第4关
135	1	1	0	0	0	0	0	0	20011405	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第5关
136	1	1	0	0	0	0	0	0	20011406	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第6关
137	1	1	0	0	0	0	0	0	20011407	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第7关
138	1	1	0	0	0	0	0	0	20011408	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第8关
139	1	1	0	0	0	0	0	0	20011409	0	0	0	614	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十四碑第9关
140	1	1	0	0	0	0	0	0	20011410	0	0	0	614	0	0	0	0	0	2	0	0	401014	0	0	0	0	[长生碑]第十四碑第10关
141	1	1	0	0	0	0	0	0	20011501	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第1关
142	1	1	0	0	0	0	0	0	20011502	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第2关
143	1	1	0	0	0	0	0	0	20011503	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第3关
144	1	1	0	0	0	0	0	0	20011504	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第4关
145	1	1	0	0	0	0	0	0	20011505	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第5关
146	1	1	0	0	0	0	0	0	20011506	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第6关
147	1	1	0	0	0	0	0	0	20011507	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第7关
148	1	1	0	0	0	0	0	0	20011508	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第8关
149	1	1	0	0	0	0	0	0	20011509	0	0	0	615	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十五碑第9关
150	1	1	0	0	0	0	0	0	20011510	0	0	0	615	0	0	0	0	0	2	0	0	401015	0	0	0	0	[长生碑]第十五碑第10关
151	1	1	0	0	0	0	0	0	20011601	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第1关
152	1	1	0	0	0	0	0	0	20011602	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第2关
153	1	1	0	0	0	0	0	0	20011603	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第3关
154	1	1	0	0	0	0	0	0	20011604	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第4关
155	1	1	0	0	0	0	0	0	20011605	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第5关
156	1	1	0	0	0	0	0	0	20011606	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第6关
157	1	1	0	0	0	0	0	0	20011607	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第7关
158	1	1	0	0	0	0	0	0	20011608	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第8关
159	1	1	0	0	0	0	0	0	20011609	0	0	0	616	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十六碑第9关
160	1	1	0	0	0	0	0	0	20011610	0	0	0	616	0	0	0	0	0	2	0	0	401016	0	0	0	0	[长生碑]第十六碑第10关
161	1	1	0	0	0	0	0	0	20011701	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第1关
162	1	1	0	0	0	0	0	0	20011702	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第2关
163	1	1	0	0	0	0	0	0	20011703	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第3关
164	1	1	0	0	0	0	0	0	20011704	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第4关
165	1	1	0	0	0	0	0	0	20011705	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第5关
166	1	1	0	0	0	0	0	0	20011706	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第6关
167	1	1	0	0	0	0	0	0	20011707	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第7关
168	1	1	0	0	0	0	0	0	20011708	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第8关
169	1	1	0	0	0	0	0	0	20011709	0	0	0	617	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十七碑第9关
170	1	1	0	0	0	0	0	0	20011710	0	0	0	617	0	0	0	0	0	2	0	0	401017	0	0	0	0	[长生碑]第十七碑第10关
171	1	1	0	0	0	0	0	0	20011801	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第1关
172	1	1	0	0	0	0	0	0	20011802	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第2关
173	1	1	0	0	0	0	0	0	20011803	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第3关
174	1	1	0	0	0	0	0	0	20011804	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第4关
175	1	1	0	0	0	0	0	0	20011805	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第5关
176	1	1	0	0	0	0	0	0	20011806	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第6关
177	1	1	0	0	0	0	0	0	20011807	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第7关
178	1	1	0	0	0	0	0	0	20011808	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第8关
179	1	1	0	0	0	0	0	0	20011809	0	0	0	618	0	0	0	0	0	2	0	0	0	0	0	0	0	[长生碑]第十八碑第9关
