活动ID（ID规则：共3位，第一位表示礼包类型<0为成长礼包，1为超值礼包>，第二位为世界科技等级，第三位根据玩家状态决定，1为后进玩家，2为正常玩家）	副键	有效标志（1读取该条数据，0不读）	商品形式（0表示走充值内购，非0则为隐形商城shopID：13）	商品ID（如果商品形式是0则填内购depositeID，如果商品形式填0元depositeID统计用）	可见状态限制（可以看到该条数据的限制）	可买状态限制（可以购买该条内容的限制）	次数限制ID（该条数据能购买的次数）	获得奖励（购买后获得的reward_cfg奖励）	界面显示组（界面显示的礼包组数）	商品名称（显示用，预览时的标题）	道具ID（商店中对应道具的ID，同时显示用）	角标签（右上角标签文本）	道具标签	原价	现价	显示开始（界面显示的开始时间）	持续时间	界面显示1（界面显示文本）	界面显示2	界面显示3	显示面板（0正常成长礼包，1超值礼包，9其他）	底图名字
1	25	1	0	1004	40051499	40051499	111	40000127	47	红包600元宝	322400208	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	26	1	0	1005	40051499	40051499	111	40000128	47	红包980元宝	322400209	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	27	1	0	1006	40051499	40051499	111	40000129	47	红包1580元宝	322400210	折扣	超值	1500	750	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	28	1	0	1101	40051499	40051499	111	40000130	47	主播送礼 60礼卷	322400202	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	29	1	0	1102	40051499	40051499	111	40000131	47	主播送礼 180礼卷	322400203	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	30	1	0	1103	40051499	40051499	111	40000132	47	主播送礼 300礼卷	322400204	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	31	1	0	1104	40051499	40051499	111	40000133	47	主播送礼 600礼卷	322400205	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	32	1	0	1105	40051499	40051499	111	40000134	47	主播送礼 980礼卷	322400206	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	33	1	0	1106	40051499	40051499	111	40000135	47	主播送礼 1580礼卷	322400207	折扣	超值	1500	750	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	34	1	0	31	40051499	40051499	111	40000121	47	30元幸运礼	322400202	折扣	超值	60	30	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	35	1	0	32	40051499	40051499	111	40000122	47	60元幸运礼	322400203	折扣	超值	120	60	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	36	1	0	33	40051499	40051499	111	40000123	47	90元幸运礼	322400204	折扣	超值	180	90	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	37	1	0	34	40051499	40051499	111	40000124	47	120元幸运礼	322400205	折扣	超值	240	120	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	38	1	0	35	40051499	40051499	111	40000125	47	150元幸运礼	322400206	折扣	超值	300	150	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	39	1	0	36	40051499	40051499	111	40000126	47	180元幸运礼	322400207	折扣	超值	360	180	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	40	1	0	37	40051499	40051499	111	40000127	47	270元幸运礼	322400208	折扣	超值	540	270	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	41	1	0	38	40051499	40051499	111	40000128	47	300元幸运礼	322400209	折扣	超值	600	300	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	42	1	0	39	40051499	40051499	111	40000129	47	390元幸运礼	322400210	折扣	超值	780	390	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	43	1	0	40	40051499	40051499	111	40000130	47	450元幸运礼	322400202	折扣	超值	900	450	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	44	1	0	41	40051499	40051499	111	40000131	47	1120元幸运礼	322400203	折扣	超值	2240	1120	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	45	1	0	42	40051499	40051499	111	40000132	47	1490元幸运礼	322400204	折扣	超值	2980	1490	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	46	1	0	43	40051499	40051499	111	40000133	47	2090元幸运礼	322400205	折扣	超值	4180	2090	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
1	47	1	0	44	40051499	40051499	111	40000134	47	2990元幸运礼	322400206	折扣	超值	5980	2990	0	99999999	超值折扣豪礼	所有玩家可买	所有玩家可买	0	0
12	1	1	13	14	40051520	40051520	415	40000112	10	新手成长礼	322400211	福利	热卖	130	0	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	2	1	0	50	40051520	40051520	506	40002503	10	30元扣豪礼	0	4折	超值	75	30	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	3	1	0	800	40051520	40051520	416	40000113	10	50元扣豪礼	0	2.6折	豪华	195	50	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	4	1	0	51	40051520	40051520	416	40000113	10	60元扣豪礼	0	3.1折	豪华	195	60	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	5	1	0	54	40051520	40051520	417	40000114	10	150元扣豪礼	0	4.5折	稀有	340	150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	6	1	0	801	40051520	40051520	418	40000115	10	200元扣豪礼	0	4.1折	稀有	495	200	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	7	1	0	56	40051520	40051520	418	40000115	10	210元扣豪礼	0	4.3折	稀有	495	210	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	8	1	0	59	40051520	40051520	419	40000116	10	300元扣豪礼	0	3.3折	稀有	910	300	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	9	1	0	802	40051520	40051520	508	40002504	10	400元扣豪礼	0	4.4折	稀有	915	400	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
12	10	1	0	63	40051520	40051520	508	40002504	10	420元扣豪礼	0	4.6折	稀有	915	420	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变一</color>开放	<color=#00ab37>30~60级</color>玩家可购买	0	0
21	1	1	13	14	40051521	40051521	403	40000103	5	新手成长礼	322400202	福利	热卖	145	0	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	2	1	0	800	40051521	40051521	404	40000104	5	50元扣豪礼	0	1.5折	超值	345	50	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	3	1	0	51	40051521	40051521	404	40000104	5	60元扣豪礼	0	1.8折	超值	345	60	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	4	1	0	801	40051521	40051521	405	40000105	5	200元扣豪礼	0	3.9折	豪华	515	200	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
21	5	1	0	56	40051521	40051521	405	40000105	5	210元扣豪礼	0	4.1折	豪华	515	210	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
22	1	1	13	14	40051522	40051522	406	40000106	8	新手成长礼	322400205	福利	热卖	110	0	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	2	1	0	800	40051522	40051522	407	40000107	8	50元扣豪礼	0	2.4折	超值	210	50	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	3	1	0	51	40051522	40051522	407	40000107	8	60元扣豪礼	0	2.9折	超值	210	60	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	4	1	0	54	40051522	40051522	408	40000108	8	150元扣豪礼	0	2.8折	豪华	550	150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	5	1	0	59	40051522	40051522	409	40000109	8	300元扣豪礼	0	4折	稀有	750	300	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	6	1	0	64	40051522	40051522	410	40000110	8	450元扣豪礼	0	4.5折	稀有	1010	450	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	7	1	0	69	40051522	40051522	411	40000111	8	1150元扣豪礼	0	5.2折	稀有	2245	1150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
22	8	1	0	803	40051522	40051522	411	40000111	8	1190元扣豪礼	0	5.4折	稀有	2245	1190	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
23	1	1	13	14	40051523	40051523	519	40002514	4	新手成长礼	322400231	福利	热卖	40	0	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
23	2	1	0	50	40051523	40051523	520	40002515	4	30元扣豪礼	0	4折	超值	75	30	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
23	3	1	0	52	40051523	40051523	521	40002516	4	90元扣豪礼	0	4折	豪华	230	90	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
23	4	1	0	64	40051523	40051523	522	40002517	4	450元扣豪礼	0	3.8折	稀有	1215	450	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>30~55级</color>玩家可购买	0	0
24	1	1	13	14	40051524	40051524	523	40002518	7	新手成长礼	322400232	福利	热卖	25	0	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	2	1	0	50	40051524	40051524	524	40002519	7	30元扣豪礼	0	4折	超值	75	30	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	3	1	0	800	40051524	40051524	525	40002520	7	50元扣豪礼	0	3.8折	豪华	135	50	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	4	1	0	51	40051524	40051524	525	40002520	7	60元扣豪礼	0	4.5折	豪华	135	60	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	5	1	0	59	40051524	40051524	526	40002521	7	300元扣豪礼	0	3.8折	稀有	810	300	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	6	1	0	69	40051524	40051524	527	40002522	7	1150元扣豪礼	0	5.7折	稀有	2025	1150	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
24	7	1	0	803	40051524	40051524	527	40002522	7	1190元扣豪礼	0	5.9折	稀有	2025	1190	346200	691200	超值限时礼包	仅在<color=#00ab37>天地异变二</color>开放	<color=#00ab37>61~1转80级</color>玩家可购买	0	0
31	1	1	13	14	40051525	40051525	424	40000117	4	新手成长礼	322400216	福利	热卖	110	0	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
31	2	1	0	800	40051525	40051525	425	40000118	4	50元扣豪礼	0	2.2折	超值	230	50	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
31	3	1	0	51	40051525	40051525	425	40000118	4	60元扣豪礼	0	2.7折	超值	230	60	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
31	4	1	0	54	40051525	40051525	426	40000119	4	150元扣豪礼	0	3.5折	豪华	440	150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
32	1	1	13	14	40051526	40051526	427	40000120	8	新手成长礼	322400217	福利	热卖	335	0	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	2	1	0	800	40051526	40051526	428	40000121	8	50元扣豪礼	0	1折	超值	505	50	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	3	1	0	51	40051526	40051526	428	40000121	8	60元扣豪礼	0	1.2折	超值	505	60	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	4	1	0	54	40051526	40051526	429	40000122	8	150元扣豪礼	0	1.5折	豪华	1005	150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	5	1	0	59	40051526	40051526	430	40000123	8	300元扣豪礼	0	2.4折	稀有	1280	300	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	6	1	0	64	40051526	40051526	431	40000124	8	450元扣豪礼	0	2.5折	稀有	1840	450	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	7	1	0	69	40051526	40051526	432	40000125	8	1150元扣豪礼	0	2.9折	稀有	4005	1150	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
32	8	1	0	803	40051526	40051526	432	40000125	8	1190元扣豪礼	0	3折	稀有	4005	1190	0	345600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
33	1	1	13	14	40051527	40051527	538	40002533	4	新手成长礼	322400235	福利	热卖	40	0	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
33	2	1	0	50	40051527	40051527	539	40002534	4	30元扣豪礼	0	3.6折	超值	85	30	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
33	3	1	0	800	40051527	40051527	540	40002535	4	50元扣豪礼	0	2.8折	豪华	180	50	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
33	4	1	0	51	40051527	40051527	540	40002535	4	60元扣豪礼	0	3.4折	豪华	180	60	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
34	1	1	13	14	40051528	40051528	541	40002536	7	新手成长礼	322400236	福利	热卖	30	0	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	2	1	0	50	40051528	40051528	542	40002537	7	30元扣豪礼	0	4折	超值	75	30	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	3	1	0	800	40051528	40051528	543	40002538	7	50元扣豪礼	0	2.8折	豪华	180	50	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	4	1	0	51	40051528	40051528	543	40002538	7	60元扣豪礼	0	3.4折	豪华	180	60	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	5	1	0	801	40051528	40051528	544	40002539	7	200元扣豪礼	0	3.3折	豪华	615	200	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	6	1	0	56	40051528	40051528	544	40002539	7	210元扣豪礼	0	3.5折	豪华	615	210	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
34	7	1	0	59	40051528	40051528	545	40002540	7	300元扣豪礼	0	2.8折	豪华	1095	300	346200	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
35	1	1	13	14	40051529	40051529	546	40002541	5	新手成长礼	322400237	福利	热卖	40	0	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
35	2	1	0	50	40051529	40051529	547	40002542	5	30元扣豪礼	0	3.2折	超值	95	30	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
35	3	1	0	54	40051529	40051529	548	40002543	5	150元扣豪礼	0	3.8折	豪华	400	150	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
35	4	1	0	59	40051529	40051529	549	40002544	5	300元扣豪礼	0	3.4折	稀有	900	300	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
35	5	1	0	64	40051529	40051529	550	40002545	5	450元扣豪礼	0	4折	稀有	1150	450	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
36	1	1	13	14	40051530	40051530	551	40002546	9	新手成长礼	322400238	福利	热卖	25	0	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	2	1	0	50	40051530	40051530	552	40002547	9	30元扣豪礼	0	4折	超值	75	30	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	3	1	0	54	40051530	40051530	553	40002548	9	150元扣豪礼	0	3.4折	豪华	450	150	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	4	1	0	801	40051530	40051530	554	40002549	9	200元扣豪礼	0	2.9折	稀有	700	200	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	5	1	0	56	40051530	40051530	554	40002549	9	210元扣豪礼	0	3折	稀有	700	210	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	6	1	0	59	40051530	40051530	555	40002550	9	300元扣豪礼	0	3折	稀有	1000	300	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	7	1	0	64	40051530	40051530	556	40002551	9	450元扣豪礼	0	5折	稀有	900	450	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	8	1	0	69	40051530	40051530	557	40002552	9	1150元扣豪礼	0	7折	稀有	1650	1150	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
36	9	1	0	803	40051530	40051530	557	40002552	9	1190元扣豪礼	0	7.3折	稀有	1650	1190	691800	345000	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
37	1	1	13	14	40051531	40051531	558	40002553	5	新手成长礼	322400239	福利	热卖	40	0	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
37	2	1	0	50	40051531	40051531	559	40002554	5	30元扣豪礼	0	3折	超值	100	30	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
37	3	1	0	800	40051531	40051531	560	40002555	5	50元扣豪礼	0	2.3折	豪华	220	50	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
37	4	1	0	51	40051531	40051531	560	40002555	5	60元扣豪礼	0	2.8折	豪华	220	60	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
37	5	1	0	59	40051531	40051531	561	40002556	5	300元扣豪礼	0	3折	稀有	1000	300	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>56~1转70级</color>玩家可购买	0	0
38	1	1	13	14	40051532	40051532	562	40002557	5	新手成长礼	322400240	福利	热卖	25	0	1037400	258600	超值限时礼包	仅在<color=#00ab37>天地异变三</color>开放	<color=#00ab37>1转81~2转100级</color>玩家可购买	0	0
