道具ID-通用（这张表积分库和拍卖库共用）	有效标志位-通用	积分价格-积分库	单次加价值-积分库	叠加上限-通用	超时时间-积分库	职位限制（0非法数据、1帮主、2副帮主、4院监、8天书堂主、16百草堂主、32白虎堂主、64万宝堂主、128精英帮众、256正式帮众、512预科帮众）-积分库	拍卖元宝底价-拍卖库	拍卖元宝单次加价-拍卖库	拍卖元宝一口价-拍卖库	货币类型（204元宝205绑元）	世界拍卖元宝底价-拍卖库	世界拍卖单次加价	世界拍卖一口价	世界拍卖第一分类	世界拍卖第二分类	世界拍卖货币类型	物品被黑几率	活动1来源显示（夺旗，1胜负2攻旗3守旗）	活动2来源显示（暂无）	活动3来源显示（巨兽，1胜负2兽将3兽王）	活动4来源显示（攻城战，暂不区分来源）
300130920	1	0	0	1	1800	0	150	18	330	204	188	23	416	2	0	204	8000	2	0	2	1
300140430	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140730	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140830	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140930	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140440	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140740	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140840	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140940	1	0	0	1	1800	0	40	5	90	205	50	6	110	2	0	205	10000	2	0	2	1
300140450	1	0	0	1	1800	0	50	6	110	205	63	7	136	2	0	205	10000	2	0	2	1
300140750	1	0	0	1	1800	0	50	6	110	205	63	7	136	2	0	205	10000	2	0	2	1
300140850	1	0	0	1	1800	0	50	6	110	205	63	7	136	2	0	205	10000	2	0	2	1
300140950	1	0	0	1	1800	0	50	6	110	205	63	7	136	2	0	205	10000	2	0	2	1
300140460	1	0	0	1	1800	0	60	7	130	205	75	10	170	2	0	205	10000	2	0	2	1
300140760	1	0	0	1	1800	0	60	7	130	205	75	10	170	2	0	205	10000	2	0	2	1
300140860	1	0	0	1	1800	0	60	7	130	205	75	10	170	2	0	205	10000	2	0	2	1
300140960	1	0	0	1	1800	0	60	7	130	205	75	10	170	2	0	205	10000	2	0	2	1
300140470	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140770	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140870	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140970	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140480	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140780	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140880	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140980	1	0	0	1	1800	0	70	8	150	205	88	11	196	2	0	205	10000	2	0	2	1
300140490	1	0	0	1	1800	0	80	10	180	205	100	12	220	2	0	205	10000	2	0	2	1
300140790	1	0	0	1	1800	0	80	10	180	205	100	12	220	2	0	205	10000	2	0	2	1
300140890	1	0	0	1	1800	0	80	10	180	205	100	12	220	2	0	205	10000	2	0	2	1
300140990	1	0	0	1	1800	0	80	10	180	205	100	12	220	2	0	205	10000	2	0	2	1
300150430	1	0	0	1	1800	0	180	22	400	204	225	28	500	2	0	204	8000	2	0	2	1
300150730	1	0	0	1	1800	0	180	22	400	204	225	28	500	2	0	204	8000	2	0	2	1
300150830	1	0	0	1	1800	0	180	22	400	204	225	28	500	2	0	204	8000	2	0	2	1
300150930	1	0	0	1	1800	0	180	22	400	204	225	28	500	2	0	204	8000	2	0	2	1
300150440	1	0	0	1	1800	0	200	24	440	204	250	30	550	2	0	204	8000	2	0	2	1
300150740	1	0	0	1	1800	0	200	24	440	204	250	30	550	2	0	204	8000	2	0	2	1
300150840	1	0	0	1	1800	0	200	24	440	204	250	30	550	2	0	204	8000	2	0	2	1
300150940	1	0	0	1	1800	0	200	24	440	204	250	30	550	2	0	204	8000	2	0	2	1
300150450	1	0	0	1	1800	0	240	29	530	204	300	36	660	2	0	204	8000	2	0	2	1
300150750	1	0	0	1	1800	0	240	29	530	204	300	36	660	2	0	204	8000	2	0	2	1
300150850	1	0	0	1	1800	0	240	29	530	204	300	36	660	2	0	204	8000	2	0	2	1
300150950	1	0	0	1	1800	0	240	29	530	204	300	36	660	2	0	204	8000	2	0	2	1
300150460	1	0	0	1	1800	0	320	38	700	204	400	48	880	2	0	204	8000	2	0	2	1
300150760	1	0	0	1	1800	0	320	38	700	204	400	48	880	2	0	204	8000	2	0	2	1
300150860	1	0	0	1	1800	0	320	38	700	204	400	48	880	2	0	204	8000	2	0	2	1
300150960	1	0	0	1	1800	0	320	38	700	204	400	48	880	2	0	204	8000	2	0	2	1
300150470	1	0	0	1	1800	0	380	46	840	204	475	58	1050	2	0	204	8000	2	0	2	1
300150770	1	0	0	1	1800	0	380	46	840	204	475	58	1050	2	0	204	8000	2	0	2	1
300150870	1	0	0	1	1800	0	380	46	840	204	475	58	1050	2	0	204	8000	2	0	2	1
300150970	1	0	0	1	1800	0	380	46	840	204	475	58	1050	2	0	204	8000	2	0	2	1
300150480	1	0	0	1	1800	0	440	53	970	204	550	66	1210	2	0	204	8000	2	0	2	1
300150780	1	0	0	1	1800	0	440	53	970	204	550	66	1210	2	0	204	8000	2	0	2	1
300150880	1	0	0	1	1800	0	440	53	970	204	550	66	1210	2	0	204	8000	2	0	2	1
300150980	1	0	0	1	1800	0	440	53	970	204	550	66	1210	2	0	204	8000	2	0	2	1
300150490	1	0	0	1	1800	0	500	60	1100	204	625	76	1380	2	0	204	8000	2	0	2	1
300150790	1	0	0	1	1800	0	500	60	1100	204	625	76	1380	2	0	204	8000	2	0	2	1
300150890	1	0	0	1	1800	0	500	60	1100	204	625	76	1380	2	0	204	8000	2	0	2	1
300150990	1	0	0	1	1800	0	500	60	1100	204	625	76	1380	2	0	204	8000	2	0	2	1
310600001	1	0	0	1	1800	0	150	18	330	205	188	23	416	1	0	205	10000	1	0	1	1
310600002	1	0	0	1	1800	0	180	22	400	205	225	28	500	1	0	205	10000	1	0	1	1
310600003	1	0	0	1	1800	0	200	24	440	205	250	30	550	1	0	205	10000	1	0	1	1
310600004	1	0	0	1	1800	0	240	29	530	205	300	36	660	1	0	205	10000	1	0	1	1
310600005	1	0	0	1	1800	0	320	38	700	205	400	48	880	1	0	205	10000	1	0	1	1
310600006	1	0	0	1	1800	0	380	46	840	205	475	58	1050	1	0	205	10000	1	0	1	1
310600007	1	0	0	1	1800	0	440	53	970	205	550	66	1210	1	0	205	10000	1	0	1	1
310600008	1	0	0	1	1800	0	500	60	1100	205	625	76	1380	1	0	205	10000	1	0	1	1
310600009	1	0	0	1	1800	0	560	67	1230	205	700	84	1540	1	0	205	10000	1	0	1	1
310600010	1	0	0	1	1800	0	620	74	1360	205	775	94	1710	1	0	205	10000	1	0	1	1
400600034	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600035	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600036	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600037	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600038	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600039	1	0	0	1	1800	0	200	24	440	204	250	30	550	5	0	204	8000	0	0	3	0
400600044	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600045	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600046	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600047	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600048	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600049	1	0	0	1	1800	0	240	29	530	204	300	36	660	5	0	204	8000	0	0	3	0
400600054	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600055	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600056	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600057	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600058	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600059	1	0	0	1	1800	0	300	36	660	204	375	46	830	5	0	204	8000	0	0	3	0
400600064	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600065	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600066	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600067	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600068	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600069	1	0	0	1	1800	0	360	43	790	204	450	54	990	5	0	204	8000	0	0	3	0
400600074	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600075	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600076	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600077	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600078	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600079	1	0	0	1	1800	0	440	53	970	204	550	66	1210	5	0	204	8000	0	0	3	0
400600084	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600085	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600086	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600087	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600088	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600089	1	0	0	1	1800	0	520	62	1140	204	650	78	1430	5	0	204	8000	0	0	3	0
400600094	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
400600095	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
400600096	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
400600097	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
400600098	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
400600099	1	0	0	1	1800	0	600	72	1320	204	750	90	1650	5	0	204	8000	0	0	3	0
410560007	1	0	0	1	1800	0	150	18	330	204	188	23	416	7	0	204	8000	0	0	3	0
411000111	1	0	0	1	1800	0	1000	120	2200	204	1250	150	2750	4	0	204	8000	0	0	0	1
411000115	1	0	0	1	1800	0	1000	120	2200	204	1250	150	2750	4	0	204	8000	0	0	0	1
411100001	1	0	0	1	1800	0	50	6	110	205	63	7	136	4	0	205	8000	0	0	0	1
420200200	1	0	0	1	1800	0	50	6	110	204	63	7	136	6	0	204	8000	3	0	0	0
420200300	1	0	0	1	1800	0	100	12	220	204	125	16	280	6	0	204	8000	3	0	0	0
420200400	1	0	0	1	1800	0	200	24	440	204	250	30	550	6	0	204	8000	3	0	0	0
420200500	1	0	0	1	1800	0	250	30	550	204	313	37	686	6	0	204	8000	3	0	0	0
420100100	1	0	0	1	1800	0	130	16	290	204	163	19	356	6	0	204	8000	3	0	0	0
420100102	1	0	0	1	1800	0	130	16	290	204	163	19	356	6	0	204	8000	3	0	0	0
420100105	1	0	0	1	1800	0	130	16	290	204	163	19	356	6	0	204	8000	3	0	0	0
420100112	1	0	0	1	1800	0	130	16	290	204	163	19	356	6	0	204	8000	3	0	0	0
420100200	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100208	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100202	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100203	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100205	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100206	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100211	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100212	1	0	0	1	1800	0	400	48	880	204	500	60	1100	6	0	204	8000	3	0	0	0
420100300	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100301	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100302	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100303	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100305	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100306	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100307	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100308	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100309	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100310	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100311	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100312	1	0	0	1	1800	0	1400	168	3080	204	1750	210	3850	6	0	204	8000	3	0	0	0
420100400	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100401	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100402	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100403	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100405	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100406	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100407	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100408	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100409	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100410	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100411	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
420100412	1	0	0	1	1800	0	2400	288	5280	204	3000	360	6600	6	0	204	8000	3	0	0	0
