1位类型(0特殊，1活动，2运营，3任务，4由活动ID控制的动营活动（id暂定不能超过200个，定之前与vic沟通），8000000~8999999为科技周天限制，9000000~9999999为开服时间限制)+4位参数+2位流水，type_id	有效标志位	serial(与或关系，0或1与)	time_type（副键）	周限制位域(2进制位域，第一位是星期天)week_limit_begin	周限制止（暂无用）week_limit_end	月限制起（科技运转周天：限制科技几开始）month_limit_begin	月限制止（科技运转周天：限制科技几结束）month_limit_end	日限制起，开服：距离开服时间多少天起（开服当天算第0天）（科技运转周天：限制科技几运转第几天开始）day_limit_begin	日限制止，开服：距离开服时间多少天止（开服当天算第0天）（科技运转周天：限制科技几运转第几天结束）day_limit_end	秒限制起，开服：每日的秒限制起second_limit_begin	秒限制止，开服：每日的秒限制止second_limit_end	描述文本，这个是无用字段，无论什么时候放在最后面就行了	映射活动IDrelated_xl_activity_id	"开服天数限制起(开服当天为第1天,填0则此限制无效），24小时过天"	开服天数限制止	世界科技下限	世界科技上限	大区活动错开（0不错开，1代表大区ID%2==0，2代表大区ID%2==1）暂时先错开巨兽和观碑	映射活动状态（填1表示开启，填0表示屏蔽）	阶段1起始时间	阶段1结束时间	阶段2起始时间	阶段2结束时间	阶段3起始时间	阶段3结束时间	阶段4起始时间	阶段4结束时间	阶段5起始时间	阶段5结束时间	映射活动客户端专用(改这个要txt打开)IDrelated_xl_activity_id_client
1000302	1	0	3	10101	0	0	0	0	0	1800	3600	夺宝奇兵每日进入限制	88	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1001100	1	0	1	1111111	0	0	0	0	0	0	86400	（文试迷宫）每日必做	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001101	1	0	1	1111111	0	0	0	0	0	43200	44100	（文试）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001101	1	0	2	1111111	0	0	0	0	0	64800	65700	（文试）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001101	1	0	3	1111111	0	0	0	0	0	3600	4500	（文试）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001102	1	0	1	1111111	0	0	0	0	0	43200	43500	文试篝火	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001102	1	0	2	1111111	0	0	0	0	0	64800	65100	文试篝火	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001102	1	0	3	1111111	0	0	0	0	0	3600	3900	文试篝火	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001103	1	0	1	1111111	0	0	0	0	0	0	86400	文试答题控制开放	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001201	1	0	1	1111111	0	0	0	0	0	44100	44700.0012	（迷宫）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001201	1	0	2	1111111	0	0	0	0	0	65700	66300.00001	（迷宫）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001201	1	0	3	1111111	0	0	0	0	0	4500	5100.000012	（迷宫）活动时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001301	1	0	1	1000100	0	0	0	0	0	77400	78300	学院攻防时间	0	9999	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001301	1	0	2	1000100	0	0	0	0	0	78300	79200	学院攻防时间	0	9999	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1001302	1	0	1	1000100	0	0	0	0	0	79200	79260	学院攻防清扫战场时间	0	9999	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002301	1	0	1	1111111	0	0	0	0	0	28800	86400	野外封妖系统刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002501	1	0	1	0	0	0	0	0	0	64800	66600	阵营刺探开启时间限制ID	0	0	9999	99	99	0	1	0	0	0	0	0	0	0	0	0	0	0
1002601	1	0	1	1111111	0	0	0	0	0	18000	86400	光荣榜膜拜时间限制	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002801	1	0	1	1111111	0	0	0	0	0	45000	45900	夺旗开启时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002802	1	0	1	1111111	0	0	0	0	0	45900	54000	夺旗领奖时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002803	1	0	1	1111111	0	0	0	0	0	45000	45900	夺旗/巨兽地图近战能力补助（活动时间改了，这个一定要记得调啊）	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1002803	1	0	2	1111111	0	0	0	0	0	73200	74400	夺旗/巨兽地图近战能力补助（活动时间改了，这个一定要记得调啊）	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003501	1	0	1	10001	0	0	0	0	0	0	54000	盟主挑战时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003501	1	0	2	10001	0	0	0	0	0	0	54000	盟主挑战时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003502	1	0	1	10001	0	0	0	0	0	57600	59400	盟主开战时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003502	1	0	2	10001	0	0	0	0	0	57600	59400	盟主开战时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003503	1	0	1	1111111	0	0	0	0	0	81000	86400	每日工资领取时间限制	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003701	1	0	1	1111111	0	0	0	0	0	0	86400	天下第一帮	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003801	1	0	1	1111111	0	0	0	0	0	43200	46500	婚礼13:00	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003802	1	0	1	1111111	0	0	0	0	0	68400	71700	婚礼19:00	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003803	1	0	1	1111111	0	0	0	0	0	79200	82500	婚礼22:00	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003804	1	0	1	1111111	0	0	0	0	0	0	86400	结婚副本开放(韩国）	27	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1003805	1	0	1	1111111	0	0	0	0	0	0	86400	仙侣UI开放（韩国）	28	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004501	1	0	1	1111111	0	0	0	0	0	0	75600	攻城挑战时间(开服第四天)	0	4	4	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004501	1	0	2	1	0	0	0	0	0	0	75600	攻城挑战时间（从第5天之后开始）	0	6	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004502	1	0	1	1111111	0	0	0	0	0	76800	77700	攻城神都开战时间(开服四天)	0	4	4	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004502	1	0	2	1	0	0	0	0	0	76800	77700	攻城神都开战时间(开服第5天后开始)	0	6	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004503	1	0	1	1111111	0	0	0	0	0	77701	78600	攻城小城开战时间(开服四天)	0	4	4	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004503	1	0	2	1	0	0	0	0	0	77701	78600	攻城小城开战时间(开服第五天后开始)	0	6	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004504	1	0	1	1111111	0	0	0	0	0	70200	72000	攻城占领之后每日发放战利品奖励	0	3	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004505	1	0	1	1111111	0	0	0	0	0	0	86400	攻城战推送	0	4	4	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004506	1	0	1	10001	0	0	0	0	0	0	86400	攻城战推送	0	6	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004601	1	0	1	1111111	0	0	0	0	0	0	86400	离线找回-攻城战第5天	0	5	5	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004602	1	0	1	1000000	0	0	0	0	0	0	86400	离线找回-攻城战第5天之后每周日	0	7	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004603	1	0	1	1001010	0	0	0	0	0	0	86400	离线找回-战场	87	6	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1004604	1	0	1	1111111	0	0	0	0	0	0	86400	离线找回-帮派宝库第3天	86	3	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1004604	1	0	2	10010	0	0	0	0	0	0	86400	离线找回-帮派宝库第6天之后周二、周五	86	6	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1004701	1	0	1	1	0	0	0	0	0	18000	86400	魅力排行榜个人奖励领取时间限制	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1004901	1	0	1	1111111	0	0	0	0	0	66600	68400	地宫魔像每日开放时间限制	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1004901	1	0	2	1111111	0	0	0	0	0	82800	84600	地宫魔像每日开放时间限制	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005001	1	0	1	1111111	0	0	0	0	0	39600	41400	神魔古墓开启时间	84	2	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005001	1	0	2	1111111	0	0	0	0	0	54000	55800	神魔古墓开启时间	84	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005001	1	0	3	1111111	0	0	0	0	0	120	1800	神魔古墓开启时间	84	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005002	1	0	1	1111111	0	0	0	0	0	39900	40050	神魔古墓第一层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005002	1	0	2	1111111	0	0	0	0	0	54300	54450	神魔古墓第一层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005002	1	0	3	1111111	0	0	0	0	0	420	570	神魔古墓第一层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005003	1	0	1	1111111	0	0	0	0	0	40050	40200	神魔古墓第二层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005003	1	0	2	1111111	0	0	0	0	0	54450	54600	神魔古墓第二层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005003	1	0	3	1111111	0	0	0	0	0	570	720	神魔古墓第二层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005004	1	0	1	1111111	0	0	0	0	0	40200	40350	神魔古墓第三层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005004	1	0	2	1111111	0	0	0	0	0	54600	54750	神魔古墓第三层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005004	1	0	3	1111111	0	0	0	0	0	720	870	神魔古墓第三层小怪刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005005	1	0	1	1111111	0	0	0	0	0	39990	41400	神魔古墓第一层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005005	1	0	2	1111111	0	0	0	0	0	54390	55800	神魔古墓第一层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005005	1	0	3	1111111	0	0	0	0	0	510	1800	神魔古墓第一层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005006	1	0	1	1111111	0	0	0	0	0	40140	41400	神魔古墓第二层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005006	1	0	2	1111111	0	0	0	0	0	54540	55800	神魔古墓第二层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005006	1	0	3	1111111	0	0	0	0	0	660	1800	神魔古墓第二层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005007	1	0	1	1111111	0	0	0	0	0	40290	41400	神魔古墓第三层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005007	1	0	2	1111111	0	0	0	0	0	54690	55800	神魔古墓第三层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005007	1	0	3	1111111	0	0	0	0	0	810	1800	神魔古墓第三层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005008	1	0	1	1111111	0	0	0	0	0	0	86400	神魔古墓开服第二天之后	84	2	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005009	1	0	1	1111111	0	0	0	0	0	0	86400	神魔古墓开服第一天	84	1	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1005010	1	0	1	1111111	0	0	0	0	0	40350	41400	神魔古墓第四层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005010	1	0	2	1111111	0	0	0	0	0	54750	55800	神魔古墓第四层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005010	1	0	3	1111111	0	0	0	0	0	870	1800	神魔古墓第四层BOSS刷新	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1005011	1	0	1	1111111	0	0	0	0	0	0	86400	神魔古墓推送-屏蔽	84	1	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006001	1	0	1	1111111	0	0	0	0	0	66720	70200	地宫BOSS-18:30小BOSS，小BOSS推迟2分钟刷新，BOSS会额外存在30分钟	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006001	1	0	2	1111111	0	0	0	0	0	82920	86400	地宫BOSS-23:00小BOSS，小BOSS推迟2分钟刷新，BOSS会额外存在30分钟	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006002	1	0	1	1111111	0	0	0	0	0	67200	70200	地宫BOSS-18:40大BOSS，BOSS会额外存在30分钟	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006002	1	0	2	1111111	0	0	0	0	0	83400	86400	地宫BOSS-23:10大BOSS，BOSS会额外存在30分钟	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006003	1	0	1	1111111	0	0	0	0	0	0	66599	地宫BOSS-23:10小怪存在	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006003	1	0	2	1111111	0	0	0	0	0	66600	68400	地宫BOSS-23:10小怪存在	61	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006003	1	0	3	1111111	0	0	0	0	0	68401	82799	地宫BOSS-23:10小怪存在	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006003	1	0	4	1111111	0	0	0	0	0	82800	84600	地宫BOSS-23:10小怪存在	61	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006003	1	0	5	1111111	0	0	0	0	0	84601	86400	地宫BOSS-23:10小怪存在	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006004	1	0	1	1111111	0	0	0	0	0	66600	68400	地宫BOSS-18:30-19:00活动期间	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006004	1	0	2	1111111	0	0	0	0	0	82800	84600	地宫BOSS-23:00-23:30活动期间	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006005	1	0	1	1111111	0	0	0	0	0	67200	70200	地宫小boss.debuff撤销时间	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006005	1	0	2	1111111	0	0	0	0	0	83400	86400	地宫小boss.debuff撤销时间	61	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006301	1	0	1	1111111	0	0	0	0	0	0	86400	师徒系统开放	11	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006401	1	0	1	1111111	0	0	0	0	0	0	86400	灵宠爱神开放了（这个别删）	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006402	1	0	1	1111111	0	0	0	0	0	0	86400	灵宠醒师开放了（这个别删）	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006403	1	0	1	1111111	0	0	0	14	14	0	86400	灵宠爱神开放了（情人节专属）	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
1006601	1	0	1	1101010	0	0	0	0	0	69300	71400	吃鸡预告+准备场+正式地图开启	0	0	9999	0	10	0	0	69300	70200	70200	70500	70500	71400	0	0	0	0	0
1006601	1	0	2	1111111	0	0	0	0	0	83700	85800	吃鸡预告+准备场+正式地图开启	0	0	9999	0	10	0	0	83700	84600	84600	84900	84900	85800	0	0	0	0	0
1006602	1	0	1	1111111	0	0	0	0	0	70500	70950	吃鸡前半场，低级buff刷新多	0	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006602	1	0	2	1111111	0	0	0	0	0	84900	85350	吃鸡前半场，低级buff刷新多	0	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006603	1	0	1	1111111	0	0	0	0	0	70950	71400	吃鸡后半场，高级buff刷新多	0	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1006603	1	0	2	1111111	0	0	0	0	0	85350	85800	吃鸡后半场，高级buff刷新多	0	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1050401	1	0	1	1111111	0	0	0	0	0	57600	57900	灵宠大暴走16点-16点05分	62	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1050402	1	0	1	1111111	0	0	0	0	0	57900	58500	灵宠大暴走16点05分-16点15分	62	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1050403	1	0	1	1111111	0	0	0	0	0	57900	57960	灵宠大暴走16点05分-16点06分	62	0	9999	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
2000001	1	0	1	1111111	0	0	0	0	0	0	86400	灵宠抽奖可得灵宠碎片-特殊占坑	33	0	9999	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2000101	1	0	1	111111	0	0	0	0	0	0	86400	充值排行榜开启	0	0	9999	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0
2000101	1	0	2	1000000	0	0	0	0	0	18000	86400	充值排行榜开启	0	0	9999	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0
2000102	1	0	1	1	0	0	0	0	0	82800	86400	充值排行榜每周发奖时间	0	0	9999	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0
2000102	1	0	2	1000000	0	0	0	0	0	0	600	充值排行榜每周发奖时间	0	0	9999	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0
2000103	1	0	1	1	0	0	0	0	0	82800	86400	充值排行榜每周发奖时间	0	0	9999	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0
2000103	1	0	2	1000000	0	0	0	0	0	0	600	充值排行榜每周发奖时间	0	0	9999	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0
2000104	1	0	1	1	0	0	0	0	0	82800	86400	充值排行榜每周发奖时间	0	0	9999	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0
2000104	1	0	2	1000000	0	0	0	0	0	0	600	充值排行榜每周发奖时间	0	0	9999	6	7	0	1	0	0	0	0	0	0	0	0	0	0	0
2000105	1	0	1	1	0	0	0	0	0	82800	86400	充值排行榜每周发奖时间	0	0	9999	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
2000105	1	0	2	1000000	0	0	0	0	0	0	600	充值排行榜每周发奖时间	0	0	9999	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
2000106	1	0	1	1	0	0	0	0	0	82800	86400	充值排行榜每周发奖时间	0	0	9999	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0
2000106	1	0	2	1000000	0	0	0	0	0	0	600	充值排行榜每周发奖时间	0	0	9999	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0
2002101	1	0	1	1111111	0	0	0	0	0	0	600	鲜花排行榜每天发奖时间	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2051499	1	0	1	1111111	0	0	0	0	0	0	86400	后台开启提审礼包活动	29	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2051601	1	0	1	1111111	0	10	10	28	30	0	86400	重阳节-幸运星	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2051701	1	0	1	1111111	0	11	11	1	7	0	86400	脱单活动	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2051801	1	0	1	1111111	0	11	11	8	10	0	86400	立冬节活动	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2051901	1	0	1	1111111	0	11	11	11	16	0	86400	双十一活动	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2052000	1	0	1	1111111	0	11	11	17	23	0	86400	公测七天登录活动	0	0	9999	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
2052000	1	0	2	1111111	0	11	11	24	24	0	86400	公测七天登录活动	0	2	7	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0
