角色等级	有效标志位	军功点最大值	威望点最大值	荣誉点最大值	贡献点最大值	道藏任务最大上限	体力值最大上限
57	1	5700000	5700000	5700000	5700000	7	300
58	1	5800000	5800000	5800000	5800000	7	300
59	1	5900000	5900000	5900000	5900000	7	300
60	1	6000000	6000000	6000000	6000000	7	300
61	1	6100000	6100000	6100000	6100000	8	300
62	1	6200000	6200000	6200000	6200000	8	300
63	1	6300000	6300000	6300000	6300000	8	300
64	1	6400000	6400000	6400000	6400000	8	300
65	1	6500000	6500000	6500000	6500000	8	300
66	1	6600000	6600000	6600000	6600000	8	300
67	1	6700000	6700000	6700000	6700000	8	300
68	1	6800000	6800000	6800000	6800000	8	300
69	1	6900000	6900000	6900000	6900000	8	300
70	1	7000000	7000000	7000000	7000000	8	300
71	1	7100000	7100000	7100000	7100000	9	300
72	1	7200000	7200000	7200000	7200000	9	300
73	1	7300000	7300000	7300000	7300000	9	300
74	1	7400000	7400000	7400000	7400000	9	300
75	1	7500000	7500000	7500000	7500000	9	300
76	1	7600000	7600000	7600000	7600000	9	300
77	1	7700000	7700000	7700000	7700000	9	300
78	1	7800000	7800000	7800000	7800000	9	300
79	1	7900000	7900000	7900000	7900000	9	300
80	1	8000000	8000000	8000000	8000000	9	300
1061	1	8100000	8100000	8100000	8100000	10	300
1062	1	8200000	8200000	8200000	8200000	10	300
1063	1	8300000	8300000	8300000	8300000	10	300
1064	1	8400000	8400000	8400000	8400000	10	300
1065	1	8500000	8500000	8500000	8500000	10	300
1066	1	8600000	8600000	8600000	8600000	10	300
1067	1	8700000	8700000	8700000	8700000	10	300
1068	1	8800000	8800000	8800000	8800000	10	300
1069	1	8900000	8900000	8900000	8900000	10	300
1070	1	9000000	9000000	9000000	9000000	10	300
1071	1	9100000	9100000	9100000	9100000	11	300
1072	1	9200000	9200000	9200000	9200000	11	300
1073	1	9300000	9300000	9300000	9300000	11	300
1074	1	9400000	9400000	9400000	9400000	11	300
1075	1	9500000	9500000	9500000	9500000	11	300
1076	1	9600000	9600000	9600000	9600000	11	300
1077	1	9700000	9700000	9700000	9700000	11	300
1078	1	9800000	9800000	9800000	9800000	11	300
1079	1	9900000	9900000	9900000	9900000	11	300
1080	1	10000000	10000000	10000000	10000000	11	300
1081	1	10100000	10100000	10100000	10100000	12	300
1082	1	10200000	10200000	10200000	10200000	12	300
1083	1	10300000	10300000	10300000	10300000	12	300
1084	1	10400000	10400000	10400000	10400000	12	300
1085	1	10500000	10500000	10500000	10500000	12	300
1086	1	10600000	10600000	10600000	10600000	12	300
1087	1	10700000	10700000	10700000	10700000	12	300
1088	1	10800000	10800000	10800000	10800000	12	300
1089	1	10900000	10900000	10900000	10900000	12	300
1090	1	11000000	11000000	11000000	11000000	12	300
1091	1	11100000	11100000	11100000	11100000	12	300
1092	1	11200000	11200000	11200000	11200000	12	300
1093	1	11300000	11300000	11300000	11300000	12	300
1094	1	11400000	11400000	11400000	11400000	12	300
1095	1	11500000	11500000	11500000	11500000	12	300
1096	1	11600000	11600000	11600000	11600000	12	300
1097	1	11700000	11700000	11700000	11700000	12	300
1098	1	11800000	11800000	11800000	11800000	12	300
1099	1	11900000	11900000	11900000	11900000	12	300
1100	1	12000000	12000000	12000000	12000000	12	300
2081	1	12100000	12100000	12100000	12100000	12	300
2082	1	12200000	12200000	12200000	12200000	12	300
2083	1	12300000	12300000	12300000	12300000	12	300
2084	1	12400000	12400000	12400000	12400000	12	300
2085	1	12500000	12500000	12500000	12500000	12	300
2086	1	12600000	12600000	12600000	12600000	12	300
2087	1	12700000	12700000	12700000	12700000	12	300
2088	1	12800000	12800000	12800000	12800000	12	300
2089	1	12900000	12900000	12900000	12900000	12	300
2090	1	13000000	13000000	13000000	13000000	12	300
2091	1	13100000	13100000	13100000	13100000	12	300
2092	1	13200000	13200000	13200000	13200000	12	300
2093	1	13300000	13300000	13300000	13300000	12	300
2094	1	13400000	13400000	13400000	13400000	12	300
2095	1	13500000	13500000	13500000	13500000	12	300
2096	1	13600000	13600000	13600000	13600000	12	300
2097	1	13700000	13700000	13700000	13700000	12	300
2098	1	13800000	13800000	13800000	13800000	12	300
2099	1	13900000	13900000	13900000	13900000	12	300
2100	1	14000000	14000000	14000000	14000000	12	300
2101	1	14100000	14100000	14100000	14100000	12	300
2102	1	14200000	14200000	14200000	14200000	12	300
2103	1	14300000	14300000	14300000	14300000	12	300
2104	1	14400000	14400000	14400000	14400000	12	300
2105	1	14500000	14500000	14500000	14500000	12	300
2106	1	14600000	14600000	14600000	14600000	12	300
2107	1	14700000	14700000	14700000	14700000	12	300
2108	1	14800000	14800000	14800000	14800000	12	300
2109	1	14900000	14900000	14900000	14900000	12	300
2110	1	15000000	15000000	15000000	15000000	12	300
2111	1	15100000	15100000	15100000	15100000	12	300
2112	1	15200000	15200000	15200000	15200000	12	300
2113	1	15300000	15300000	15300000	15300000	12	300
2114	1	15400000	15400000	15400000	15400000	12	300
2115	1	15500000	15500000	15500000	15500000	12	300
2116	1	15600000	15600000	15600000	15600000	12	300
2117	1	15700000	15700000	15700000	15700000	12	300
2118	1	15800000	15800000	15800000	15800000	12	300
2119	1	15900000	15900000	15900000	15900000	12	300
2120	1	16000000	16000000	16000000	16000000	12	300
3101	1	16100000	16100000	16100000	16100000	12	300
3102	1	16200000	16200000	16200000	16200000	12	300
3103	1	16300000	16300000	16300000	16300000	12	300
3104	1	16400000	16400000	16400000	16400000	12	300
3105	1	16500000	16500000	16500000	16500000	12	300
3106	1	16600000	16600000	16600000	16600000	12	300
3107	1	16700000	16700000	16700000	16700000	12	300
3108	1	16800000	16800000	16800000	16800000	12	300
3109	1	16900000	16900000	16900000	16900000	12	300
3110	1	17000000	17000000	17000000	17000000	12	300
3111	1	17100000	17100000	17100000	17100000	12	300
3112	1	17200000	17200000	17200000	17200000	12	300
3113	1	17300000	17300000	17300000	17300000	12	300
3114	1	17400000	17400000	17400000	17400000	12	300
3115	1	17500000	17500000	17500000	17500000	12	300
3116	1	17600000	17600000	17600000	17600000	12	300
3117	1	17700000	17700000	17700000	17700000	12	300
3118	1	17800000	17800000	17800000	17800000	12	300
3119	1	17900000	17900000	17900000	17900000	12	300
3120	1	18000000	18000000	18000000	18000000	12	300
3121	1	18100000	18100000	18100000	18100000	12	300
3122	1	18200000	18200000	18200000	18200000	12	300
3123	1	18300000	18300000	18300000	18300000	12	300
3124	1	18400000	18400000	18400000	18400000	12	300
3125	1	18500000	18500000	18500000	18500000	12	300
3126	1	18600000	18600000	18600000	18600000	12	300
3127	1	18700000	18700000	18700000	18700000	12	300
3128	1	18800000	18800000	18800000	18800000	12	300
3129	1	18900000	18900000	18900000	18900000	12	300
3130	1	19000000	19000000	19000000	19000000	12	300
3131	1	19100000	19100000	19100000	19100000	12	300
3132	1	19200000	19200000	19200000	19200000	12	300
3133	1	19300000	19300000	19300000	19300000	12	300
3134	1	19400000	19400000	19400000	19400000	12	300
3135	1	19500000	19500000	19500000	19500000	12	300
3136	1	19600000	19600000	19600000	19600000	12	300
3137	1	19700000	19700000	19700000	19700000	12	300
3138	1	19800000	19800000	19800000	19800000	12	300
3139	1	19900000	19900000	19900000	19900000	12	300
3140	1	20000000	20000000	20000000	20000000	12	300
4121	1	20100000	20100000	20100000	20100000	12	300
4122	1	20200000	20200000	20200000	20200000	12	300
4123	1	20300000	20300000	20300000	20300000	12	300
4124	1	20400000	20400000	20400000	20400000	12	300
4125	1	20500000	20500000	20500000	20500000	12	300
4126	1	20600000	20600000	20600000	20600000	12	300
4127	1	20700000	20700000	20700000	20700000	12	300
4128	1	20800000	20800000	20800000	20800000	12	300
4129	1	20900000	20900000	20900000	20900000	12	300
4130	1	21000000	21000000	21000000	21000000	12	300
4131	1	21100000	21100000	21100000	21100000	12	300
4132	1	21200000	21200000	21200000	21200000	12	300
4133	1	21300000	21300000	21300000	21300000	12	300
4134	1	21400000	21400000	21400000	21400000	12	300
4135	1	21500000	21500000	21500000	21500000	12	300
4136	1	21600000	21600000	21600000	21600000	12	300
4137	1	21700000	21700000	21700000	21700000	12	300
4138	1	21800000	21800000	21800000	21800000	12	300
4139	1	21900000	21900000	21900000	21900000	12	300
4140	1	22000000	22000000	22000000	22000000	12	300
4141	1	22100000	22100000	22100000	22100000	12	300
4142	1	22200000	22200000	22200000	22200000	12	300
4143	1	22300000	22300000	22300000	22300000	12	300
4144	1	22400000	22400000	22400000	22400000	12	300
4145	1	22500000	22500000	22500000	22500000	12	300
4146	1	22600000	22600000	22600000	22600000	12	300
4147	1	22700000	22700000	22700000	22700000	12	300
4148	1	22800000	22800000	22800000	22800000	12	300
4149	1	22900000	22900000	22900000	22900000	12	300
4150	1	23000000	23000000	23000000	23000000	12	300
4151	1	23100000	23100000	23100000	23100000	12	300
4152	1	23200000	23200000	23200000	23200000	12	300
4153	1	23300000	23300000	23300000	23300000	12	300
4154	1	23400000	23400000	23400000	23400000	12	300
4155	1	23500000	23500000	23500000	23500000	12	300
4156	1	23600000	23600000	23600000	23600000	12	300
4157	1	23700000	23700000	23700000	23700000	12	300
4158	1	23800000	23800000	23800000	23800000	12	300
4159	1	23900000	23900000	23900000	23900000	12	300
4160	1	24000000	24000000	24000000	24000000	12	300
5141	1	24100000	24100000	24100000	24100000	12	300
5142	1	24200000	24200000	24200000	24200000	12	300
5143	1	24300000	24300000	24300000	24300000	12	300
5144	1	24400000	24400000	24400000	24400000	12	300
5145	1	24500000	24500000	24500000	24500000	12	300
5146	1	24600000	24600000	24600000	24600000	12	300
5147	1	24700000	24700000	24700000	24700000	12	300
5148	1	24800000	24800000	24800000	24800000	12	300
5149	1	24900000	24900000	24900000	24900000	12	300
5150	1	25000000	25000000	25000000	25000000	12	300
5151	1	25100000	25100000	25100000	25100000	12	300
5152	1	25200000	25200000	25200000	25200000	12	300
5153	1	25300000	25300000	25300000	25300000	12	300
5154	1	25400000	25400000	25400000	25400000	12	300
5155	1	25500000	25500000	25500000	25500000	12	300
5156	1	25600000	25600000	25600000	25600000	12	300
5157	1	25700000	25700000	25700000	25700000	12	300
5158	1	25800000	25800000	25800000	25800000	12	300
5159	1	25900000	25900000	25900000	25900000	12	300
5160	1	26000000	26000000	26000000	26000000	12	300
5161	1	26100000	26100000	26100000	26100000	12	300
5162	1	26200000	26200000	26200000	26200000	12	300
5163	1	26300000	26300000	26300000	26300000	12	300
5164	1	26400000	26400000	26400000	26400000	12	300
5165	1	26500000	26500000	26500000	26500000	12	300
5166	1	26600000	26600000	26600000	26600000	12	300
5167	1	26700000	26700000	26700000	26700000	12	300
5168	1	26800000	26800000	26800000	26800000	12	300
5169	1	26900000	26900000	26900000	26900000	12	300
5170	1	27000000	27000000	27000000	27000000	12	300
5171	1	27100000	27100000	27100000	27100000	12	300
5172	1	27200000	27200000	27200000	27200000	12	300
5173	1	27300000	27300000	27300000	27300000	12	300
5174	1	27400000	27400000	27400000	27400000	12	300
5175	1	27500000	27500000	27500000	27500000	12	300
5176	1	27600000	27600000	27600000	27600000	12	300
5177	1	27700000	27700000	27700000	27700000	12	300
5178	1	27800000	27800000	27800000	27800000	12	300
5179	1	27900000	27900000	27900000	27900000	12	300
5180	1	28000000	28000000	28000000	28000000	12	300
6161	1	28100000	28100000	28100000	28100000	12	300
6162	1	28200000	28200000	28200000	28200000	12	300
6163	1	28300000	28300000	28300000	28300000	12	300
6164	1	28400000	28400000	28400000	28400000	12	300
6165	1	28500000	28500000	28500000	28500000	12	300
6166	1	28600000	28600000	28600000	28600000	12	300
6167	1	28700000	28700000	28700000	28700000	12	300
6168	1	28800000	28800000	28800000	28800000	12	300
6169	1	28900000	28900000	28900000	28900000	12	300
6170	1	29000000	29000000	29000000	29000000	12	300
6171	1	29100000	29100000	29100000	29100000	12	300
6172	1	29200000	29200000	29200000	29200000	12	300
6173	1	29300000	29300000	29300000	29300000	12	300
6174	1	29400000	29400000	29400000	29400000	12	300
6175	1	29500000	29500000	29500000	29500000	12	300
6176	1	29600000	29600000	29600000	29600000	12	300
6177	1	29700000	29700000	29700000	29700000	12	300
6178	1	29800000	29800000	29800000	29800000	12	300
6179	1	29900000	29900000	29900000	29900000	12	300
6180	1	30000000	30000000	30000000	30000000	12	300
6181	1	30100000	30100000	30100000	30100000	12	300
6182	1	30200000	30200000	30200000	30200000	12	300
6183	1	30300000	30300000	30300000	30300000	12	300
6184	1	30400000	30400000	30400000	30400000	12	300
6185	1	30500000	30500000	30500000	30500000	12	300
6186	1	30600000	30600000	30600000	30600000	12	300
6187	1	30700000	30700000	30700000	30700000	12	300
6188	1	30800000	30800000	30800000	30800000	12	300
6189	1	30900000	30900000	30900000	30900000	12	300
6190	1	31000000	31000000	31000000	31000000	12	300
6191	1	31100000	31100000	31100000	31100000	12	300
6192	1	31200000	31200000	31200000	31200000	12	300
6193	1	31300000	31300000	31300000	31300000	12	300
6194	1	31400000	31400000	31400000	31400000	12	300
6195	1	31500000	31500000	31500000	31500000	12	300
6196	1	31600000	31600000	31600000	31600000	12	300
6197	1	31700000	31700000	31700000	31700000	12	300
6198	1	31800000	31800000	31800000	31800000	12	300
6199	1	31900000	31900000	31900000	31900000	12	300
6200	1	32000000	32000000	32000000	32000000	12	300
7181	1	32100000	32100000	32100000	32100000	12	300
7182	1	32200000	32200000	32200000	32200000	12	300
7183	1	32300000	32300000	32300000	32300000	12	300
7184	1	32400000	32400000	32400000	32400000	12	300
7185	1	32500000	32500000	32500000	32500000	12	300
7186	1	32600000	32600000	32600000	32600000	12	300
7187	1	32700000	32700000	32700000	32700000	12	300
7188	1	32800000	32800000	32800000	32800000	12	300
7189	1	32900000	32900000	32900000	32900000	12	300
7190	1	33000000	33000000	33000000	33000000	12	300
7191	1	33100000	33100000	33100000	33100000	12	300
7192	1	33200000	33200000	33200000	33200000	12	300
7193	1	33300000	33300000	33300000	33300000	12	300
7194	1	33400000	33400000	33400000	33400000	12	300
7195	1	33500000	33500000	33500000	33500000	12	300
7196	1	33600000	33600000	33600000	33600000	12	300
7197	1	33700000	33700000	33700000	33700000	12	300
7198	1	33800000	33800000	33800000	33800000	12	300
7199	1	33900000	33900000	33900000	33900000	12	300
7200	1	34000000	34000000	34000000	34000000	12	300
