合成配方ID(1位类型(1合成系统，2运营活动,3兵符)，4位参数，2位流水)	有效标志位 0无效，1有效	个人次数限制ID	全局次数限制ID	时间限制ID	等级限制	境界限制	状态限制	材料类型数数量	材料ID1	材料需要数量1（兵符类的只能最多配一个）	材料ID2	材料需要数量2	材料ID3	材料需要数量3	材料ID4	材料需要数量4	材料ID5	材料需要数量5	材料ID6	材料需要数量6	材料ID7	材料需要数量7	材料ID8	材料需要数量8	材料ID9	材料需要数量9	材料ID10	材料需要数量10	货币类型数量	货币类型1	货币数量1	货币类型2	货币数量2	需要背包格数	掉落ID	其他参数1(服务器的这个字段：1代表检测背包，2代表兵符合成，3代表兵符需要完美品质，4代表兵符需要逆天品质)这个字段客户端和服务器的枚举不一致，蛋疼，术业有专攻，以后千万不要想着一个系统各处用	其他参数2	生成产物ID
3004005	1	0	0	0	3121	0	0	2	430200402	15	500104205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10034	3	0	500114205
3004006	1	0	0	0	3130	0	0	2	430200404	15	500104206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10035	3	0	500114206
3004007	1	0	0	0	3121	0	0	2	430200404	15	500104207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10036	3	0	500114207
3004008	1	0	0	0	3121	0	0	2	430200404	15	500104208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10037	3	0	500114208
3004009	1	0	0	0	3130	0	0	2	430200404	15	500104209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10038	3	0	500114209
3004010	1	0	0	0	3121	0	0	2	430200404	15	500104210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10039	3	0	500114210
3004011	1	0	0	0	3130	0	0	2	430200404	15	500104211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10040	3	0	500114211
3004012	1	0	0	0	3130	0	0	2	430200404	15	500104212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10041	3	0	500114212
3004013	1	0	0	0	3121	0	0	2	430200404	15	500104213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10042	3	0	500114213
3014001	1	0	0	0	3121	0	0	3	430201401	15	500114202	1	500114206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10043	4	0	500124201
3014002	1	0	0	0	3121	0	0	3	430201402	15	500114203	1	500114206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10044	4	0	500124202
3014003	1	0	0	0	3121	0	0	3	430201403	15	500114202	1	500114212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10045	4	0	500124203
3014004	1	0	0	0	3121	0	0	3	430201404	15	500114203	1	500114212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10046	4	0	500124204
3014005	1	0	0	0	3121	0	0	3	430201405	15	500114202	1	500114210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10047	4	0	500124205
3014006	1	0	0	0	3121	0	0	3	430201406	15	500114203	1	500114210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10048	4	0	500124206
3014007	1	0	0	0	3121	0	0	3	430201407	15	500114202	1	500114208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10049	4	0	500124207
3014008	1	0	0	0	3121	0	0	3	430201408	15	500114203	1	500114208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10050	4	0	500124208
3014009	1	0	0	0	3121	0	0	3	430201409	15	500114204	1	500114207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10051	4	0	500124209
3014010	1	0	0	0	3121	0	0	3	430201410	15	500114204	1	500114213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10052	4	0	500124210
3014011	1	0	0	0	3121	0	0	3	430201411	15	500114205	1	500114207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10053	4	0	500124211
3014012	1	0	0	0	3121	0	0	3	430201412	15	500114205	1	500114213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10054	4	0	500124212
3014013	1	0	0	0	3140	0	0	3	430201413	15	500114201	1	500114207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10055	4	0	500124213
3014014	1	0	0	0	3140	0	0	3	430201414	15	500114201	1	500114213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10056	4	0	500124214
3014015	1	0	0	0	3140	0	0	3	430201415	15	500114201	1	500114211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10057	4	0	500124215
3014016	1	0	0	0	3140	0	0	3	430201416	15	500114201	1	500114209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10058	4	0	500124216
3006001	1	0	0	0	5161	0	0	2	430200503	24	500105201	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10059	3	0	500115201
3006002	1	0	0	0	5161	0	0	2	430200501	24	500105202	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10060	3	0	500115202
3006003	1	0	0	0	5161	0	0	2	430200501	24	500105203	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10061	3	0	500115203
3006004	1	0	0	0	5161	0	0	2	430200502	24	500105204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10062	3	0	500115204
3006005	1	0	0	0	5161	0	0	2	430200502	24	500105205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10063	3	0	500115205
3006006	1	0	0	0	5161	0	0	2	430200504	24	500105206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10064	3	0	500115206
3006007	1	0	0	0	5161	0	0	2	430200504	24	500105207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10065	3	0	500115207
3006008	1	0	0	0	5161	0	0	2	430200504	24	500105208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10066	3	0	500115208
3006009	1	0	0	0	5161	0	0	2	430200504	24	500105209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10067	3	0	500115209
3006010	1	0	0	0	5161	0	0	2	430200504	24	500105210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10068	3	0	500115210
3006011	1	0	0	0	5161	0	0	2	430200504	24	500105211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10069	3	0	500115211
3006012	1	0	0	0	5161	0	0	2	430200504	24	500105212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10070	3	0	500115212
3006013	1	0	0	0	5161	0	0	2	430200504	24	500105213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10071	3	0	500115213
3016001	1	0	0	0	5161	0	0	3	430201501	24	500115202	1	500115206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10072	4	0	500125201
3016002	1	0	0	0	5161	0	0	3	430201502	24	500115203	1	500115206	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10073	4	0	500125202
3016003	1	0	0	0	5161	0	0	3	430201503	24	500115202	1	500115212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10074	4	0	500125203
3016004	1	0	0	0	5161	0	0	3	430201504	24	500115203	1	500115212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10075	4	0	500125204
3016005	1	0	0	0	5161	0	0	3	430201505	24	500115202	1	500115210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10076	4	0	500125205
3016006	1	0	0	0	5161	0	0	3	430201506	24	500115203	1	500115210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10077	4	0	500125206
3016007	1	0	0	0	5161	0	0	3	430201507	24	500115202	1	500115208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10078	4	0	500125207
3016008	1	0	0	0	5161	0	0	3	430201508	24	500115203	1	500115208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10079	4	0	500125208
3016009	1	0	0	0	5161	0	0	3	430201509	24	500115204	1	500115207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10080	4	0	500125209
3016010	1	0	0	0	5161	0	0	3	430201510	24	500115204	1	500115213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10081	4	0	500125210
3016011	1	0	0	0	5161	0	0	3	430201511	24	500115205	1	500115207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10082	4	0	500125211
3016012	1	0	0	0	5161	0	0	3	430201512	24	500115205	1	500115213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10083	4	0	500125212
3016013	1	0	0	0	5161	0	0	3	430201513	24	500115201	1	500115207	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10084	4	0	500125213
3016014	1	0	0	0	5161	0	0	3	430201514	24	500115201	1	500115213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10085	4	0	500125214
3016015	1	0	0	0	5161	0	0	3	430201515	24	500115201	1	500115211	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10086	4	0	500125215
3016016	1	0	0	0	5161	0	0	3	430201516	24	500115201	1	500115209	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10087	4	0	500125216
