AI主ID（基本就是NPCID）	AI副ID（不能超过10条）	VALID	触发次数	触发CD	条件类型（0进战第N秒，2进战后每隔N秒，6当前位置坐标，8自身HP百分比，11自身HP数值，14附近有玩家，16仇人身上有BUFF，18自己身上有BUFF，19全图玩家进入仇恨列表，20仇恨列表人数，21全图玩家进入警戒范围，22警戒范围人数）	条件参数1	条件参数2	条件参数3	条件参数4	条件参数5	初始CD(进入战斗N秒后才开始判断)	行为步骤数（不能超过5步）	步骤1延迟	步骤1ID（9位，7位AI主ID+1位AI条目+1位步骤序号）	步骤2延迟	步骤2ID	步骤3延迟	步骤3ID	步骤4延迟	步骤4ID	步骤5延迟	步骤5ID
3011117	1	1	1	1	0	5	0	0	0	0	1	1	0	301111701	0	0	0	0	0	0	0	0
3011117	2	1	65534	1	2	12	0	0	0	0	1	1	0	301111711	0	0	0	0	0	0	0	0
3011117	3	1	65534	1	2	25	0	0	0	0	1	1	0	301111721	0	0	0	0	0	0	0	0
3011118	1	1	65534	1	2	12	0	0	0	0	1	1	0	301111801	0	0	0	0	0	0	0	0
3012120	1	1	65534	1	2	12	0	0	0	0	1	1	0	301212001	0	0	0	0	0	0	0	0
3012121	1	1	65534	1	2	12	0	0	0	0	1	1	0	301212101	0	0	0	0	0	0	0	0
3012124	1	1	65534	1	2	12	0	0	0	0	1	1	0	301212401	0	0	0	0	0	0	0	0
3012127	1	1	65534	1	2	12	0	0	0	0	1	1	0	301212701	0	0	0	0	0	0	0	0
3012128	1	1	65534	1	2	10	0	0	0	0	1	1	0	301212801	0	0	0	0	0	0	0	0
3012129	1	1	65534	1	2	10	0	0	0	0	1	1	0	301212901	0	0	0	0	0	0	0	0
3012130	1	1	65534	1	2	15	0	0	0	0	1	1	0	301213001	0	0	0	0	0	0	0	0
3012134	1	1	65534	1	2	30	0	0	0	0	1	1	0	301213401	0	0	0	0	0	0	0	0
3012201	1	1	65534	1	2	20	0	0	0	0	9	1	0	900115101	0	0	0	0	0	0	0	0
3012201	2	1	65534	1	2	20	0	0	0	0	5	2	0	900115111	2	900150112	0	0	0	0	0	0
3012201	3	1	65534	1	0	1	0	0	0	0	0	1	0	900115301	0	0	0	0	0	0	0	0
3012201	4	1	65534	1	2	30	0	0	0	0	15	2	0	301230201	2	301230101	0	0	0	0	0	0
3101001	1	1	65534	1	2	8	0	0	0	0	1	1	0	310100111	0	0	0	0	0	0	0	0
3101002	1	1	65534	1	2	8	0	0	0	0	2	1	0	310100211	0	0	0	0	0	0	0	0
3101011	1	1	65534	1	2	10	0	0	0	0	6	1	0	310101111	0	0	0	0	0	0	0	0
3101012	1	1	65534	1	2	12	0	0	0	0	0	1	0	310101211	0	0	0	0	0	0	0	0
3101030	1	1	65534	1	2	20	0	0	0	0	0	1	0	310103011	0	0	0	0	0	0	0	0
3101030	2	1	65534	1	2	12	0	0	0	0	0	1	0	310103021	0	0	0	0	0	0	0	0
3101030	3	1	65534	1	2	15	0	0	0	0	0	1	0	310103031	0	0	0	0	0	0	0	0
3102004	1	1	65534	1	2	12	0	0	0	0	0	2	0	800300611	3	800300621	0	0	0	0	0	0
3102004	2	1	65534	1	2	20	0	0	0	0	0	1	0	310200411	0	0	0	0	0	0	0	0
3102004	3	1	65534	1	2	15	0	0	0	0	0	1	0	800300601	0	0	0	0	0	0	0	0
3103005	1	1	65534	1	2	8	0	0	0	0	2	1	0	310300511	0	0	0	0	0	0	0	0
3104004	1	1	65534	1	2	8	0	0	0	0	2	1	0	310400411	0	0	0	0	0	0	0	0
3104005	1	1	65534	1	2	12	0	0	0	0	2	1	0	310400511	0	0	0	0	0	0	0	0
3104005	1	1	65534	1	2	20	0	0	0	0	2	1	0	310400521	0	0	0	0	0	0	0	0
3104002	1	1	65534	1	0	15	0	0	0	0	1	1	0	301111701	0	0	0	0	0	0	0	0
3104002	2	1	65534	1	2	12	0	0	0	0	1	1	0	301111711	0	0	0	0	0	0	0	0
3201001	1	1	65534	3	16	32023102	0	0	0	0	3	1	0	320100101	0	0	0	0	0	0	0	0
3201001	2	1	65534	4	18	320101	0	0	0	0	4	1	0	320100111	0	0	0	0	0	0	0	0
3201010	1	1	65534	1	2	12	0	0	0	0	1	1	0	320101011	0	0	0	0	0	0	0	0
3201010	2	1	65534	18	8	20	55	0	0	0	18	1	0	320101021	0	0	0	0	0	0	0	0
3201010	3	1	65534	5	8	30	60	0	0	0	5	1	0	320101031	0	0	0	0	0	0	0	0
3201010	4	1	65534	1	2	18	0	0	0	0	1	1	0	320101041	0	0	0	0	0	0	0	0
3201010	5	1	65534	1	2	20	0	0	0	0	10	1	0	320101051	0	0	0	0	0	0	0	0
3202140	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320214001	0	0	0	0	0	0	0	0
3202141	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320214101	0	0	0	0	0	0	0	0
3202142	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320214201	0	0	0	0	0	0	0	0
3202143	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320214301	0	0	0	0	0	0	0	0
3202144	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320214401	0	0	0	0	0	0	0	0
3202131	1	1	65534	1	2	10	0	0	0	0	1	3	0	320213101	2	320213102	3	320213103	0	0	0	0
3202132	1	1	65534	1	2	10	0	0	0	0	1	2	0	320213201	2	320213202	0	0	0	0	0	0
3202133	1	1	65534	1	2	10	0	0	0	0	1	2	0	320213301	2	320213302	0	0	0	0	0	0
3202134	1	1	65534	1	2	10	0	0	0	0	1	2	0	320213401	2	320213402	0	0	0	0	0	0
3202135	1	1	65534	1	2	10	0	0	0	0	1	3	0	320213501	2	320213502	3	320213503	0	0	0	0
3202136	1	1	65534	1	2	10	0	0	0	0	1	3	0	320213601	2	320213602	3	320213603	0	0	0	0
3202127	1	1	65534	1	2	10	0	0	0	0	1	2	0	320212701	2	320212702	0	0	0	0	0	0
3202128	1	1	65534	1	2	10	0	0	0	0	1	2	0	320212801	2	320212802	0	0	0	0	0	0
3202129	1	1	65534	1	2	10	0	0	0	0	1	2	0	320212901	2	320212902	0	0	0	0	0	0
3202146	1	1	65534	1	2	5	0	0	0	0	1	1	0	320214601	0	0	0	0	0	0	0	0
3202146	2	1	65534	1	0	15	0	0	0	0	1	1	0	320214602	0	0	0	0	0	0	0	0
3202148	1	1	65534	1	2	10	0	0	0	0	1	1	0	320214801	0	0	0	0	0	0	0	0
3202148	2	1	65534	1	0	20	0	0	0	0	1	1	0	320214802	0	0	0	0	0	0	0	0
3202148	3	1	65534	1	0	40	0	0	0	0	1	1	0	320214803	0	0	0	0	0	0	0	0
3202149	1	1	65534	1	2	10	0	0	0	0	1	1	0	320214901	0	0	0	0	0	0	0	0
3202149	2	1	65534	1	0	20	0	0	0	0	1	1	0	320214902	0	0	0	0	0	0	0	0
3204001	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320401401	0	0	0	0	0	0	0	0
3204002	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320401501	0	0	0	0	0	0	0	0
3204003	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320401601	0	0	0	0	0	0	0	0
3204004	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320401701	0	0	0	0	0	0	0	0
3204005	1	1	65534	1	16	101201	0	0	0	0	0	1	0	320401801	0	0	0	0	0	0	0	0
4201003	1	1	65534	1	2	6	0	0	0	0	1	1	0	420100301	0	0	0	0	0	0	0	0
4201003	2	1	65534	9	8	41	70	0	0	0	9	1	0	420100311	0	0	0	0	0	0	0	0
4201003	3	1	65534	9	8	1	40	0	0	0	9	1	0	420100321	0	0	0	0	0	0	0	0
4201003	4	1	1	0	8	1	90	0	0	0	0	1	0	420100331	0	0	0	0	0	0	0	0
4201003	5	1	1	0	8	1	90	0	0	0	0	1	1	420100341	0	0	0	0	0	0	0	0
4201009	1	1	65534	1	2	8	0	0	0	0	1	1	0	420100901	0	0	0	0	0	0	0	0
4201009	2	1	65534	1	2	8	0	0	0	0	1	1	0	420100911	0	0	0	0	0	0	0	0
4201026	1	1	65534	1	2	4	0	0	0	0	1	1	0	420102601	0	0	0	0	0	0	0	0
7010251	1	1	65534	1	2	12	0	0	0	0	1	1	0	701025101	0	0	0	0	0	0	0	0
7010251	2	1	65534	15	8	0	50	0	0	0	15	1	0	701025111	0	0	0	0	0	0	0	0
7010252	1	1	65534	1	2	12	0	0	0	0	1	1	0	701025201	0	0	0	0	0	0	0	0
7010253	1	1	65534	1	2	15	0	0	0	0	1	2	0	701025301	2	701025302	0	0	0	0	0	0
7010254	1	1	65534	1	2	12	0	0	0	0	1	1	0	701025401	0	0	0	0	0	0	0	0
7010254	2	1	65534	1	2	15	0	0	0	0	1	2	0	701025411	2	701025412	0	0	0	0	0	0
9001101	1	1	65534	1	2	10	0	0	0	0	1	1	0	900110101	0	0	0	0	0	0	0	0
9001101	2	1	20	10	16	22002101	0	0	0	0	0	1	0	900110111	0	0	0	0	0	0	0	0
9001101	3	1	20	10	16	22003101	0	0	0	0	0	1	0	900110121	0	0	0	0	0	0	0	0
9001101	4	1	5	5	8	60	80	0	0	0	0	1	0	900110131	0	0	0	0	0	0	0	0
9001101	5	1	5	5	8	20	40	0	0	0	0	1	0	900110131	0	0	0	0	0	0	0	0
9001101	6	1	15	5	18	22022101	1	0	0	0	0	1	0	900110151	0	0	0	0	0	0	0	0
9001101	7	1	5	10	8	0	10	0	0	0	0	1	0	900110161	0	0	0	0	0	0	0	0
9001101	8	1	65534	19	8	0	60	0	0	0	0	1	0	900110171	0	0	0	0	0	0	0	0
9001101	9	1	1	1	0	150	0	0	0	0	0	1	0	900110181	0	0	0	0	0	0	0	0
9001101	10	1	1	1	0	155	0	0	0	0	0	1	0	900110181	0	0	0	0	0	0	0	0
9001101	11	1	1	1	0	160	0	0	0	0	0	1	0	900110181	0	0	0	0	0	0	0	0
9001201	1	1	65534	7	14	40	80	0	0	0	0	1	0	900120101	0	0	0	0	0	0	0	0
9001201	2	1	65534	1	2	10	0	0	0	0	0	1	0	900120111	0	0	0	0	0	0	0	0
9001201	3	1	65534	1	16	22007101	0	0	0	0	0	1	0	900120121	0	0	0	0	0	0	0	0
9001201	4	1	65534	1	2	10	0	0	0	0	0	1	0	900120131	0	0	0	0	0	0	0	0
9001201	5	1	5	15	0	150	0	0	0	0	15	1	0	900110181	0	0	0	0	0	0	0	0
9001201	6	1	5	15	0	155	0	0	0	0	15	1	0	900110181	0	0	0	0	0	0	0	0
9001201	7	1	5	15	0	155	0	0	0	0	15	1	0	900110181	0	0	0	0	0	0	0	0
9001601	1	1	1	0	22	1	1	0	0	0	0	1	0	900160101	0	0	0	0	0	0	0	0
9001602	1	1	1	0	22	1	1	0	0	0	0	1	0	900160201	0	0	0	0	0	0	0	0
9001603	1	1	1	0	22	1	1	0	0	0	0	1	0	900160301	0	0	0	0	0	0	0	0
9001604	1	1	1	0	22	1	1	0	0	0	0	1	0	900160401	0	0	0	0	0	0	0	0
9001605	1	1	1	0	22	1	1	0	0	0	0	1	0	900160501	0	0	0	0	0	0	0	0
9001102	1	1	65534	5	2	10	0	0	0	0	5	1	0	900110201	0	0	0	0	0	0	0	0
9001301	1	1	65534	10	8	0	80	0	0	0	3	1	0	900130101	0	0	0	0	0	0	0	0
9001301	2	1	65534	1	2	15	0	0	0	0	2	5	0	900130111	1	900130121	2	900130121	3	900130121	4	900130121
9001301	3	1	65534	1	2	8	0	0	0	0	0	1	0	900130121	0	0	0	0	0	0	0	0
9001501	1	1	65534	1	2	14	0	0	0	0	0	2	0	900150101	1	900150102	0	0	0	0	0	0
9001501	2	1	65534	1	2	9	0	0	0	0	2	1	0	900150111	0	0	0	0	0	0	0	0
9001501	3	1	65534	1	2	16	0	0	0	0	3	1	0	900150121	0	0	0	0	0	0	0	0
9001502	1	1	65534	1000	18	22020101	1	0	0	0	0	2	0	900150201	2	900150202	0	0	0	0	0	0
9001502	2	1	65534	1000	0	15	0	0	0	0	0	2	0	900150201	2	900150202	0	0	0	0	0	0
9001502	3	1	65534	1000	2	1000	0	0	0	0	0	1	0	900150221	0	0	0	0	0	0	0	0
9001401	1	1	65534	1	2	10	0	0	0	0	0	1	0	900140101	0	0	0	0	0	0	0	0
9001401	2	1	65534	1	2	15	0	0	0	0	1	1	0	900140111	0	0	0	0	0	0	0	0
9001606	1	1	1	0	22	1	1	0	0	0	0	1	0	900160601	0	0	0	0	0	0	0	0
9001607	1	1	1	0	22	1	1	0	0	0	0	1	0	900160701	0	0	0	0	0	0	0	0
9001608	1	1	1	0	22	1	1	0	0	0	0	1	0	900160801	0	0	0	0	0	0	0	0
9001609	1	1	1	0	22	1	1	0	0	0	0	1	0	900160901	0	0	0	0	0	0	0	0
9001610	1	1	1	0	22	1	1	0	0	0	0	1	0	900161001	0	0	0	0	0	0	0	0
9002601	1	1	1	0	22	1	1	0	0	0	0	1	0	900260101	0	0	0	0	0	0	0	0
9002602	1	1	1	0	22	1	1	0	0	0	0	1	0	900260201	0	0	0	0	0	0	0	0
9002603	1	1	1	0	22	1	1	0	0	0	0	1	0	900260301	0	0	0	0	0	0	0	0
9002604	1	1	1	0	22	1	1	0	0	0	0	1	0	900260401	0	0	0	0	0	0	0	0
9002605	1	1	1	0	22	1	1	0	0	0	0	1	0	900260501	0	0	0	0	0	0	0	0
9002606	1	1	1	0	22	1	1	0	0	0	0	1	0	900260601	0	0	0	0	0	0	0	0
9002607	1	1	1	0	22	1	1	0	0	0	0	1	0	900260701	0	0	0	0	0	0	0	0
9002608	1	1	1	0	22	1	1	0	0	0	0	1	0	900260801	0	0	0	0	0	0	0	0
9002609	1	1	1	0	22	1	1	0	0	0	0	1	0	900260901	0	0	0	0	0	0	0	0
9002610	1	1	1	0	22	1	1	0	0	0	0	1	0	900261001	0	0	0	0	0	0	0	0
9003601	1	1	1	0	22	1	1	0	0	0	0	1	0	900360101	0	0	0	0	0	0	0	0
9003602	1	1	1	0	22	1	1	0	0	0	0	1	0	900360201	0	0	0	0	0	0	0	0
9003603	1	1	1	0	22	1	1	0	0	0	0	1	0	900360301	0	0	0	0	0	0	0	0
9003604	1	1	1	0	22	1	1	0	0	0	0	1	0	900360401	0	0	0	0	0	0	0	0
9003605	1	1	1	0	22	1	1	0	0	0	0	1	0	900360501	0	0	0	0	0	0	0	0
9003606	1	1	1	0	22	1	1	0	0	0	0	1	0	900360601	0	0	0	0	0	0	0	0
9003607	1	1	1	0	22	1	1	0	0	0	0	1	0	900360701	0	0	0	0	0	0	0	0
9003608	1	1	1	0	22	1	1	0	0	0	0	1	0	900360801	0	0	0	0	0	0	0	0
9003609	1	1	1	0	22	1	1	0	0	0	0	1	0	900360901	0	0	0	0	0	0	0	0
9003610	1	1	1	0	22	1	1	0	0	0	0	1	0	900361001	0	0	0	0	0	0	0	0
9004601	1	1	1	0	22	1	1	0	0	0	0	1	0	900460101	0	0	0	0	0	0	0	0
9004602	1	1	1	0	22	1	1	0	0	0	0	1	0	900460201	0	0	0	0	0	0	0	0
9004603	1	1	1	0	22	1	1	0	0	0	0	1	0	900460301	0	0	0	0	0	0	0	0
9004604	1	1	1	0	22	1	1	0	0	0	0	1	0	900460401	0	0	0	0	0	0	0	0
9004605	1	1	1	0	22	1	1	0	0	0	0	1	0	900460501	0	0	0	0	0	0	0	0
9004606	1	1	1	0	22	1	1	0	0	0	0	1	0	900460601	0	0	0	0	0	0	0	0
9004607	1	1	1	0	22	1	1	0	0	0	0	1	0	900460701	0	0	0	0	0	0	0	0
9004608	1	1	1	0	22	1	1	0	0	0	0	1	0	900460801	0	0	0	0	0	0	0	0
9004609	1	1	1	0	22	1	1	0	0	0	0	1	0	900460901	0	0	0	0	0	0	0	0
9004610	1	1	1	0	22	1	1	0	0	0	0	1	0	900461001	0	0	0	0	0	0	0	0
9005601	1	1	1	0	22	1	1	0	0	0	0	1	0	900560101	0	0	0	0	0	0	0	0
9005602	1	1	1	0	22	1	1	0	0	0	0	1	0	900560201	0	0	0	0	0	0	0	0
9005603	1	1	1	0	22	1	1	0	0	0	0	1	0	900560301	0	0	0	0	0	0	0	0
9005604	1	1	1	0	22	1	1	0	0	0	0	1	0	900560401	0	0	0	0	0	0	0	0
9005605	1	1	1	0	22	1	1	0	0	0	0	1	0	900560501	0	0	0	0	0	0	0	0
9005606	1	1	1	0	22	1	1	0	0	0	0	1	0	900560601	0	0	0	0	0	0	0	0
9005607	1	1	1	0	22	1	1	0	0	0	0	1	0	900560701	0	0	0	0	0	0	0	0
9005608	1	1	1	0	22	1	1	0	0	0	0	1	0	900560801	0	0	0	0	0	0	0	0
9005609	1	1	1	0	22	1	1	0	0	0	0	1	0	900560901	0	0	0	0	0	0	0	0
9005610	1	1	1	0	22	1	1	0	0	0	0	1	0	900561001	0	0	0	0	0	0	0	0
9006601	1	1	1	0	22	1	1	0	0	0	0	1	0	900660101	0	0	0	0	0	0	0	0
9006602	1	1	1	0	22	1	1	0	0	0	0	1	0	900660201	0	0	0	0	0	0	0	0
9006603	1	1	1	0	22	1	1	0	0	0	0	1	0	900660301	0	0	0	0	0	0	0	0
9006604	1	1	1	0	22	1	1	0	0	0	0	1	0	900660401	0	0	0	0	0	0	0	0
9006605	1	1	1	0	22	1	1	0	0	0	0	1	0	900660501	0	0	0	0	0	0	0	0
9006606	1	1	1	0	22	1	1	0	0	0	0	1	0	900660601	0	0	0	0	0	0	0	0
9006607	1	1	1	0	22	1	1	0	0	0	0	1	0	900660701	0	0	0	0	0	0	0	0
9006608	1	1	1	0	22	1	1	0	0	0	0	1	0	900660801	0	0	0	0	0	0	0	0
9006609	1	1	1	0	22	1	1	0	0	0	0	1	0	900660901	0	0	0	0	0	0	0	0
9006610	1	1	1	0	22	1	1	0	0	0	0	1	0	900661001	0	0	0	0	0	0	0	0
9007601	1	1	1	0	22	1	1	0	0	0	0	1	0	900760101	0	0	0	0	0	0	0	0
9007602	1	1	1	0	22	1	1	0	0	0	0	1	0	900760201	0	0	0	0	0	0	0	0
9007603	1	1	1	0	22	1	1	0	0	0	0	1	0	900760301	0	0	0	0	0	0	0	0
